"key","English (en)","Spanish (es)","Chinese (Simplified) (zh-CN)"
"paper.confirmDescription","Slide to confirm the one-transaction paper wallet sweep.","Desliza para confirmar el barrido de la billetera de papel en una sola transacción.","滑动以确认在一笔交易中转移纸钱包。"
"paper.confirmTitle","Confirm sweep","Confirmar barrido","确认转移"
"paper.decodingError","Decoding error","Error de decodificación","解码错误"
"paper.description","Scan a WIF paper wallet and sweep BCH + CashTokens in one transaction.","Escanea una billetera de papel WIF y barre BCH + CashTokens en una transacción.","扫描 WIF 纸钱包，在一笔交易中转移 BCH 和 CashTokens。"
"paper.label","Paper wallet","Billetera de papel","纸钱包"
"paper.noCashTokens","No CashTokens detected.","No se detectaron CashTokens.","未检测到 CashTokens。"
"paper.noDestination","No destination wallet address is available.","No hay una dirección de destino disponible.","没有可用的钱包目标地址。"
"paper.noQrCode","No QR code detected. Please try again.","No se detectó ningún código QR. Inténtalo de nuevo.","未检测到二维码，请重试。"
"paper.notScanned","No paper wallet scanned yet.","Aún no se ha escaneado ninguna billetera de papel.","尚未扫描纸钱包。"
"paper.noUtxos","No UTXOs found for this paper wallet. If this is a mainnet wallet and you are on chipnet, try switching networks.","No se encontraron UTXO para esta billetera de papel. Si es una billetera de mainnet y estás en chipnet, intenta cambiar de red.","未找到此纸钱包的 UTXO。如果这是主网钱包而你正在使用 Chipnet，请尝试切换网络。"
"paper.oneTransaction","One transaction only.","Una sola transacción.","仅一笔交易。"
"paper.paperInputs","Paper wallet inputs","Entradas de la billetera de papel","纸钱包输入"
"paper.scan","Scan","Escanear","扫描"
"paper.scanBeforeSweep","Scan a paper wallet before sweeping.","Escanea una billetera de papel antes de barrerla.","请先扫描纸钱包再进行转移。"
"paper.spendableOutputPlural","spendable outputs","salidas gastables","个可花费输出"
"paper.spendableOutputSingular","spendable output","salida gastable","个可花费输出"
"paper.sweep","Sweep","Barrer","转移"
"paper.sweepBroadcast","Sweep broadcast","Barrido transmitido","转移已广播"
"paper.title","Paper Wallet","Billetera de papel","纸钱包"
"paper.tokenBacking","Token outputs are backed with 1000 sats.","Las salidas de tokens están respaldadas con 1000 sats.","代币输出由 1000 sats 支持。"
"paper.tokenGroups","Token groups","Grupos de tokens","代币组"
"paper.tokenOutputs","Token outputs","Salidas de tokens","代币输出"
"paper.unexpected","An unexpected error occurred.","Ocurrió un error inesperado.","发生意外错误。"
"paper.unexpectedTryAgain","An unexpected error occurred. Please try again.","Ocurrió un error inesperado. Inténtalo de nuevo.","发生意外错误，请重试。"
"paper.utxosTitle","Paper wallet UTXOs","UTXO de la billetera de papel","纸钱包 UTXO"
"paper.walletFeeInputs","Wallet fee inputs","Entradas de comisión de la billetera","钱包费用输入"
"qr.animatedTransfer","Animated QR transfer","Transferencia QR animada","动态二维码传输"
"qr.blocksRecovered","blocks recovered","bloques recuperados","个区块已恢复"
"qr.cameraActive","Camera active — point at animated QR","Cámara activa — apunta al QR animado","相机已启用 — 对准动态二维码"
"qr.cameraError","Camera unavailable","Cámara no disponible","相机不可用"
"qr.cameraUnavailable","Camera access is unavailable","El acceso a la cámara no está disponible","无法访问相机"
"qr.cancel","Cancel","Cancelar","取消"
"qr.duplicates","duplicates","duplicados","个重复帧"
"qr.holdSteady","Hold the phone steady and fill the frame with the QR code.","Mantén el teléfono estable y llena el cuadro con el código QR.","请保持手机稳定，让二维码充满画面。"
"qr.receivingStream","Receiving QR stream","Recibiendo flujo QR","正在接收二维码流"
"qr.scan","Scan QR","Escanear QR","扫描二维码"
"qr.scanning","Scanning…","Escaneando…","扫描中…"
"qr.streaming","Streaming frame {frame} · {blocks} blocks · {bytes} bytes","Transmitiendo marco {frame} · {blocks} bloques · {bytes} bytes","正在传输帧 {frame} · {blocks} 个区块 · {bytes} 字节"
"qr.unableToDecode","Unable to decode QR stream","No se pudo decodificar el flujo QR","无法解码二维码流"
"qr.uniqueFrames","unique frames","marcos únicos","个唯一帧"
"qr.walletUpdateProgress","Wallet update progress","Progreso de actualización de la billetera","钱包更新进度"
"receive.addressesNotReady","Receive addresses not ready","Las direcciones de recepción no están listas","接收地址尚未准备好"
"receive.amountBch","Amount (BCH)","Importe (BCH)","金额（BCH）"
"receive.back","Back","Atrás","返回"
"receive.bip21Active","Request details are active and the QR is now encoding the BIP21 URI.","Los detalles están activos y el QR ahora codifica la URI BIP21.","请求详情已启用，二维码现在编码的是 BIP21 URI。"
"receive.bip21Description","Encode amount, label, and message into the QR payload.","Codifica el importe, la etiqueta y el mensaje en la carga QR.","将金额、标签和消息编码到二维码内容中。"
"receive.bip21Help","When enabled, the QR and copied payload use a BIP21-style `bitcoincash:` URI so compatible wallets can autofill request details.","Al activarlo, el QR y la carga copiada usan una URI de tipo BIP21 para que las billeteras compatibles completen los datos automáticamente.","启用后，二维码和复制的内容会使用 BIP21 格式 URI，使兼容钱包可以自动填写请求详情。"
"receive.bip21Title","BIP21 payment request","Solicitud de pago BIP21","BIP21 支付请求"
"receive.cashToken","CashToken","CashToken","CashToken"
"receive.change","Change","Cambio","找零地址"
"receive.changeAddressCount","{count} change addresses","{count} direcciones de cambio","{count} 个找零地址"
"receive.clear","Clear","Borrar","清除"
"receive.close","Close","Cerrar","关闭"
"receive.copied","Copied to clipboard!","¡Copiado al portapapeles!","已复制到剪贴板！"
"receive.copyBip21","Copy BIP21 URI","Copiar URI BIP21","复制 BIP21 URI"
"receive.copyFailed","Failed to copy.","No se pudo copiar.","复制失败。"
"receive.copyQrPayload","Copy receive QR payload","Copiar carga QR de recepción","复制接收二维码内容"
"receive.dismiss","Dismiss","Descartar","关闭"
"receive.dismissUnlockAlert","Dismiss unlock alert","Descartar alerta de desbloqueo","关闭解锁提示"
"receive.label","Label","Etiqueta","标签"
"receive.main","Main","Principal","主地址"
"receive.mainAddressCount","{count} main addresses","{count} direcciones principales","{count} 个主地址"
"receive.message","Message","Mensaje","消息"
"receive.noAddressesLoaded","This wallet does not have receive addresses loaded yet.","Esta billetera aún no tiene direcciones de recepción cargadas.","此钱包尚未加载接收地址。"
"receive.noBranchAddresses","No addresses found in this branch yet.","Aún no se encontraron direcciones en esta rama.","此分支中尚未找到地址。"
"receive.noVaultFunds","No Quantumroot vault funds detected yet.","Aún no se encontraron fondos en la bóveda Quantumroot.","尚未检测到 Quantumroot 保险库资金。"
"receive.openQrPreview","Open larger QR code preview","Abrir vista previa grande del código QR","打开更大的二维码预览"
"receive.optional","Optional","Opcional","可选"
"receive.optionalExample","Optional, e.g. 0.0105","Opcional, p. ej. 0.0105","可选，例如 0.0105"
"receive.prepareAddresses","Prepare receive addresses","Preparar direcciones de recepción","准备接收地址"
"receive.prepareAddressesDescription","Prepare addresses to show your receive QR and address list.","Prepara las direcciones para mostrar tu QR y tu lista de recepción.","准备地址以显示接收二维码和地址列表。"
"receive.privKeyReady","Private key view unlocked","Vista de clave privada desbloqueada","私钥视图已解锁"
"receive.privKeyUnlock","Private key unlock in {count} taps","Desbloqueo de la clave privada en {count} toques","再点击 {count} 次即可解锁私钥"
"receive.pubKeyTapProgress","PubKey pressed {count}/{total} times","PubKey presionado {count}/{total} veces","PubKey 已点击 {count}/{total} 次"
"receive.qrCopyDescription","Tap the QR to copy the current payload. Close to return.","Toca el QR para copiar la carga actual. Cierra para volver.","点击二维码复制当前内容。关闭以返回。"
"receive.quantumLock","Quantum Lock","Bloqueo cuántico","量子锁"
"receive.quantumLockAddress","Quantum Lock Address","Dirección de bloqueo cuántico","量子锁地址"
"receive.quantumrootStatus","Quantumroot Status","Estado de Quantumroot","Quantumroot 状态"
"receive.readOnlyStatus","This view is read-only. It shows vault status and key receive data, but no spending or recovery actions.","Esta vista es de solo lectura. Muestra el estado de la bóveda y los datos de recepción, pero no permite gastar ni recuperar fondos.","此视图为只读，仅显示保险库状态和接收数据，不支持花费或恢复操作。"
"receive.receiveAddress","Receive Address","Dirección de recepción","接收地址"
"receive.receiveBalance","Receive Balance","Saldo de recepción","接收余额"
"receive.receiveQr","Receive QR","QR de recepción","接收二维码"
"receive.regular","Regular","Normal","普通"
"receive.seeAllAddresses","See all addresses","Ver todas las direcciones","查看全部地址"
"receive.switch","Switch","Cambiar","切换"
"receive.switchAddress","Switch address","Cambiar dirección","切换地址"
"receive.syncing","Syncing…","Sincronizando…","同步中…"
"receive.tapPubKey","Tap PubKey to reveal the private key view.","Toca PubKey para mostrar la vista de clave privada.","点击 PubKey 以显示私钥视图。"
"receive.title","Receive","Recibir","接收"
"receive.toggleAddressType","Toggle receive address type","Cambiar tipo de dirección de recepción","切换接收地址类型"
"receive.unavailable","Unavailable","No disponible","不可用"
"reconfiguration.changingPath","Changing derivation path","Cambiando la ruta de derivación","正在更改派生路径"
"reconfiguration.clearing","Clearing old wallet data","Borrando datos antiguos de la billetera","正在清除旧钱包数据"
"reconfiguration.clearingDetail","Removing the previous address, history, and UTXO records.","Eliminando la dirección, el historial y los registros UTXO anteriores.","正在移除之前的地址、历史记录和 UTXO 数据。"
"reconfiguration.deriving","Generating wallet addresses","Generando direcciones de la billetera","正在生成钱包地址"
"reconfiguration.derivingDetail","Creating the receive and change addresses for this wallet path.","Creando las direcciones de recepción y cambio para esta ruta.","正在为此钱包路径创建收款和找零地址。"
"reconfiguration.dismiss","Dismiss","Descartar","关闭"
"reconfiguration.failed","Wallet update failed","Falló la actualización de la billetera","钱包更新失败"
"reconfiguration.failedDetail","The wallet could not be reconfigured.","No se pudo reconfigurar la billetera.","无法重新配置钱包。"
"reconfiguration.keepOpen","Please keep OPTN Wallet open. Navigation is temporarily disabled while wallet data is rebuilt.","Mantén OPTN Wallet abierta. La navegación está temporalmente desactivada mientras se reconstruyen los datos de la billetera.","请保持 OPTN Wallet 打开。重建钱包数据期间，导航功能会暂时禁用。"
"reconfiguration.movingTo","Moving to {network}","Cambiando a {network}","正在切换到 {network}"
"reconfiguration.preparing","Preparing wallet","Preparando la billetera","正在准备钱包"
"reconfiguration.preparingDetail","Stopping background sync and reconnecting to the selected network.","Deteniendo la sincronización en segundo plano y reconectando a la red seleccionada.","正在停止后台同步并重新连接到所选网络。"
"reconfiguration.progress","Wallet update progress","Progreso de actualización de la billetera","钱包更新进度"
"reconfiguration.reloading","Reloading wallet","Recargando la billetera","正在重新加载钱包"
"reconfiguration.stepOf","Step {current} of {total}","Paso {current} de {total}","第 {current} 步，共 {total} 步"
"reconfiguration.switchingNetwork","Switching network","Cambiando de red","正在切换网络"
"reconfiguration.syncing","Synchronizing wallet","Sincronizando la billetera","正在同步钱包"
"reconfiguration.syncingDetail","Fetching balances, UTXOs, and transaction history. This can take 15–20 seconds.","Obteniendo saldos, UTXO e historial de transacciones. Puede tardar entre 15 y 20 segundos.","正在获取余额、UTXO 和交易历史，可能需要 15–20 秒。"
"reconfiguration.updating","Updating wallet","Actualizando la billetera","正在更新钱包"
"reconfiguration.working","Working…","Trabajando…","处理中…"
"recovery.hide","Hide Backup Phrase","Ocultar frase de respaldo","隐藏备份短语"
"recovery.reveal","Reveal Backup Phrase","Mostrar frase de respaldo","显示备份短语"
"recovery.warning","Warning","Advertencia","警告"
"recovery.warningDescription","Displaying your mnemonic backup phrase can compromise your funds. Ensure you keep it secure.","Mostrar tu frase mnemónica de respaldo puede poner tus fondos en riesgo. Guárdala de forma segura.","显示助记词备份短语可能危及您的资金。请确保妥善保管。"
"rpa.confirmedPayment","confirmed stealth payment","pago oculto confirmado","笔已确认的隐匿付款"
"rpa.confirmedPayments","{count} confirmed stealth payment{suffix} found","Se encontraron {count} pago{suffix} oculto confirmado{suffix}","发现 {count} 笔已确认的隐匿付款"
"rpa.copyFailed","Copy failed.","No se pudo copiar.","复制失败。"
"rpa.copySuccess","Paycode copied!","¡Código de pago copiado!","支付码已复制！"
"rpa.derivationFailed","Paycode derivation failed. Unlock your wallet and try again.","No se pudo derivar el código de pago. Desbloquea la billetera e inténtalo de nuevo.","支付码派生失败。请解锁钱包后重试。"
"rpa.derivationPaths","Derivation paths","Rutas de derivación","派生路径"
"rpa.deriving","Deriving paycode…","Derivando código de pago…","正在派生支付码…"
"rpa.found","found","encontrado","已发现"
"rpa.howWorks","How it works","Cómo funciona","工作原理"
"rpa.lastScanned","Last scanned","Último escaneo","上次扫描"
"rpa.noNotification","No notification tx.","Sin tx de notificación.","无通知交易。"
"rpa.noNotificationText","The sender grinds their signature nonce until the input hash prefix matches your scan key — detectability is embedded in the signature itself.","El remitente busca un nonce de firma hasta que el prefijo del hash de entrada coincide con tu clave de escaneo; la detección está integrada en la firma.","发送方会不断尝试签名 nonce，直到输入哈希前缀匹配你的扫描密钥；可检测性直接嵌入签名。"
"rpa.paycode","Paycode","Código de pago","支付码"
"rpa.prefixFilter","Prefix filter","Filtro de prefijo","前缀过滤"
"rpa.scanDescription","Scans a Fulcrum-RPA server for transactions whose input signature prefix matches your scan key. Uses ECDH to verify each candidate and detect your stealth outputs.","Busca en un servidor Fulcrum-RPA transacciones cuyo prefijo de firma de entrada coincida con tu clave de escaneo. Usa ECDH para verificar cada candidato y detectar tus salidas ocultas.","扫描 Fulcrum-RPA 服务器，查找输入签名前缀匹配扫描密钥的交易。使用 ECDH 验证候选交易并检测隐匿输出。"
"rpa.scanKey","Scan key","Clave de escaneo","扫描密钥"
"rpa.scanning","Scanning…","Escaneando…","扫描中…"
"rpa.serverUnsupported","This server does not support RPA scanning.","Este servidor no admite el escaneo RPA.","此服务器不支持 RPA 扫描。"
"rpa.shareDescription","Share this paycode with senders. Each payment creates a unique stealth address — no link between payments on-chain.","Comparte este código con los remitentes. Cada pago crea una dirección oculta única, sin vínculos entre pagos en la cadena.","将此支付码分享给付款方。每笔付款都会创建唯一的隐匿地址，链上不会关联各笔付款。"
"rpa.spendKey","Spend key","Clave de gasto","花费密钥"
"rpa.stealthBalance","Stealth BCH","BCH oculto","隐匿 BCH"
"rpa.sync","Sync","Sincronizar","同步"
"rpa.title","RPA Paycode","Código de pago RPA","RPA 支付码"
"rpa.walletUnavailable","Wallet not available","Billetera no disponible","钱包不可用"
"send.airdrops","Airdrops","Airdrops","空投"
"send.amount","Amount","Importe","金额"
"send.amountBch","Amount (BCH)","Importe (BCH)","金额（BCH）"
"send.amountUsd","Amount (USD)","Importe (USD)","金额（USD）"
"send.asset","Asset","Activo","资产"
"send.assetControl","Asset control","Control del activo","资产控制"
"send.back","Back","Atrás","返回"
"send.balance","Balance","Saldo","余额"
"send.bcmrMetadata","Parsed using BCMR metadata from the selected category.","Analizado con los metadatos BCMR de la categoría seleccionada.","使用所选类别的 BCMR 元数据解析。"
"send.bytes","bytes","bytes","字节"
"send.changeAddress","Change address","Dirección de cambio","找零地址"
"send.clearForm","Clear form","Borrar formulario","清除表单"
"send.confirmed","Confirmed","Confirmado","已确认"
"send.contractInputs","Contract inputs","Entradas de contratos","合约输入"
"send.copy","Copy","Copiar","复制"
"send.decimals","{count} decimals","{count} decimales","{count} 位小数"
"send.enterBchForUsd","Enter a BCH amount to see the USD equivalent.","Introduce un importe en BCH para ver su equivalente en USD.","输入 BCH 金额以查看 USD 等值金额。"
"send.enterUsdForBch","Enter a USD amount to see the BCH equivalent.","Introduce un importe en USD para ver su equivalente en BCH.","输入 USD 金额以查看 BCH 等值金额。"
"send.fee","Fee","Comisión","费用"
"send.fillMax","Fill the full spendable balance minus network fee","Rellenar el saldo disponible completo menos la comisión de red","填入扣除网络费用后的全部可用余额"
"send.fillRequired","Fill the required fields first","Completa los campos obligatorios","请填写必填字段"
"send.hide","Hide","Ocultar","隐藏"
"send.inputs","Inputs","Entradas","输入"
"send.inputsUsed","Inputs used","Entradas utilizadas","使用的输入"
"send.insufficientFunds","Not enough funds. Check your balance or reduce the amount.","No hay fondos suficientes. Comprueba tu saldo o reduce el importe.","资金不足，请检查余额或减少金额。"
"send.integer","integer","entero","整数"
"send.invalidAddress","Invalid address—double-check for typos or try scanning a QR code.","Dirección no válida; comprueba si hay errores o escanea un código QR.","地址无效，请检查拼写或尝试扫描二维码。"
"send.keepTxid","Keep this txid as your reference and avoid sending it again.","Conserva este txid como referencia y evita enviarlo otra vez.","请保留此 txid 作为参考，避免重复发送。"
"send.leaveBlankNft","Leave blank to send the first available NFT in this category.","Déjalo vacío para enviar el primer NFT disponible de esta categoría.","留空以发送此类别中第一个可用的 NFT。"
"send.loading","Loading…","Cargando…","加载中…"
"send.max","Max","Máximo","最大值"
"send.networkError","Network error. Check your connection and try again.","Error de red. Comprueba la conexión e inténtalo de nuevo.","网络错误，请检查连接后重试。"
"send.nft","NFT","NFT","NFT"
"send.nftCategory","NFT category","Categoría del NFT","NFT 类别"
"send.nftCommitment","NFT commitment","Compromiso del NFT","NFT 承诺值"
"send.nfts","NFTs","NFT","NFT"
"send.openAirdrops","Open Airdrops","Abrir Airdrops","打开空投"
"send.optionalHexCommitment","Optional hex commitment…","Compromiso hexadecimal opcional…","可选十六进制承诺值…"
"send.outputsCreated","Outputs created","Salidas creadas","创建的输出"
"send.pending","Pending","Pendiente","待处理"
"send.quantumrootApproval","approval key to Quantum Lock","clave de aprobación al Bloqueo cuántico","发送到量子锁的批准密钥"
"send.quantumrootHint","Review the recipient and token category, then tap Review to build the transaction.","Revisa el destinatario y la categoría del token, y toca Revisar para crear la transacción.","检查收款人和代币类别，然后点击检查以构建交易。"
"send.quantumrootNftHint","If there are multiple NFT entries, choose the one that matches the approval key.","Si hay varias entradas NFT, elige la que coincida con la clave de aprobación.","如果有多个 NFT 条目，请选择与批准密钥匹配的条目。"
"send.quantumrootPrefilled","Prefilled to send the {label}","Preparado para enviar {label}","已预填，可发送{label}"
"send.quantumrootReceive","matching receive coin to the vault receive address","moneda de recepción correspondiente a la dirección de recepción de la bóveda","发送到保险库接收地址的匹配接收币"
"send.quantumrootShortcut","Quantumroot shortcut","Acceso directo de Quantumroot","Quantumroot 快捷方式"
"send.recipient","Recipient","Destinatario","收款人"
"send.recipientAmountLoaded","Recipient and amount loaded from QR.","Destinatario e importe cargados desde el QR.","已从二维码加载收款人和金额。"
"send.recipientLoaded","Recipient loaded from QR.","Destinatario cargado desde el QR.","已从二维码加载收款人。"
"send.releaseToSend","Release to send","Suelta para enviar","松开以发送"
"send.reset","Reset","Restablecer","重置"
"send.review","Review","Revisar","检查"
"send.reviewTitle","Review Transaction","Revisar transacción","检查交易"
"send.scanQr","Scan QR","Escanear QR","扫描二维码"
"send.selectCategory","Select category…","Selecciona una categoría…","选择类别…"
"send.sending","Sending…","Enviando…","发送中…"
"send.sent","Transaction sent","Transacción completada","交易已发送"
"send.show","Show","Mostrar","显示"
"send.slideToConfirm","Slide to confirm","Desliza para confirmar","滑动确认"
"send.submitted","Transaction submitted","Transacción enviada","交易已提交"
"send.summary","Summary","Resumen","摘要"
"send.switchToBch","Switch amount input to BCH","Cambiar el importe a BCH","将金额输入切换为 BCH"
"send.switchToUsd","Switch amount input to USD","Cambiar el importe a USD","将金额输入切换为 USD"
"send.technicalDetails","Technical details","Detalles técnicos","技术详情"
"send.title","Simple Send","Envío sencillo","简单发送"
"send.to","To","A","收款人"
"send.token","Token","Token","代币"
"send.tokenAmount","Token amount","Importe del token","代币金额"
"send.tokenCategory","Token category","Categoría del token","代币类别"
"send.tokenChange","Token change","Cambio de token","代币找零"
"send.tokenInputs","Token inputs","Entradas de tokens","代币输入"
"send.totalBch","Total (BCH)","Total (BCH)","总计（BCH）"
"send.transactionSize","Transaction size","Tamaño de la transacción","交易大小"
"send.transferMode","Transfer mode","Modo de transferencia","转账模式"
"send.unconfirmedInputs","Unconfirmed inputs","Entradas sin confirmar","未确认输入"
"send.usdUnavailable","USD conversion is unavailable right now.","La conversión a USD no está disponible ahora.","当前无法进行 USD 换算。"
"send.verifyRecipient","QR scanned. Verify recipient before sending.","QR escaneado. Verifica el destinatario antes de enviar.","已扫描二维码。发送前请确认收款人。"
"send.verifySlide","Verify details and slide to send.","Verifica los detalles y desliza para enviar.","确认详情后滑动发送。"
"send.waitingSync","Waiting for sync","Esperando sincronización","等待同步"
"send.waitPrevious","Wait for your previous outgoing transaction to sync first","Espera a que se sincronice tu transacción saliente anterior","请等待上一笔转出交易完成同步"
"server.active","● active","● activo","● 活动"
"server.add","Add","Añadir","添加"
"server.addDesktopPlaceholder","Add server — Fulcrum host:50002, or a node host:8333","Añadir servidor — host Fulcrum:50002 o nodo host:8333","添加服务器 — Fulcrum 主机:50002，或节点主机:8333"
"server.addMobilePlaceholder","Add WSS server — host:50004","Añadir servidor WSS — host:50004","添加 WSS 服务器 — 主机:50004"
"server.addressUrlPlaceholder","Address URL, e.g. https://example.com/address/{address}","URL de dirección, p. ej. https://example.com/address/{address}","地址 URL，例如 https://example.com/address/{address}"
"server.auto","Auto","Automático","自动"
"server.autoBackend","Auto — server pool, with failover","Automático — grupo de servidores con conmutación por error","自动 — 服务器池，支持故障转移"
"server.automatic","Automatic","Automático","自动"
"server.backend","Backend","Backend","后端"
"server.blockExplorer","Block explorer","Explorador de bloques","区块浏览器"
"server.connect","Connect","Conectar","连接"
"server.connected","Connected.","Conectado.","已连接。"
"server.connectedServer","Connected server","Servidor conectado","已连接的服务器"
"server.connecting","Connecting…","Conectando…","连接中…"
"server.connectionFailed","Connection failed","Falló la conexión","连接失败"
"server.connectTitle","Connect to this server","Conectar a este servidor","连接到此服务器"
"server.custom","Custom…","Personalizado…","自定义…"
"server.customFee","Custom","Personalizado","自定义"
"server.defaultPortHint","Default port: 50004 (WSS). Use wss:// prefix to force WSS, or ws:// for unencrypted.","Puerto predeterminado: 50004 (WSS). Usa el prefijo wss:// para forzar WSS o ws:// sin cifrado.","默认端口：50004（WSS）。使用 wss:// 前缀强制 WSS，或使用 ws:// 进行未加密连接。"
"server.explorerDescription","Used for “open in explorer” links on transactions.","Se usa para los enlaces “abrir en el explorador” de las transacciones.","用于交易中的“在浏览器中打开”链接。"
"server.feeDescription","Fee rate for new transactions. Automatic uses the network minimum (~1 sat/byte, Electron Cash default).","Tarifa para nuevas transacciones. Automático usa el mínimo de red (~1 sat/byte, valor predeterminado de Electron Cash).","新交易的费率。自动模式使用网络最低费率（约 1 sat/字节，Electron Cash 默认值）。"
"server.feeUnit","sat/byte — applies to your next transaction","sat/byte — se aplica a tu próxima transacción","sat/字节 — 应用于下一笔交易"
"server.invalidHost","Enter a valid host:port (e.g. 192.168.0.129:50002).","Introduce un host:puerto válido (p. ej., 192.168.0.129:50002).","请输入有效的主机:端口（例如 192.168.0.129:50002）。"
"server.manual","Manual","Manual","手动"
"server.node","Node","Nodo","节点"
"server.notConnected","Not connected","No conectado","未连接"
"server.onlyBackend","Only this backend is used — pinning a node means Electrum servers aren't consulted.","Solo se usa este backend; fijar un nodo significa que no se consultan servidores Electrum.","仅使用此后端；固定节点后不会查询 Electrum 服务器。"
"server.placeholderHelp","Use {txid} and {address} as placeholders.","Usa {txid} y {address} como marcadores.","使用 {txid} 和 {address} 作为占位符。"
"server.pool","{network} server pool","Grupo de servidores de {network}","{network} 服务器池"
"server.rawNodeMobileError","Raw BCH node connections are only available on desktop. Add an Electrum/Fulcrum WSS server instead.","Las conexiones directas a nodos BCH solo están disponibles en escritorio. Añade un servidor WSS de Electrum/Fulcrum.","原始 BCH 节点连接仅在桌面端可用。请改为添加 Electrum/Fulcrum WSS 服务器。"
"server.remove","Remove","Eliminar","移除"
"server.saveCustom","Save custom explorer","Guardar explorador personalizado","保存自定义浏览器"
"server.server","Server","Servidor","服务器"
"server.serverInputPlaceholder","host, host:50004, or wss://host:50004","host, host:50004 o wss://host:50004","主机、host:50004 或 wss://host:50004"
"server.transactionFee","Transaction fee","Comisión de transacción","交易费用"
"server.trustless","trustless","sin confianza","无需信任"
"server.txUrlPlaceholder","Tx URL, e.g. https://example.com/tx/{txid}","URL de transacción, p. ej. https://example.com/tx/{txid}","交易 URL，例如 https://example.com/tx/{txid}"
"server.useAuto","Use Auto","Usar automático","使用自动模式"
"settings.about","About OPTN","Acerca de OPTN","关于 OPTN"
"settings.aboutSupport","About & support","Información y soporte","关于与支持"
"settings.aboutSupportDescription","Help, contact, terms, and app information","Ayuda, contacto, términos e información de la aplicación","帮助、联系、条款和应用信息"
"settings.connectionsFeatures","Connections & features","Conexiones y funciones","连接与功能"
"settings.connectionsFeaturesDescription","Servers, integrations, privacy features, and advanced tools","Servidores, integraciones, privacidad y herramientas avanzadas","服务器、集成、隐私功能和高级工具"
"settings.contact","Contact Us","Contacto","联系我们"
"settings.language","Language","Idioma","语言"
"settings.languageDescription","Choose the wallet interface language","Elige el idioma de la interfaz","选择钱包界面语言"
"settings.network","Network","Red","网络"
"settings.recovery","Recovery Phrase","Frase de recuperación","恢复短语"
"settings.terms","Terms of Use","Términos de uso","使用条款"
"settings.walletSecurity","Wallet & security","Billetera y seguridad","钱包与安全"
"settings.walletSecurityDescription","Recovery, derivation path, app lock, and wallet controls","Recuperación, ruta de derivación, bloqueo y controles de la billetera","恢复、派生路径、应用锁和钱包控制"
"settingsAppLock.autoLockAfter","Auto-lock after","Bloqueo automático después de","自动锁定时间"
"settingsAppLock.biometricDescription","Use {label} to unlock instead of typing your password.","Usa {label} para desbloquear en lugar de escribir tu contraseña.","使用 {label} 解锁，无需输入密码。"
"settingsAppLock.biometricSetupFailed","Biometric setup failed: {message}","No se pudo configurar la biometría: {message}","生物识别设置失败：{message}"
"settingsAppLock.biometricUnlock","Biometric unlock","Desbloqueo biométrico","生物识别解锁"
"settingsAppLock.cancel","Cancel","Cancelar","取消"
"settingsAppLock.changePassword","Change Password","Cambiar contraseña","修改密码"
"settingsAppLock.confirm","Confirm","Confirmar","确认"
"settingsAppLock.confirmNewPassword","Confirm new password","Confirmar nueva contraseña","确认新密码"
"settingsAppLock.currentPassword","Current password","Contraseña actual","当前密码"
"settingsAppLock.currentPasswordIncorrect","Current password is incorrect.","La contraseña actual no es correcta.","当前密码不正确。"
"settingsAppLock.disabled","Disabled","Desactivado","已禁用"
"settingsAppLock.enabled","Enabled","Activado","已启用"
"settingsAppLock.enabling","Enabling…","Activando…","启用中…"
"settingsAppLock.encryption","Encryption","Cifrado","加密"
"settingsAppLock.encryptionDescription","Your wallet is encrypted with a password-derived key (PBKDF2 · 600k iterations · AES-256-GCM). The key is never stored — it is derived in memory each time you unlock.","Tu billetera está cifrada con una clave derivada de la contraseña (PBKDF2 · 600k iteraciones · AES-256-GCM). La clave nunca se guarda; se deriva en memoria cada vez que desbloqueas.","钱包使用密码派生密钥加密（PBKDF2 · 600k 次迭代 · AES-256-GCM）。密钥不会被保存，每次解锁时都会在内存中派生。"
"settingsAppLock.lockNow","Lock Now","Bloquear ahora","立即锁定"
"settingsAppLock.minute","1 minute","1 minuto","1 分钟"
"settingsAppLock.minutes","{count} minutes","{count} minutos","{count} 分钟"
"settingsAppLock.never","Never","Nunca","从不"
"settingsAppLock.newPassword","New password","Nueva contraseña","新密码"
"settingsAppLock.noWalletOpen","No wallet is open.","No hay ninguna billetera abierta.","没有打开的钱包。"
"settingsAppLock.passwordChanged","Password changed successfully.","Contraseña cambiada correctamente.","密码修改成功。"
"settingsAppLock.passwordChangeFailed","Password change failed. Please try again.","No se pudo cambiar la contraseña. Inténtalo de nuevo.","密码修改失败，请重试。"
"settingsAppLock.passwordMismatch","New passwords do not match.","Las nuevas contraseñas no coinciden.","新密码不匹配。"
"settingsAppLock.updating","Updating…","Actualizando…","更新中…"
"settingsDerivation.activePath","Active BIP44 account path","Ruta de cuenta BIP44 activa","当前 BIP44 账户路径"
"settingsDerivation.alreadyActive","This derivation path is already active.","Esta ruta de derivación ya está activa.","此派生路径已经处于活动状态。"
"settingsDerivation.changeResync","Change and resync","Cambiar y resincronizar","更改并同步"
"settingsDerivation.completed","Derivation path changed and wallet resync completed.","La ruta cambió y la resincronización de la billetera terminó.","派生路径已更改，钱包同步已完成。"
