"key","English (en)","Chinese (Traditional) (zh-TW)","Status"
"quantumroot.popup.nextStep","Next step","Next step","needs-review"
"quantumroot.popup.noApprovalKey","No approval key","No approval key","needs-review"
"quantumroot.popup.noDestination","No destination set","No destination set","needs-review"
"quantumroot.popup.noReadyCoin","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","needs-review"
"quantumroot.popup.normalLane","Normal vault lane","Normal vault lane","needs-review"
"quantumroot.popup.normalLaneDescription","Your BCH and matching receive coin go here.","Your BCH and matching receive coin go here.","needs-review"
"quantumroot.popup.normalLanePending","Add the matching receive coin after the approval key is in Quantum Lock.","Add the matching receive coin after the approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.normalLaneReady","Your normal lane is ready.","Your normal lane is ready.","needs-review"
"quantumroot.popup.noStandardAddress","No standard wallet address available","No standard wallet address available","needs-review"
"quantumroot.popup.openCashTokens","Open CashTokens","Open CashTokens","needs-review"
"quantumroot.popup.openReceiveScreen","Open receive screen","Open receive screen","needs-review"
"quantumroot.popup.otherNft","Other NFT","Other NFT","needs-review"
"quantumroot.popup.otherNftDescription","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","needs-review"
"quantumroot.popup.otherNftInQuantumLock","Other NFT in Quantum Lock","Other NFT in Quantum Lock","needs-review"
"quantumroot.popup.otherNfts","{count} other NFT(s)","{count} other NFT(s)","needs-review"
"quantumroot.popup.outpoint","Outpoint","Outpoint","stable-term"
"quantumroot.popup.pending","Pending","Pending","needs-review"
"quantumroot.popup.pendingCoin","Pending coin","Pending coin","needs-review"
"quantumroot.popup.pickApprovalKey","Pick one approval key.","Pick one approval key.","needs-review"
"quantumroot.popup.plainBchCoins","{count} plain BCH coin(s)","{count} plain BCH coin(s)","needs-review"
"quantumroot.popup.plainBchDescription","Use this for plain BCH coins. Protected coins stay in the lanes above.","Use this for plain BCH coins. Protected coins stay in the lanes above.","needs-review"
"quantumroot.popup.previewOnly","Preview only on mainnet until activation.","Preview only on mainnet until activation.","needs-review"
"quantumroot.popup.protectedReceiveCount","Coins already handled by Protected spend: {count}","Coins already handled by Protected spend: {count}","needs-review"
"quantumroot.popup.protectedSpend","Protected spend","Protected spend","needs-review"
"quantumroot.popup.protectedSpendDescription","When the approval key and matching receive coin are present, spending opens here.","When the approval key and matching receive coin are present, spending opens here.","needs-review"
"quantumroot.popup.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"quantumroot.popup.quantumLockBch","Quantum Lock BCH","Quantum Lock BCH","needs-review"
"quantumroot.popup.quantumLockRecovery","Quantum Lock recovery","Quantum Lock recovery","needs-review"
"quantumroot.popup.quantumLockRecoveryCount","Quantum Lock recovery coins: {count}","Quantum Lock recovery coins: {count}","needs-review"
"quantumroot.popup.quantumrootOpens","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","needs-review"
"quantumroot.popup.ready","Ready","Ready","needs-review"
"quantumroot.popup.readyCoin","Ready coin","Ready coin","needs-review"
"quantumroot.popup.readyCoinAvailable","Ready coin available.","Ready coin available.","needs-review"
"quantumroot.popup.readyCoins","{count} ready coin(s)","{count} ready coin(s)","needs-review"
"quantumroot.popup.receiveAddress","Receive address","Receive address","needs-review"
"quantumroot.popup.receiveBch","Receive BCH","Receive BCH","needs-review"
"quantumroot.popup.recover","Recover","Recover","needs-review"
"quantumroot.popup.recoverableBchCoins","Recoverable BCH coins","Recoverable BCH coins","needs-review"
"quantumroot.popup.recoverableBchCount","Recoverable BCH coins: {count}","Recoverable BCH coins: {count}","needs-review"
"quantumroot.popup.recovering","Recovering…","Recovering…","needs-review"
"quantumroot.popup.recoverRegularBch","Recover regular BCH","Recover regular BCH","needs-review"
"quantumroot.popup.refresh","Refresh","Refresh","needs-review"
"quantumroot.popup.refreshChooseAnother","Refresh the vault or choose another approval key.","Refresh the vault or choose another approval key.","needs-review"
"quantumroot.popup.refreshVault","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.refreshVaultStatus","Refresh vault status","Refresh vault status","needs-review"
"quantumroot.popup.reviewDestination","Review the destination before broadcasting.","Review the destination before broadcasting.","needs-review"
"quantumroot.popup.reviewSpend","Review spend","Review spend","needs-review"
"quantumroot.popup.reviewSpendSubtitle","Check the destination, approval key, and ready coin before you broadcast.","Check the destination, approval key, and ready coin before you broadcast.","needs-review"
"quantumroot.popup.reviewSpendTitle","Review spend","Review spend","needs-review"
"quantumroot.popup.saveApprovalKey","Save approval key","Save approval key","needs-review"
"quantumroot.popup.saving","Saving…","Saving…","needs-review"
"quantumroot.popup.selectedApprovalKey","Selected approval key","Selected approval key","needs-review"
"quantumroot.popup.selectedAsApproval","Selected as approval key","Selected as approval key","needs-review"
"quantumroot.popup.sendApprovalHere","Send the approval key here.","Send the approval key here.","needs-review"
"quantumroot.popup.sendApprovalKey","Send approval key","Send approval key","needs-review"
"quantumroot.popup.sendApprovalKeyDescription","Open the send screen prefilled to Quantum Lock with the selected approval key.","Open the send screen prefilled to Quantum Lock with the selected approval key.","needs-review"
"quantumroot.popup.sendApprovalKeyToLock","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.sendSelectedApprovalKey","Send the selected approval key to Quantum Lock.","Send the selected approval key to Quantum Lock.","needs-review"
"quantumroot.popup.spend","Spend","Spend","needs-review"
"quantumroot.popup.spendDestination","Spend destination","Spend destination","needs-review"
"quantumroot.popup.spending","Spending…","Spending…","needs-review"
"quantumroot.popup.sweepBch","Sweep BCH coins ({count})","Sweep BCH coins ({count})","needs-review"
"quantumroot.popup.sweeping","Sweeping…","Sweeping…","needs-review"
"quantumroot.popup.tapToOpen","Tap to open","Tap to open","needs-review"
"quantumroot.popup.unsupportedQuantumLock","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.unsupportedReceive","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.useRecoveryAddress","Use wallet recovery address","Use wallet recovery address","needs-review"
"quantumroot.popup.vaultSetup","Vault setup","Vault setup","needs-review"
"quantumroot.popup.vaultSetupDescription","Copy addresses and choose the approval key.","Copy addresses and choose the approval key.","needs-review"
"quantumroot.popup.waiting","Waiting","Waiting","needs-review"
"quantumroot.popup.walletRecoveryAddress","Wallet recovery address","Wallet recovery address","needs-review"
"quantumroot.readyToRecover","{count} ready to recover","{count} 個可復原","translated"
"quantumroot.refreshing","Refreshing balances and UTXO status. Vaults remain available while sync completes.","正在重新整理餘額與 UTXO 狀態。同步完成前仍可使用保管庫。","translated"
"quantumroot.subtitle","Two spending lanes in one vault","一個保管庫中的兩條花費路徑","translated"
"quantumroot.syncingVaults","Syncing Vaults…","正在同步保管庫…","translated"
"quantumroot.syncVaults","Sync Vaults","同步保管庫","translated"
"quantumroot.toast.approvalKeyMissing","This approval key is no longer visible. Refresh the vault or choose another key.","This approval key is no longer visible. Refresh the vault or choose another key.","needs-review"
"quantumroot.toast.authorizedBroadcast","Quantumroot authorized spend broadcast: {txid}","Quantumroot authorized spend broadcast: {txid}","needs-review"
"quantumroot.toast.authorizedFailed","Quantumroot authorized spend failed: {message}","Quantumroot authorized spend failed: {message}","needs-review"
"quantumroot.toast.broadcastAuthorizedFailed","Failed to broadcast Quantumroot authorized spend.","Failed to broadcast Quantumroot authorized spend.","needs-review"
"quantumroot.toast.broadcastLockRecoveryFailed","Failed to broadcast Quantum Lock recovery.","Failed to broadcast Quantum Lock recovery.","needs-review"
"quantumroot.toast.broadcastSpendFailed","Failed to broadcast Quantumroot spend.","Failed to broadcast Quantumroot spend.","needs-review"
"quantumroot.toast.broadcastSweepFailed","Failed to broadcast Quantumroot sweep.","Failed to broadcast Quantumroot sweep.","needs-review"
"quantumroot.toast.configureFailed","Failed to configure vault: {message}","Failed to configure vault: {message}","needs-review"
"quantumroot.toast.destinationRequired","Destination address is required.","Destination address is required.","needs-review"
"quantumroot.toast.ineligibleReceiveUtxo","That receive UTXO is not eligible for authorized spend.","That receive UTXO is not eligible for authorized spend.","needs-review"
"quantumroot.toast.invalidTokenCategory","Token category must be 64 hexadecimal characters.","Token category must be 64 hexadecimal characters.","needs-review"
"quantumroot.toast.lockRecoveryBroadcast","Quantum Lock recovery broadcast: {txid}","Quantum Lock recovery broadcast: {txid}","needs-review"
"quantumroot.toast.lockRecoveryFailed","Quantum Lock recovery failed: {message}","Quantum Lock recovery failed: {message}","needs-review"
"quantumroot.toast.noBchUtxos","No BCH-only receive UTXOs available to sweep.","No BCH-only receive UTXOs available to sweep.","needs-review"
"quantumroot.toast.noControlToken","No matching Quantum Lock control token is available yet.","No matching Quantum Lock control token is available yet.","needs-review"
"quantumroot.toast.previewActive","Quantumroot mainnet preview is active until activation.","Quantumroot mainnet preview is active until activation.","needs-review"
"quantumroot.toast.reconfigured","Quantumroot vault reconfigured.","Quantumroot vault reconfigured.","needs-review"
"quantumroot.toast.spendBroadcast","Quantumroot spend broadcast: {txid}","Quantumroot spend broadcast: {txid}","needs-review"
"quantumroot.toast.spendFailed","Quantumroot spend failed: {message}","Quantumroot spend failed: {message}","needs-review"
"quantumroot.toast.sweepBroadcast","Quantumroot sweep broadcast: {txid}","Quantumroot sweep broadcast: {txid}","needs-review"
"quantumroot.toast.sweepFailed","Quantumroot sweep failed: {message}","Quantumroot sweep failed: {message}","needs-review"
"quantumroot.toast.unavailable","Quantumroot vault unavailable.","Quantumroot vault unavailable.","needs-review"
"quantumroot.trackedBalance","Tracked Balance","追蹤中的餘額","translated"
"quantumroot.vaultNumber","Vault #{id}","保管庫 #{id}","translated"
"quantumroot.vaults","Vaults","保管庫","translated"
"quantumroot.workspaceRefreshFailed","Workspace Refresh Failed","工作區重新整理失敗","translated"
"receive.addressesNotReady","Receive addresses not ready","接收地址尚未準備好","translated"
"receive.amountBch","Amount (BCH)","金額（BCH）","translated"
"receive.back","Back","返回","translated"
"receive.bip21Active","Request details are active and the QR is now encoding the BIP21 URI.","請求詳細資料已啟用，QR 現在會編碼 BIP21 URI。","translated"
"receive.bip21Description","Encode amount, label, and message into the QR payload.","將金額、標籤與訊息編碼至 QR payload。","translated"
"receive.bip21Help","When enabled, the QR and copied payload use a BIP21-style `bitcoincash:` URI so compatible wallets can autofill request details.","啟用後，QR 與複製的 payload 會使用 BIP21 風格的 `bitcoincash:` URI，讓相容錢包自動填入請求詳細資料。","translated"
"receive.bip21Title","BIP21 payment request","BIP21 付款請求","translated"
"receive.cashToken","CashToken","CashToken","stable-term"
"receive.change","Change","找零","translated"
"receive.changeAddressCount","{count} change addresses","{count} 個找零地址","translated"
"receive.clear","Clear","清除","translated"
"receive.close","Close","關閉","translated"
"receive.copied","Copied to clipboard!","已複製到剪貼簿！","translated"
"receive.copyBip21","Copy BIP21 URI","複製 BIP21 URI","translated"
"receive.copyFailed","Failed to copy.","複製失敗。","translated"
"receive.copyQrPayload","Copy receive QR payload","複製接收 QR payload","translated"
"receive.dismiss","Dismiss","關閉","translated"
"receive.dismissUnlockAlert","Dismiss unlock alert","關閉解鎖警示","translated"
"receive.label","Label","標籤","translated"
"receive.main","Main","主要","translated"
"receive.mainAddressCount","{count} main addresses","{count} 個主要地址","translated"
"receive.message","Message","訊息","stable-term"
"receive.noAddressesLoaded","This wallet does not have receive addresses loaded yet.","此錢包尚未載入接收地址。","translated"
"receive.noBranchAddresses","No addresses found in this branch yet.","此分支尚未找到地址。","translated"
"receive.noVaultFunds","No Quantumroot vault funds detected yet.","尚未偵測到 Quantumroot 保管庫資金。","translated"
"receive.openQrPreview","Open larger QR code preview","開啟較大的 QR 預覽","translated"
"receive.optional","Optional","選填","translated"
"receive.optionalExample","Optional, e.g. 0.0105","選填，例如 0.0105","translated"
"receive.prepareAddresses","Prepare receive addresses","準備接收地址","translated"
"receive.prepareAddressesDescription","Prepare addresses to show your receive QR and address list.","準備地址以顯示接收 QR 與地址清單。","translated"
"receive.privKeyReady","Private key view unlocked","私密金鑰檢視已解鎖","translated"
"receive.privKeyUnlock","Private key unlock in {count} taps","再點擊 {count} 次即可解鎖私密金鑰","translated"
"receive.pubKeyTapProgress","PubKey pressed {count}/{total} times","PubKey 已按下 {count}/{total} 次","translated"
"receive.qrCopyDescription","Tap the QR to copy the current payload. Close to return.","點擊 QR 以複製目前 payload。關閉即可返回。","translated"
"receive.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"receive.quantumLockAddress","Quantum Lock Address","Quantum Lock 地址","translated"
"receive.quantumrootStatus","Quantumroot Status","Quantumroot 狀態","translated"
"receive.readOnlyStatus","This view is read-only. It shows vault status and key receive data, but no spending or recovery actions.","此檢視為唯讀。它顯示保管庫狀態與接收資料，不提供支出或復原操作。","translated"
"receive.receiveAddress","Receive Address","接收地址","translated"
"receive.receiveBalance","Receive Balance","接收餘額","translated"
"receive.receiveQr","Receive QR","接收 QR","translated"
"receive.regular","Regular","一般","translated"
"receive.seeAllAddresses","See all addresses","查看所有地址","translated"
"receive.switch","Switch","切換","translated"
"receive.switchAddress","Switch address","切換地址","translated"
"receive.syncing","Syncing…","同步中…","translated"
"receive.tapPubKey","Tap PubKey to reveal the private key view.","點擊 PubKey 以顯示私密金鑰檢視。","translated"
"receive.title","Receive","接收","translated"
"receive.toggleAddressType","Toggle receive address type","切換接收地址類型","translated"
"receive.unavailable","Unavailable","無法使用","translated"
"reconfiguration.changingPath","Changing derivation path","正在變更衍生路徑","translated"
"reconfiguration.clearing","Clearing old wallet data","正在清除舊錢包資料","translated"
"reconfiguration.clearingDetail","Removing the previous address, history, and UTXO records.","正在移除先前的地址、歷史記錄與 UTXO 記錄。","translated"
"reconfiguration.deriving","Generating wallet addresses","正在產生錢包地址","translated"
"reconfiguration.derivingDetail","Creating the receive and change addresses for this wallet path.","正在為此錢包路徑建立接收與找零地址。","translated"
"reconfiguration.dismiss","Dismiss","關閉","translated"
"reconfiguration.failed","Wallet update failed","錢包更新失敗","translated"
"reconfiguration.failedDetail","The wallet could not be reconfigured.","無法重新設定錢包。","translated"
"reconfiguration.keepOpen","Please keep OPTN Wallet open. Navigation is temporarily disabled while wallet data is rebuilt.","請保持 OPTN Wallet 開啟。重新建立錢包資料時會暫時停用導覽。","translated"
"reconfiguration.movingTo","Moving to {network}","正在移至 {network}","translated"
"reconfiguration.preparing","Preparing wallet","正在準備錢包","translated"
"reconfiguration.preparingDetail","Stopping background sync and reconnecting to the selected network.","正在停止背景同步並重新連線至所選網路。","translated"
"reconfiguration.progress","Wallet update progress","錢包更新進度","translated"
"reconfiguration.reloading","Reloading wallet","正在重新載入錢包","translated"
"reconfiguration.stepOf","Step {current} of {total}","第 {current}/{total} 步","translated"
"reconfiguration.switchingNetwork","Switching network","正在切換網路","translated"
"reconfiguration.syncing","Synchronizing wallet","正在同步錢包","translated"
"reconfiguration.syncingDetail","Fetching balances, UTXOs, and transaction history. This can take 15–20 seconds.","正在取得餘額、UTXO 與交易歷史。可能需要 15–20 秒。","translated"
"reconfiguration.updating","Updating wallet","正在更新錢包","translated"
"reconfiguration.working","Working…","處理中…","translated"
"recovery.hide","Hide Backup Phrase","隱藏備份片語","translated"
"recovery.reveal","Reveal Backup Phrase","顯示備份片語","translated"
"recovery.warning","Warning","警告","translated"
"recovery.warningDescription","Displaying your mnemonic backup phrase can compromise your funds. Ensure you keep it secure.","顯示助記詞備份可能危及資金安全。請妥善保管。","translated"
"rpa.confirmedPayment","confirmed stealth payment","已確認的隱密付款","translated"
"rpa.confirmedPayments","{count} confirmed stealth payment(s) found","找到 {count} 筆已確認的隱密付款","translated"
"rpa.copyFailed","Copy failed.","複製失敗。","translated"
"rpa.copySuccess","Paycode copied!","Paycode 已複製！","translated"
"rpa.derivationFailed","Paycode derivation failed. Unlock your wallet and try again.","Paycode 衍生失敗。請解鎖錢包後再試。","translated"
"rpa.derivationPaths","Derivation paths","衍生路徑","translated"
"rpa.deriving","Deriving paycode…","正在衍生 Paycode…","translated"
"rpa.found","found","找到","translated"
"rpa.howWorks","How it works","運作方式","translated"
"rpa.lastScanned","Last scanned","上次掃描","translated"
"rpa.noNotification","No notification tx.","沒有通知交易。","translated"
"rpa.noNotificationText","The sender grinds their signature nonce until the input hash prefix matches your scan key — detectability is embedded in the signature itself.","寄件者會嘗試簽章 nonce，直到輸入雜湊前綴符合您的掃描金鑰；可偵測性直接嵌入簽章。","translated"
"rpa.paycode","Paycode","Paycode","stable-term"
"rpa.prefixFilter","Prefix filter","前綴篩選","translated"
"rpa.scanDescription","Scans a Fulcrum-RPA server for transactions whose input signature prefix matches your scan key. Uses ECDH to verify each candidate and detect your stealth outputs.","掃描 Fulcrum-RPA 伺服器，尋找輸入簽章前綴符合掃描金鑰的交易。使用 ECDH 驗證候選項目並偵測您的隱密輸出。","translated"
"rpa.scanKey","Scan key","掃描金鑰","translated"
"rpa.scanning","Scanning…","掃描中…","translated"
"rpa.serverUnsupported","This server does not support RPA scanning.","此伺服器不支援 RPA 掃描。","translated"
"rpa.shareDescription","Share this paycode with senders. Each payment creates a unique stealth address — no link between payments on-chain.","將此 Paycode 分享給寄件者。每筆付款都會建立唯一的隱密地址，鏈上付款之間不會互相連結。","translated"
"rpa.spendKey","Spend key","支出金鑰","translated"
"rpa.stealthBalance","Stealth BCH","隱密 BCH","translated"
"rpa.sync","Sync","同步","translated"
"rpa.title","RPA Paycode","RPA Paycode","stable-term"
"rpa.walletUnavailable","Wallet not available","錢包無法使用","translated"
"send.address","Address","地址","translated"
"send.advanced","Advanced","進階","translated"
"send.advancedBuilder","Open Advanced Builder","開啟進階建構器","translated"
"send.airdrops","Airdrops","Airdrop","translated"
"send.amount","Amount","金額","translated"
"send.amountBch","Amount (BCH)","金額（BCH）","translated"
"send.amountUsd","Amount (USD)","金額（USD）","translated"
"send.asset","Asset","資產","translated"
"send.assetControl","Asset control","資產控制","translated"
"send.back","Back","返回","translated"
"send.balance","Balance","餘額","translated"
"send.bcmrMetadata","Parsed using BCMR metadata from the selected category.","使用所選類別的 BCMR 中繼資料解析。","translated"
"send.bytes","bytes","位元組","stable-term"
"send.changeAddress","Change address","找零地址","translated"
"send.clearForm","Clear form","清除表單","translated"
"send.confirmed","Confirmed","已確認","translated"
"send.contract","Contract","合約","translated"
"send.contractInputs","Contract inputs","合約輸入","translated"
"send.copy","Copy","複製","translated"
"send.debug","Debug","除錯","translated"
"send.decimals","{count} decimals","{count} 位小數","translated"
"send.details","Details","詳細資料","translated"
"send.enterBchForUsd","Enter a BCH amount to see the USD equivalent.","輸入 BCH 金額以查看 USD 等值。","translated"
"send.enterUsdForBch","Enter a USD amount to see the BCH equivalent.","輸入 USD 金額以查看 BCH 等值。","translated"
"send.fee","Fee","費用","translated"
"send.fillMax","Fill the full spendable balance minus network fee","填入可支用餘額扣除網路費用後的全部金額","translated"
"send.fillRequired","Fill the required fields first","請先填寫必要欄位","translated"
"send.finalOutputs","Final outputs","最終輸出","translated"
"send.guidedDescription","Send BCH, fungible tokens, or NFTs with one guided flow.","透過單一導引流程傳送 BCH、可替代代幣或 NFT。","translated"
"send.height","Height","高度","translated"
"send.hide","Hide","隱藏","translated"
"send.inputs","Inputs","輸入","translated"
"send.inputsUsed","Inputs used","已使用輸入","translated"
"send.insufficientFunds","Not enough funds. Check your balance or reduce the amount.","資金不足。請檢查餘額或降低金額。","translated"
"send.integer","integer","整數","translated"
"send.invalidAddress","Invalid address—double-check for typos or try scanning a QR code.","地址無效 — 請檢查錯字或嘗試掃描 QR。","translated"
"send.keepTxid","Keep this txid as your reference and avoid sending it again.","請保留此 txid 作為參考，避免再次傳送。","translated"
"send.leaveBlankNft","Leave blank to send the first available NFT in this category.","留白即可傳送此類別中第一個可用 NFT。","translated"
"send.loading","Loading…","載入中…","translated"
"send.max","Max","最大值","stable-term"
"send.networkError","Network error. Check your connection and try again.","網路錯誤。請檢查連線後再試。","translated"
"send.nft","NFT","NFT","stable-term"
"send.nftCategory","NFT category","NFT 類別","translated"
"send.nftCommitment","NFT commitment","NFT 承諾","translated"
"send.nfts","NFTs","NFT","stable-term"
"send.noInputs","No inputs selected yet (run Review).","尚未選取輸入（請執行檢查）。","translated"
"send.noOutputs","No outputs yet (run Review).","尚無輸出（請執行檢查）。","translated"
"send.noTxBuilt","(no tx built yet)","（尚未建立交易）","translated"
"send.openAirdrops","Open Airdrops","開啟 Airdrop","translated"
"send.optionalHexCommitment","Optional hex commitment…","選填十六進位承諾…","translated"
"send.outpoint","Outpoint","Outpoint","stable-term"
"send.outputsCreated","Outputs created","已建立輸出","translated"
"send.pending","Pending","待處理","translated"
"send.quantumrootApproval","approval key to Quantum Lock","Quantum Lock 的核准金鑰","translated"
"send.quantumrootHint","Review the recipient and token category, then tap Review to build the transaction.","檢查收款人與代幣類別，然後點選檢查以建立交易。","translated"
"send.quantumrootNftHint","If there are multiple NFT entries, choose the one that matches the approval key.","若有多個 NFT 項目，請選取與核准金鑰相符的項目。","translated"
"send.quantumrootPrefilled","Prefilled to send the {label}","已預填，要傳送 {label}","translated"
"send.quantumrootReceive","matching receive coin to the vault receive address","與保管庫接收地址相符的接收 coin","translated"
"send.quantumrootShortcut","Quantumroot shortcut","Quantumroot 捷徑","translated"
"send.rawTransaction","Raw transaction","原始交易","translated"
"send.recipient","Recipient","收款人","translated"
"send.recipientAmountLoaded","Recipient and amount loaded from QR.","已從 QR 載入收款人與金額。","translated"
"send.recipientLoaded","Recipient loaded from QR.","已從 QR 載入收款人。","translated"
"send.releaseToSend","Release to send","解除後傳送","translated"
"send.reset","Reset","重設","translated"
"send.review","Review","檢查","translated"
"send.reviewTitle","Review Transaction","檢查交易","translated"
"send.sats","Sats","Sats","stable-term"
"send.scanQr","Scan QR","掃描 QR","translated"
"send.selectCategory","Select category…","選取類別…","translated"
"send.selectedInputs","Selected inputs","已選取的輸入","translated"
"send.send","Send","傳送","translated"
"send.sending","Sending…","傳送中…","translated"
"send.sent","Transaction sent","交易已傳送","translated"
"send.show","Show","顯示","translated"
"send.slideToConfirm","Slide to confirm","滑動以確認","translated"
"send.submitted","Transaction submitted","交易已提交","translated"
"send.summary","Summary","摘要","translated"
"send.switchToBch","Switch amount input to BCH","切換為 BCH 金額輸入","translated"
"send.switchToUsd","Switch amount input to USD","切換為 USD 金額輸入","translated"
"send.technicalDetails","Technical details","技術詳細資料","translated"
"send.title","Simple Send","簡易傳送","translated"
"send.to","To","至","translated"
"send.token","Token","代幣","stable-term"
"send.tokenAmount","Token amount","代幣金額","translated"
"send.tokenCategory","Token category","代幣類別","translated"
"send.tokenChange","Token change","代幣找零","translated"
"send.tokenInputs","Token inputs","代幣輸入","translated"
"send.tokenLabel","Token","代幣","stable-term"
"send.totalBch","Total (BCH)","總計（BCH）","stable-term"
"send.transactionSize","Transaction size","交易大小","translated"
"send.transferMode","Transfer mode","傳送模式","translated"
"send.type","Type","類型","stable-term"
"send.unconfirmedInputs","Unconfirmed inputs","未確認輸入","translated"
"send.usdUnavailable","USD conversion is unavailable right now.","目前無法進行 USD 轉換。","translated"
"send.verifyRecipient","QR scanned. Verify recipient before sending.","已掃描 QR。傳送前請確認收款人。","translated"
"send.verifySlide","Verify details and slide to send.","確認詳細資料後滑動以傳送。","translated"
"send.waitingSync","Waiting for sync","等待同步","translated"
"send.waitPrevious","Wait for your previous outgoing transaction to sync first","請先等待上一筆傳出交易同步","translated"
"server.active","● active","● 使用中","translated"
"server.add","Add","新增","translated"
"server.addDesktopPlaceholder","Add server — Fulcrum host:50002, or a node host:8333","新增伺服器 — Fulcrum host:50002 或節點 host:8333","translated"
"server.addMobilePlaceholder","Add WSS server — host:50004","新增 WSS 伺服器 — host:50004","translated"
"server.addressUrlPlaceholder","Address URL, e.g. https://example.com/address/{address}","地址 URL，例如 https://example.com/address/{address}","translated"
"server.auto","Auto","自動","translated"
"server.autoBackend","Auto — server pool, with failover","自動 — 伺服器池含故障切換","translated"
"server.automatic","Automatic","自動","translated"
"server.backend","Backend","後端","stable-term"
"server.blockExplorer","Block explorer","區塊瀏覽器","translated"
"server.connect","Connect","連線","translated"
"server.connected","Connected.","已連線。","translated"
"server.connectedServer","Connected server","已連線伺服器","translated"
"server.connecting","Connecting…","連線中…","translated"
"server.connectionFailed","Connection failed","連線失敗","translated"
"server.connectTitle","Connect to this server","連線至此伺服器","translated"
"server.custom","Custom…","自訂…","translated"
"server.customFee","Custom","自訂","translated"
"server.defaultPortHint","Default port: 50004 (WSS). Use wss:// prefix to force WSS, or ws:// for unencrypted.","預設連接埠：50004 (WSS)。使用 wss:// 前綴強制 WSS，或使用 ws:// 進行未加密連線。","translated"
"server.explorerDescription","Used for “open in explorer” links on transactions.","用於交易上的「在瀏覽器中開啟」連結。","translated"
"server.feeDescription","Fee rate for new transactions. Automatic uses the network minimum (~1 sat/byte, Electron Cash default).","新交易的費率。自動模式使用網路最低值（約 1 sat/byte，Electron Cash 預設值）。","translated"
"server.feeUnit","sat/byte — applies to your next transaction","sat/byte — 套用至下一筆交易","translated"
"server.invalidHost","Enter a valid host:port (e.g. 192.168.0.129:50002).","輸入有效的 host:port（例如 192.168.0.129:50002）。","translated"
"server.manual","Manual","手動","stable-term"
"server.node","Node","節點","stable-term"
"server.notConnected","Not connected","未連線","translated"
"server.onlyBackend","Only this backend is used — pinning a node means Electrum servers aren't consulted.","僅使用此後端 — 固定節點後不會查詢 Electrum 伺服器。","translated"
"server.placeholderHelp","Use {txid} and {address} as placeholders.","使用 {txid} 和 {address} 作為佔位符。","translated"
"server.pool","{network} server pool","{network} 伺服器池","translated"
"server.rawNodeMobileError","Raw BCH node connections are only available on desktop. Add an Electrum/Fulcrum WSS server instead.","行動裝置僅能使用桌面版的原始 BCH 節點連線。請改加 Electrum/Fulcrum WSS 伺服器。","translated"
"server.remove","Remove","移除","translated"
"server.saveCustom","Save custom explorer","儲存自訂瀏覽器","translated"
"server.server","Server","伺服器","translated"
"server.serverInputPlaceholder","host, host:50004, or wss://host:50004","host、host:50004 或 wss://host:50004","translated"
"server.transactionFee","Transaction fee","交易費用","translated"
"server.trustless","trustless","無需信任","translated"
"server.txUrlPlaceholder","Tx URL, e.g. https://example.com/tx/{txid}","交易 URL，例如 https://example.com/tx/{txid}","translated"
"server.useAuto","Use Auto","使用自動","translated"
"settings.about","About OPTN","關於 OPTN","translated"
"settings.aboutSupport","About & support","關於與支援","translated"
"settings.aboutSupportDescription","Help, contact, terms, and app information","說明、聯絡方式、條款與應用程式資訊","translated"
"settings.connectionsFeatures","Connections & features","連線與功能","translated"
"settings.connectionsFeaturesDescription","Servers, integrations, privacy features, and advanced tools","伺服器、整合、隱私功能與進階工具","translated"
"settings.contact","Contact Us","聯絡我們","translated"
"settings.language","Language","語言","translated"
"settings.languageDescription","Choose the wallet interface language","選擇錢包介面語言","translated"
"settings.network","Network","網路","translated"
"settings.recovery","Recovery Phrase","復原片語","translated"
"settings.terms","Terms of Use","使用條款","translated"
"settings.walletSecurity","Wallet & security","錢包與安全性","translated"
"settings.walletSecurityDescription","Recovery, derivation path, app lock, and wallet controls","復原、衍生路徑、應用程式鎖定與錢包控制","translated"
"settingsAppLock.autoLockAfter","Auto-lock after","自動鎖定時間","translated"
"settingsAppLock.biometricDescription","Use {label} to unlock instead of typing your password.","使用 {label} 解鎖，不必輸入密碼。","translated"
