"key","English (en)","Japanese (ja)","Status"
"send.leaveBlankNft","Leave blank to send the first available NFT in this category.","このカテゴリで利用可能な最初の NFT を送る場合は空欄にします。","translated"
"send.loading","Loading…","読み込み中…","translated"
"send.max","Max","最大","stable-term"
"send.networkError","Network error. Check your connection and try again.","ネットワークエラーです。接続を確認してもう一度お試しください。","translated"
"send.nft","NFT","NFT","stable-term"
"send.nftCategory","NFT category","NFT カテゴリ","translated"
"send.nftCommitment","NFT commitment","NFT コミットメント","translated"
"send.nfts","NFTs","NFT","stable-term"
"send.noInputs","No inputs selected yet (run Review).","入力がまだ選択されていません（確認を実行してください）。","translated"
"send.noOutputs","No outputs yet (run Review).","出力がまだありません（確認を実行してください）。","translated"
"send.noTxBuilt","(no tx built yet)","（トランザクションはまだ作成されていません）","translated"
"send.openAirdrops","Open Airdrops","Airdrop を開く","translated"
"send.optionalHexCommitment","Optional hex commitment…","任意の 16 進コミットメント…","translated"
"send.outpoint","Outpoint","Outpoint","stable-term"
"send.outputsCreated","Outputs created","作成した出力","translated"
"send.pending","Pending","保留中","translated"
"send.quantumrootApproval","approval key to Quantum Lock","Quantum Lock の承認キー","translated"
"send.quantumrootHint","Review the recipient and token category, then tap Review to build the transaction.","受取人とトークンカテゴリを確認し、確認をタップしてトランザクションを作成します。","translated"
"send.quantumrootNftHint","If there are multiple NFT entries, choose the one that matches the approval key.","NFT の候補が複数ある場合は、承認キーに一致するものを選択してください。","translated"
"send.quantumrootPrefilled","Prefilled to send the {label}","{label} の送信先が入力済み","translated"
"send.quantumrootReceive","matching receive coin to the vault receive address","保管庫の受取アドレスに一致する受取コイン","translated"
"send.quantumrootShortcut","Quantumroot shortcut","Quantumroot ショートカット","translated"
"send.rawTransaction","Raw transaction","生トランザクション","translated"
"send.recipient","Recipient","受取人","translated"
"send.recipientAmountLoaded","Recipient and amount loaded from QR.","QR から受取人と金額を読み込みました。","translated"
"send.recipientLoaded","Recipient loaded from QR.","QR から受取人を読み込みました。","translated"
"send.releaseToSend","Release to send","解除して送信","translated"
"send.reset","Reset","リセット","translated"
"send.review","Review","確認","translated"
"send.reviewTitle","Review Transaction","トランザクションを確認","translated"
"send.sats","Sats","Sats","stable-term"
"send.scanQr","Scan QR","QR をスキャン","translated"
"send.selectCategory","Select category…","カテゴリを選択…","translated"
"send.selectedInputs","Selected inputs","選択した入力","translated"
"send.send","Send","送信","translated"
"send.sending","Sending…","送信中…","translated"
"send.sent","Transaction sent","送信済み","translated"
"send.show","Show","表示","translated"
"send.slideToConfirm","Slide to confirm","スライドして確認","translated"
"send.submitted","Transaction submitted","トランザクションを送信しました","translated"
"send.summary","Summary","概要","translated"
"send.switchToBch","Switch amount input to BCH","金額入力を BCH に切り替え","translated"
"send.switchToUsd","Switch amount input to USD","金額入力を USD に切り替え","translated"
"send.technicalDetails","Technical details","技術的な詳細","translated"
"send.title","Simple Send","簡単送信","translated"
"send.to","To","宛先","translated"
"send.token","Token","トークン","stable-term"
"send.tokenAmount","Token amount","トークン数量","translated"
"send.tokenCategory","Token category","トークンカテゴリ","translated"
"send.tokenChange","Token change","トークンのおつり","translated"
"send.tokenInputs","Token inputs","トークン入力","translated"
"send.tokenLabel","Token","トークン","stable-term"
"send.totalBch","Total (BCH)","合計（BCH）","stable-term"
"send.transactionSize","Transaction size","トランザクションサイズ","translated"
"send.transferMode","Transfer mode","転送モード","translated"
"send.type","Type","種類","stable-term"
"send.unconfirmedInputs","Unconfirmed inputs","未確認の入力","translated"
"send.usdUnavailable","USD conversion is unavailable right now.","現在 USD 換算を利用できません。","translated"
"send.verifyRecipient","QR scanned. Verify recipient before sending.","QR をスキャンしました。送信前に受取人を確認してください。","translated"
"send.verifySlide","Verify details and slide to send.","詳細を確認してスライドして送信します。","translated"
"send.waitingSync","Waiting for sync","同期を待っています","translated"
"send.waitPrevious","Wait for your previous outgoing transaction to sync first","前の送信トランザクションの同期を待ってください","translated"
"server.active","● active","● 有効","translated"
"server.add","Add","追加","translated"
"server.addDesktopPlaceholder","Add server — Fulcrum host:50002, or a node host:8333","サーバーを追加 — Fulcrum host:50002、またはノード host:8333","translated"
"server.addMobilePlaceholder","Add WSS server — host:50004","WSS サーバーを追加 — host:50004","translated"
"server.addressUrlPlaceholder","Address URL, e.g. https://example.com/address/{address}","アドレス URL（例: https://example.com/address/{address}）","translated"
"server.auto","Auto","自動","translated"
"server.autoBackend","Auto — server pool, with failover","自動 — フェイルオーバー付きサーバープール","translated"
"server.automatic","Automatic","自動","translated"
"server.backend","Backend","バックエンド","stable-term"
"server.blockExplorer","Block explorer","ブロックエクスプローラー","translated"
"server.connect","Connect","接続","translated"
"server.connected","Connected.","接続しました。","translated"
"server.connectedServer","Connected server","接続中のサーバー","translated"
"server.connecting","Connecting…","接続中…","translated"
"server.connectionFailed","Connection failed","接続に失敗しました","translated"
"server.connectTitle","Connect to this server","このサーバーに接続","translated"
"server.custom","Custom…","カスタム…","translated"
"server.customFee","Custom","カスタム","translated"
"server.defaultPortHint","Default port: 50004 (WSS). Use wss:// prefix to force WSS, or ws:// for unencrypted.","デフォルトポート: 50004 (WSS)。wss:// で WSS を強制、ws:// で暗号化なしの接続を使用します。","translated"
"server.explorerDescription","Used for “open in explorer” links on transactions.","取引の「エクスプローラーで開く」リンクに使用します。","translated"
"server.feeDescription","Fee rate for new transactions. Automatic uses the network minimum (~1 sat/byte, Electron Cash default).","新しい取引の手数料率。自動ではネットワークの最低値（約 1 sat/byte、Electron Cash の既定値）を使用します。","translated"
"server.feeUnit","sat/byte — applies to your next transaction","sat/byte — 次の取引に適用","translated"
"server.invalidHost","Enter a valid host:port (e.g. 192.168.0.129:50002).","有効な host:port を入力してください（例: 192.168.0.129:50002）。","translated"
"server.manual","Manual","手動","stable-term"
"server.node","Node","ノード","stable-term"
"server.notConnected","Not connected","未接続","translated"
"server.onlyBackend","Only this backend is used — pinning a node means Electrum servers aren't consulted.","このバックエンドのみ使用 — ノードを固定すると Electrum サーバーは参照されません。","translated"
"server.placeholderHelp","Use {txid} and {address} as placeholders.","{txid} と {address} をプレースホルダーとして使用します。","translated"
"server.pool","{network} server pool","{network} サーバープール","translated"
"server.rawNodeMobileError","Raw BCH node connections are only available on desktop. Add an Electrum/Fulcrum WSS server instead.","Raw BCH ノード接続はデスクトップでのみ利用できます。Electrum/Fulcrum WSS サーバーを追加してください。","translated"
"server.remove","Remove","削除","translated"
"server.saveCustom","Save custom explorer","カスタムエクスプローラーを保存","translated"
"server.server","Server","サーバー","translated"
"server.serverInputPlaceholder","host, host:50004, or wss://host:50004","host、host:50004、または wss://host:50004","translated"
"server.transactionFee","Transaction fee","取引手数料","translated"
"server.trustless","trustless","トラストレス","translated"
"server.txUrlPlaceholder","Tx URL, e.g. https://example.com/tx/{txid}","取引 URL（例: https://example.com/tx/{txid}）","translated"
"server.useAuto","Use Auto","自動を使用","translated"
"settings.about","About OPTN","OPTN について","translated"
"settings.aboutSupport","About & support","情報とサポート","translated"
"settings.aboutSupportDescription","Help, contact, terms, and app information","ヘルプ、連絡先、利用規約、アプリ情報","translated"
"settings.connectionsFeatures","Connections & features","接続と機能","translated"
"settings.connectionsFeaturesDescription","Servers, integrations, privacy features, and advanced tools","サーバー、連携、プライバシー機能、詳細ツール","translated"
"settings.contact","Contact Us","お問い合わせ","translated"
"settings.language","Language","言語","translated"
"settings.languageDescription","Choose the wallet interface language","ウォレットのインターフェース言語を選択","translated"
"settings.network","Network","ネットワーク","translated"
"settings.recovery","Recovery Phrase","リカバリーフレーズ","translated"
"settings.terms","Terms of Use","利用規約","translated"
"settings.walletSecurity","Wallet & security","ウォレットとセキュリティ","translated"
"settings.walletSecurityDescription","Recovery, derivation path, app lock, and wallet controls","復元、派生パス、アプリロック、ウォレット設定","translated"
"settingsAppLock.autoLockAfter","Auto-lock after","自動ロックまで","translated"
"settingsAppLock.biometricDescription","Use {label} to unlock instead of typing your password.","パスワードを入力せず {label} でロックを解除します。","translated"
"settingsAppLock.biometricSetupFailed","Biometric setup failed: {message}","生体認証の設定に失敗しました：{message}","translated"
"settingsAppLock.biometricUnlock","Biometric unlock","生体認証でロック解除","translated"
"settingsAppLock.cancel","Cancel","キャンセル","translated"
"settingsAppLock.changePassword","Change Password","パスワードを変更","translated"
"settingsAppLock.confirm","Confirm","確認","translated"
"settingsAppLock.confirmNewPassword","Confirm new password","新しいパスワードを確認","translated"
"settingsAppLock.currentPassword","Current password","現在のパスワード","translated"
"settingsAppLock.currentPasswordIncorrect","Current password is incorrect.","現在のパスワードが正しくありません。","translated"
"settingsAppLock.disabled","Disabled","無効","translated"
"settingsAppLock.enabled","Enabled","有効","translated"
"settingsAppLock.enabling","Enabling…","有効化中…","translated"
"settingsAppLock.encryption","Encryption","暗号化","translated"
"settingsAppLock.encryptionDescription","Your wallet is encrypted with a password-derived key (PBKDF2 · 600k iterations · AES-256-GCM). The key is never stored — it is derived in memory each time you unlock.","ウォレットはパスワードから導出した鍵で暗号化されています（PBKDF2 · 600,000 回反復 · AES-256-GCM）。鍵は保存されず、ロック解除のたびにメモリ上で導出されます。","translated"
"settingsAppLock.lockNow","Lock Now","今すぐロック","translated"
"settingsAppLock.minute","1 minute","1 分","stable-term"
"settingsAppLock.minutes","{count} minutes","{count} 分","stable-term"
"settingsAppLock.never","Never","しない","translated"
"settingsAppLock.newPassword","New password","新しいパスワード","translated"
"settingsAppLock.noWalletOpen","No wallet is open.","ウォレットが開かれていません。","translated"
"settingsAppLock.passwordChanged","Password changed successfully.","パスワードを変更しました。","translated"
"settingsAppLock.passwordChangeFailed","Password change failed. Please try again.","パスワードの変更に失敗しました。もう一度お試しください。","translated"
"settingsAppLock.passwordMismatch","New passwords do not match.","新しいパスワードが一致しません。","translated"
"settingsAppLock.updating","Updating…","更新中…","translated"
"settingsDerivation.activePath","Active BIP44 account path","アクティブな BIP44 アカウントパス","translated"
"settingsDerivation.alreadyActive","This derivation path is already active.","この導出パスはすでに有効です。","translated"
"settingsDerivation.changeResync","Change and resync","変更して再同期","translated"
"settingsDerivation.completed","Derivation path changed and wallet resync completed.","導出パスを変更し、ウォレットの同期が完了しました。","translated"
"settingsDerivation.confirm","Changing the derivation path clears the current address, history, and UTXO records. The wallet will then regenerate and resync only the new path. Continue?","導出パスを変更すると、現在のアドレス、履歴、UTXO が消去されます。その後、新しいパスだけを再生成して同期します。続けますか？","translated"
"settingsDerivation.currentMode","Current mode: {mode}.","現在のモード：{mode}。","translated"
"settingsDerivation.custom","custom","カスタム","translated"
"settingsDerivation.description","OPTN supports one active BIP44 account path at a time. Reconfiguring it removes the old derived records and performs a fresh receive/change discovery and resync.","OPTN は一度に 1 つの BIP44 アカウントパスを有効にできます。再構成すると古い導出記録を削除し、受取とおつりの検出および同期をやり直します。","translated"
"settingsDerivation.failed","Wallet reconfiguration failed.","ウォレットの再構成に失敗しました。","translated"
"settingsDerivation.invalidPath","Invalid derivation path.","導出パスが無効です。","translated"
"settingsDerivation.networkDefault","network default","ネットワークの既定値","translated"
"settingsDerivation.reconfiguring","Reconfiguring…","再構成中…","translated"
"settingsDerivation.useDefault","Use network default","ネットワークの既定値を使用","translated"
"settingsNetwork.active","Active","有効","translated"
"settingsNetwork.chipnet","Chipnet","Chipnet","stable-term"
"settingsNetwork.chipnetDescription","BCH testnet for upcoming CHIPs — test funds only","今後の CHIPs 用 BCH テストネット — テスト資金のみ","translated"
"settingsNetwork.comingSoon","Coming soon","近日公開","translated"
"settingsNetwork.description","Switching networks clears the active network records, derives the network path, and resynchronizes receive/change addresses. Custom paths are preserved across network changes.","ネットワークを切り替えると、現在のネットワーク記録を消去し、ネットワークパスを導出して受取・おつりアドレスを再同期します。カスタムパスは保持されます。","translated"
"settingsNetwork.mainnet","Mainnet","Mainnet","stable-term"
"settingsNetwork.mainnetDescription","Live BCH network — real funds","実際の BCH ネットワーク — 実資金","translated"
"settingsNetwork.regtest","Regtest","Regtest","stable-term"
"settingsNetwork.reload","Reload and resync current wallet","ウォレットを再読み込みして同期","translated"
"settingsNetwork.reloading","Reloading wallet…","ウォレットを再読み込み中…","translated"
"settingsNetwork.switching","Switching…","切り替え中…","translated"
"settingsNetwork.testnet3","Testnet3","Testnet3","stable-term"
"settingsNetwork.testnet4","Testnet4","Testnet4","stable-term"
"settingsPanels.addons","Addons","アドオン","translated"
"settingsPanels.appLock","App Lock","アプリロック","translated"
"settingsPanels.cashfusion","CashFusion","CashFusion","stable-term"
"settingsPanels.console","Console","コンソール","stable-term"
"settingsPanels.contract","Contract Info","コントラクト情報","translated"
"settingsPanels.derivation","Derivation Path","導出パス","translated"
"settingsPanels.experimental","Experimental Features","実験的な機能","translated"
"settingsPanels.faucet","Chipnet Faucet","Chipnet Faucet","stable-term"
"settingsPanels.nostr","Nostr & Chat","Nostr とチャット","translated"
"settingsPanels.server","Server","サーバー","stable-term"
"settingsPanels.walletConnect","WalletConnect","WalletConnect","stable-term"
"settingsPanels.wizardConnect","WizardConnect","WizardConnect","stable-term"
"settingsRows.about","About OPTN","OPTN について","translated"
"settingsRows.aboutDescription","Version info","バージョン情報","translated"
"settingsRows.addons","Addons","アドオン","translated"
"settingsRows.addonsDescription","Install and manage third-party addons","サードパーティ製アドオンをインストール・管理","translated"
"settingsRows.appLock","App Lock","アプリロック","translated"
"settingsRows.appLockDescription","Auto-lock · Change password","自動ロック · パスワード変更","translated"
"settingsRows.console","Console","コンソール","stable-term"
"settingsRows.consoleDescription","App log · Electrum RPC","アプリログ · Electrum RPC","translated"
"settingsRows.contact","Contact Us","お問い合わせ","translated"
"settingsRows.contactDescription","Get help and support","ヘルプとサポートを受ける","translated"
"settingsRows.contractInfo","Contract Info","コントラクト情報","translated"
"settingsRows.contractInfoDescription","View contract details","コントラクトの詳細を表示","translated"
"settingsRows.derivation","Derivation Path","派生パス","translated"
"settingsRows.derivationDescription","Customize and resync the active BIP44 path","現在の BIP44 パスをカスタマイズして再同期","translated"
"settingsRows.experimental","Experimental Features","実験的機能","translated"
"settingsRows.experimentalDescription","RPA · CashFusion","RPA · CashFusion","stable-term"
"settingsRows.faucet","Chipnet Faucet","Chipnet Faucet","stable-term"
"settingsRows.faucetDescription","Get test BCH on Chipnet","Chipnet のテスト BCH を取得","translated"
"settingsRows.language","Language","言語","translated"
"settingsRows.languageDescription","Choose the wallet interface language","ウォレットの表示言語を選択","translated"
"settingsRows.network","Network","ネットワーク","translated"
"settingsRows.networkDescription","Switch between Mainnet and Chipnet","Mainnet と Chipnet を切り替え","translated"
"settingsRows.nostr","Nostr & Chat","Nostr とチャット","translated"
"settingsRows.nostrDescription","Private messages · Identity · Relay pool","プライベートメッセージ · ID · リレー","translated"
"settingsRows.pendingOutbox","Pending Tx Locks","保留中の取引ロック","translated"
"settingsRows.pendingOutboxDescription","Review outgoing transaction locks","送信取引のロックを確認","translated"
"settingsRows.recovery","Recovery Phrase","リカバリーフレーズ","translated"
"settingsRows.recoveryDescription","Back up your wallet","ウォレットをバックアップ","translated"
"settingsRows.server","Servers","サーバー","translated"
"settingsRows.serverDescription","Electrum · Block explorer · Transaction fees","Electrum · ブロックエクスプローラー · 取引手数料","translated"
"settingsRows.terms","Terms of Use","利用規約","translated"
"settingsRows.termsDescription","Read our terms","規約を読む","translated"
"settingsRows.walletConnect","WalletConnect","WalletConnect","stable-term"
"settingsRows.walletConnectDescription","Manage dApp connections","dApp 接続を管理","translated"
"settingsRows.wizardConnect","WizardConnect","WizardConnect","stable-term"
"settingsRows.wizardConnectDescription","Connect to token wizards","トークン wizard に接続","translated"
"terms.acceptance","1. Acceptance of Terms","1. 条件への同意","translated"
"terms.acceptanceText","By accessing and using the OPTN Wallet App (“the App”), you agree to comply with and be bound by these Terms of Use. If you do not agree, please do not use the App.","OPTN Wallet アプリ（「本アプリ」）にアクセスして使用することで、この利用規約に従い拘束されることに同意したものとします。同意しない場合は本アプリを使用しないでください。","translated"
"terms.deviceSecurity","Ensuring the security of your device and the App.","デバイスと本アプリの安全を確保すること。","translated"
"terms.modifications","6. Modifications","6. 変更","stable-term"
"terms.modificationsText","The developers may modify, suspend, or discontinue the App without prior notice and may update these Terms. You are responsible for reviewing them periodically.","開発者は事前の通知なく本アプリを変更、一時停止、終了でき、規約を更新することがあります。ユーザーは定期的に確認する責任があります。","translated"
"terms.noLiability","4. No Liability","4. 免責","translated"
"terms.noLiabilityText","The developers assume no liability for loss, damage, or unauthorized access arising from use of the App, including cryptocurrency loss, data breaches, or device malfunctions. You use the App at your own risk.","開発者は、本アプリの使用から生じる損失、損害、不正アクセスについて責任を負いません。暗号資産の損失、データ侵害、デバイスの故障も含まれます。使用は自己責任で行ってください。","translated"
"terms.noWarranty","5. No Warranty","5. 保証なし","translated"
"terms.noWarrantyText","The App is provided “as is” without express or implied warranties. The developers do not guarantee reliability, accuracy, completeness, error-free operation, or uninterrupted service.","本アプリは明示または黙示の保証なしに「現状のまま」提供されます。開発者は信頼性、正確性、完全性、エラーのない動作、継続的なサービスを保証しません。","translated"
"terms.purpose","2. Purpose","2. 目的","translated"
"terms.purposeText","The OPTN Wallet App lets users securely store, send, and receive cryptocurrency. You are responsible for the security of your private keys and assets.","OPTN Wallet アプリでは暗号資産を安全に保管、送信、受信できます。秘密鍵と資産の安全はユーザーの責任です。","translated"
"terms.responsibilities","3. User Responsibilities","3. ユーザーの責任","translated"
"terms.responsibilitiesIntro","The OPTN Wallet App handles real cryptocurrency. You are solely responsible for:","OPTN Wallet アプリは実際の暗号資産を扱います。次の事項はユーザーが単独で責任を負います：","translated"
"terms.responsibilitiesText","The development team is not responsible for loss of assets or unauthorized access resulting from failure to follow these practices.","これらの手順に従わなかったことによる資産の損失や不正アクセスについて、開発チームは責任を負いません。","translated"
"terms.safeguard","Safeguarding your private keys and recovery phrases.","秘密鍵とリカバリーフレーズの保護。","translated"
"terms.verify","Verifying transaction details before confirming any actions.","操作を確定する前に取引の詳細を確認すること。","translated"
"token.activeMinting","Active Minting","発行中","translated"
"token.authHead","Auth Head","権限ヘッド","translated"
"token.bcmr","BCMR","BCMR","stable-term"
"token.bcmrUnavailable","BCMR metadata unavailable","BCMR メタデータを利用できません","translated"
"token.category","Category","カテゴリ","translated"
"token.chainStatsError","Unable to load token chain statistics right now.","現在、トークンのチェーン統計を読み込めません。","translated"
"token.decimals","Decimals","小数桁","translated"
"token.id","Token ID","トークン ID","translated"
"token.loading","Loading token data…","トークンデータを読み込み中…","translated"
"token.no","No","いいえ","translated"
"token.symbol","Symbol","シンボル","translated"
"token.totalNfts","Total NFTs","NFT 合計","translated"
"token.totalSupply","Total Supply","総供給量","translated"
"token.unavailable","Unavailable","利用できません","translated"
"token.yes","Yes","はい","translated"
"tor.appRunsOwn","The app runs its own Tor — no Tor Browser needed","アプリが独自の Tor を実行するため Tor Browser は不要です","translated"
"tor.autoDetect","Auto-detect (9050 / 9150)","自動検出（9050 / 9150）","translated"
"tor.bootstrapping","Bootstrapping Tor… {percent}%","Tor をブートストラップ中… {percent}%","translated"
"tor.check","Check Tor","Tor を確認","translated"
"tor.checking","Checking…","確認中…","translated"
"tor.desktopOnly","Desktop only","デスクトップのみ","translated"
"tor.disable","Disable","無効化","translated"
"tor.enable","Enable","有効化","translated"
"tor.externalOption","Or use a Tor you run yourself:","または自分で実行する Tor を使用：","translated"
"tor.foundOnPort","Tor found on port {port} ✓","ポート {port} に Tor が見つかりました ✓","translated"
"tor.integrated","Integrated Tor","統合 Tor","translated"
"tor.manualPort","Manual port","手動ポート","translated"
"tor.noExternal","No external Tor found. Either press “Start integrated Tor” above (recommended), or start Tor Browser (9150) / a system Tor daemon (9050) and press “Check Tor”. Without Tor, remote CashFusion is blocked.","外部 Tor が見つかりません。上の統合 Tor（推奨）または Tor Browser（9150）／システム Tor デーモン（9050）を起動して「Tor を確認」を押してください。Tor がない場合、リモート CashFusion はブロックされます。","translated"
"tor.noProxy","No Tor proxy running ✗","実行中の Tor プロキシがありません ✗","translated"
"tor.remoteRequired","Required for remote CashFusion servers","リモート CashFusion サーバーに必要","translated"
"tor.runningOn","Running on port {port} ✓","ポート {port} で実行中 ✓","translated"
"tor.starting","Starting…","開始中…","translated"
"tor.startIntegrated","Start integrated Tor","統合 Tor を開始","translated"
"tor.stop","Stop","停止","translated"
"tor.title","Tor","Tor","stable-term"
"tor.usingManual","Using manual port {port}","手動ポート {port} を使用中","translated"
"txDetails.bch","BCH","BCH","stable-term"
"txDetails.index","Index","インデックス","stable-term"
"txDetails.locktime","Locktime","ロック時間","translated"
"txDetails.txid","TXID","TXID","stable-term"
"txDetails.version","Version","バージョン","stable-term"
"txSummary.bch","BCH","BCH","stable-term"
"txSummary.bchInput","bch input","BCH 入力","translated"
"txSummary.bytes","bytes","バイト","stable-term"
"txSummary.fee","Fee","手数料","translated"
"txSummary.feeRate","Fee rate","手数料率","translated"
"txSummary.inputs","Inputs","入力","translated"
"txSummary.outputs","Outputs","出力","translated"
"txSummary.sats","sats","sats","stable-term"
"txSummary.token","token","トークン","stable-term"
"txSummary.tokenInput","token input","トークン入力","translated"
"txSummary.txSize","Tx size","取引サイズ","translated"
"utxo.amount","Amount","金額","translated"
"utxo.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"utxo.ft","FT","FT","stable-term"
"utxo.height","Height","高さ","translated"
"utxo.loading","Loading UTXOs…","UTXO を読み込み中…","translated"
"utxo.name","Name","名前","translated"
"utxo.nft","NFT","NFT","stable-term"
"utxo.none","No UTXOs to display.","表示できる UTXO はありません。","translated"
"utxo.pos","Pos","位置","translated"
"utxo.tokens","tokens","トークン","stable-term"
"utxo.txHash","Tx Hash","取引ハッシュ","translated"
"walkthrough.label","Walkthrough","ステップガイド","translated"
"watchOnly.accountXpub","Account xPub","アカウント xPub","translated"
"watchOnly.back","Back to wallets","ウォレットに戻る","translated"
"watchOnly.change","Change #{index}","おつり #{index}","translated"
"watchOnly.chipnet","Chipnet","Chipnet","stable-term"
"watchOnly.comingNext","Coming next","近日公開","translated"
"watchOnly.description","Inspect public BCH addresses without importing any private keys.","秘密鍵をインポートせずに公開 BCH アドレスを確認します。","translated"
"watchOnly.mainnet","Mainnet","Mainnet","stable-term"
"watchOnly.multipleCosigners","Multiple cosigners","複数の共同署名者","translated"
"watchOnly.multisign","Multisign","マルチシグ","translated"
"watchOnly.network","Network","ネットワーク","translated"
"watchOnly.pathNote","Confirm that SeedCash exported this account at m/44'/145'/account'. A standalone BIP32 xPub cannot prove its parent purpose or coin path.","SeedCash がこのアカウントを m/44’/145’/account’ にエクスポートしたことを確認してください。単独の BIP32 xPub だけでは親の目的や coin パスを証明できません。","translated"
"watchOnly.previewPublic","Preview public addresses","公開アドレスをプレビュー","translated"
"watchOnly.previewTitle","Public address preview","公開アドレスのプレビュー","translated"
"watchOnly.receive","Receive #{index}","受取 #{index}","translated"
"watchOnly.scanCamera","Scan (camera)","スキャン（カメラ）","translated"
"watchOnly.standard","Standard","標準","stable-term"
"watchOnly.title","Watch-Only Wallet Preview","監視専用ウォレットのプレビュー","translated"
"watchOnly.type","Watch-only wallet type","監視専用ウォレットの種類","translated"
"watchOnly.uploadQr","Upload QR","QR をアップロード","translated"
"watchOnly.warning","Public preview only: this screen does not save a watch-only wallet or create, sign, import, or broadcast PSBT transactions yet.","公開プレビューのみ：この画面ではまだ監視専用ウォレットを保存したり、PSBT トランザクションを作成、署名、インポート、ブロードキャストしたりできません。","translated"
"watchOnly.xpubPlaceholder","Paste the xPub exported by SeedCash","SeedCash からエクスポートした xPub を貼り付け","translated"
"wc.activeSessions","Active WalletConnect Sessions","有効な WalletConnect セッション","translated"
"wc.address","Address","アドレス","translated"
"wc.approvalFailedBody","Failed to approve the session request from {name}.","{name} からのセッションリクエストを承認できませんでした。","translated"
"wc.approvalFailedTitle","WalletConnect approval failed","WalletConnect の承認に失敗しました","translated"
"wc.approve","Approve","承認","translated"
"wc.approvedBody","Connected to {name}.","{name} に接続しました。","translated"
"wc.approvedTitle","WalletConnect session approved","WalletConnect セッションを承認しました","translated"
"wc.approveSession","Approve Session","セッションを承認","translated"
"wc.broadcast","Broadcast","ブロードキャスト","translated"
"wc.broadcastLocked","Another outgoing transaction is still syncing. To avoid duplicates while you are offline, this wallet will only broadcast one unresolved transaction at a time.","別の送信トランザクションを同期中です。重複を避けるため、このウォレットは未解決のトランザクションを一度に 1 件だけブロードキャストします。","translated"
"wc.cancel","Cancel","キャンセル","translated"
"wc.close","Close","閉じる","translated"
"wc.connect","Connect","接続","translated"
"wc.connectionUri","Connection URI","接続 URI","translated"
"wc.dappName","DApp Name","dApp 名","translated"
"wc.disconnect","Disconnect","接続を解除","translated"
"wc.disconnectsOn","Disconnects On","解除日時","translated"
"wc.domain","Domain","ドメイン","translated"
"wc.enterUri","Enter WalletConnect URI","WalletConnect URI を入力","translated"
"wc.estimatedFee","Estimated Fee","推定手数料","translated"
"wc.fungibleAmount","Fungible Amount","代替可能数量","translated"
"wc.index","Index","インデックス","stable-term"
"wc.inputs","Inputs ({count})","入力（{count}）","translated"
"wc.invalidLockingBytecode","Invalid locking bytecode","無効なロッキングバイトコード","translated"
"wc.invalidQr","Not a valid WalletConnect URI.","有効な WalletConnect URI ではありません。","translated"
"wc.messageApprovedBody","Approved the WalletConnect message request.","WalletConnect メッセージリクエストを承認しました。","translated"
"wc.messageFailedBody","Failed to sign WalletConnect message request.","WalletConnect メッセージリクエストに署名できませんでした。","translated"
"wc.messageFailedTitle","WalletConnect message failed","WalletConnect メッセージに失敗しました","translated"
"wc.messageRejectedBody","Rejected the WalletConnect message request.","WalletConnect メッセージリクエストを拒否しました。","translated"
"wc.messageRejectedTitle","WalletConnect message rejected","WalletConnect メッセージを拒否しました","translated"
"wc.messageRejectFailedBody","Failed to reject WalletConnect message request.","WalletConnect メッセージリクエストを拒否できませんでした。","translated"
"wc.messageSignedBody","Approved request from {name}.","{name} からのリクエストを承認しました。","translated"
"wc.messageSignedTitle","WalletConnect message signed","WalletConnect メッセージに署名しました","translated"
"wc.messageToSign","Message to Sign","署名するメッセージ","translated"
"wc.nftCapability","NFT Capability","NFT ケイパビリティ","translated"
"wc.nftCommitment","NFT Commitment","NFT コミットメント","translated"
"wc.no","No","いいえ","translated"
"wc.noActiveSessions","No active WalletConnect sessions yet.","有効な WalletConnect セッションはまだありません。","translated"
"wc.noQr","No QR code detected. Try again.","QR コードを検出できません。もう一度お試しください。","translated"
"wc.noSessions","No active sessions.","有効なセッションはありません。","translated"
"wc.opReturnOutput","OP_RETURN Output","OP_RETURN 出力","translated"
"wc.outputs","Outputs ({count})","出力（{count}）","translated"
"wc.pairingStarted","WalletConnect pairing started.","WalletConnect のペアリングを開始しました。","translated"
"wc.pairingSuccessful","WalletConnect pairing successful via QR.","QR による WalletConnect のペアリングが完了しました。","translated"
"wc.prompt","Prompt","リクエスト","translated"
"wc.reject","Reject","拒否","translated"
"wc.rejectedBody","Rejected the session request from {name}.","{name} からのセッションリクエストを拒否しました。","translated"
"wc.rejectedTitle","WalletConnect session rejected","WalletConnect セッションを拒否しました","translated"
"wc.rejectionFailedBody","Failed to reject the session request from {name}.","{name} からのセッションリクエストを拒否できませんでした。","translated"
"wc.rejectionFailedTitle","WalletConnect rejection failed","WalletConnect の拒否に失敗しました","translated"
"wc.rejectionSentBody","Sent the rejection response to the dApp.","拒否応答を dApp に送信しました。","translated"
"wc.rejectionStaleBody","The dApp disconnected before the rejection response could be delivered.","拒否応答を届ける前に dApp の接続が解除されました。","translated"
"wc.requestExpiredBody","The dApp request expired before it could be completed.","完了前に dApp リクエストの期限が切れました。","translated"
"wc.requestExpiredTitle","WalletConnect request expired","WalletConnect リクエストの期限切れ","translated"
"wc.scanFailed","WalletConnect scan failed.","WalletConnect のスキャンに失敗しました。","translated"
