"key","English (en)","Status"
"txDetails.bch","BCH","stable-term"
"txDetails.index","Index","stable-term"
"txDetails.locktime","Locktime","translated"
"txDetails.txid","TXID","stable-term"
"txDetails.version","Version","stable-term"
"txSummary.bch","BCH","stable-term"
"txSummary.bchInput","bch input","translated"
"txSummary.bytes","bytes","stable-term"
"txSummary.fee","Fee","translated"
"txSummary.feeRate","Fee rate","translated"
"txSummary.inputs","Inputs","translated"
"txSummary.outputs","Outputs","translated"
"txSummary.sats","sats","stable-term"
"txSummary.token","token","stable-term"
"txSummary.tokenInput","token input","translated"
"txSummary.txSize","Tx size","translated"
"utxo.amount","Amount","translated"
"utxo.bitcoinCash","Bitcoin Cash","stable-term"
"utxo.ft","FT","stable-term"
"utxo.height","Height","translated"
"utxo.loading","Loading UTXOs…","translated"
"utxo.name","Name","translated"
"utxo.nft","NFT","stable-term"
"utxo.none","No UTXOs to display.","translated"
"utxo.pos","Pos","translated"
"utxo.tokens","tokens","stable-term"
"utxo.txHash","Tx Hash","translated"
"walkthrough.label","Walkthrough","translated"
"watchOnly.accountXpub","Account xPub","translated"
"watchOnly.back","Back to wallets","translated"
"watchOnly.change","Change #{index}","translated"
"watchOnly.chipnet","Chipnet","stable-term"
"watchOnly.comingNext","Coming next","translated"
"watchOnly.description","Inspect public BCH addresses without importing any private keys.","translated"
"watchOnly.mainnet","Mainnet","stable-term"
"watchOnly.multipleCosigners","Multiple cosigners","translated"
"watchOnly.multisign","Multisign","translated"
"watchOnly.network","Network","translated"
"watchOnly.pathNote","Confirm that SeedCash exported this account at m/44'/145'/account'. A standalone BIP32 xPub cannot prove its parent purpose or coin path.","translated"
"watchOnly.previewPublic","Preview public addresses","translated"
"watchOnly.previewTitle","Public address preview","translated"
"watchOnly.receive","Receive #{index}","translated"
"watchOnly.scanCamera","Scan (camera)","translated"
"watchOnly.standard","Standard","stable-term"
"watchOnly.title","Watch-Only Wallet Preview","translated"
"watchOnly.type","Watch-only wallet type","translated"
"watchOnly.uploadQr","Upload QR","translated"
"watchOnly.warning","Public preview only: this screen does not save a watch-only wallet or create, sign, import, or broadcast PSBT transactions yet.","translated"
"watchOnly.xpubPlaceholder","Paste the xPub exported by SeedCash","translated"
"wc.activeSessions","Active WalletConnect Sessions","translated"
"wc.address","Address","translated"
"wc.approvalFailedBody","Failed to approve the session request from {name}.","translated"
"wc.approvalFailedTitle","WalletConnect approval failed","translated"
"wc.approve","Approve","translated"
"wc.approvedBody","Connected to {name}.","translated"
"wc.approvedTitle","WalletConnect session approved","translated"
"wc.approveSession","Approve Session","translated"
"wc.broadcast","Broadcast","translated"
"wc.broadcastLocked","Another outgoing transaction is still syncing. To avoid duplicates while you are offline, this wallet will only broadcast one unresolved transaction at a time.","translated"
"wc.cancel","Cancel","translated"
"wc.close","Close","translated"
"wc.connect","Connect","translated"
"wc.connectionUri","Connection URI","translated"
"wc.dappName","DApp Name","translated"
"wc.disconnect","Disconnect","translated"
"wc.disconnectsOn","Disconnects On","translated"
"wc.domain","Domain","translated"
"wc.enterUri","Enter WalletConnect URI","translated"
"wc.estimatedFee","Estimated Fee","translated"
"wc.fungibleAmount","Fungible Amount","translated"
"wc.index","Index","stable-term"
"wc.inputs","Inputs ({count})","translated"
"wc.invalidLockingBytecode","Invalid locking bytecode","translated"
"wc.invalidQr","Not a valid WalletConnect URI.","translated"
"wc.messageApprovedBody","Approved the WalletConnect message request.","translated"
"wc.messageFailedBody","Failed to sign WalletConnect message request.","translated"
"wc.messageFailedTitle","WalletConnect message failed","translated"
"wc.messageRejectedBody","Rejected the WalletConnect message request.","translated"
"wc.messageRejectedTitle","WalletConnect message rejected","translated"
"wc.messageRejectFailedBody","Failed to reject WalletConnect message request.","translated"
"wc.messageSignedBody","Approved request from {name}.","translated"
"wc.messageSignedTitle","WalletConnect message signed","translated"
"wc.messageToSign","Message to Sign","translated"
"wc.nftCapability","NFT Capability","translated"
"wc.nftCommitment","NFT Commitment","translated"
"wc.no","No","translated"
"wc.noActiveSessions","No active WalletConnect sessions yet.","translated"
"wc.noQr","No QR code detected. Try again.","translated"
"wc.noSessions","No active sessions.","translated"
"wc.opReturnOutput","OP_RETURN Output","translated"
"wc.outputs","Outputs ({count})","translated"
"wc.pairingStarted","WalletConnect pairing started.","translated"
"wc.pairingSuccessful","WalletConnect pairing successful via QR.","translated"
"wc.prompt","Prompt","translated"
"wc.reject","Reject","translated"
"wc.rejectedBody","Rejected the session request from {name}.","translated"
"wc.rejectedTitle","WalletConnect session rejected","translated"
"wc.rejectionFailedBody","Failed to reject the session request from {name}.","translated"
"wc.rejectionFailedTitle","WalletConnect rejection failed","translated"
"wc.rejectionSentBody","Sent the rejection response to the dApp.","translated"
"wc.rejectionStaleBody","The dApp disconnected before the rejection response could be delivered.","translated"
"wc.requestExpiredBody","The dApp request expired before it could be completed.","translated"
"wc.requestExpiredTitle","WalletConnect request expired","translated"
"wc.scanFailed","WalletConnect scan failed.","translated"
"wc.scanQr","Scan QR","translated"
"wc.sessionDisconnectedBody","A WalletConnect session was disconnected remotely.","translated"
"wc.sessionDisconnectedFrom","Disconnected from {name}.","translated"
"wc.sessionDisconnectedTitle","WalletConnect session disconnected","translated"
"wc.sessionRequestExpiredBody","The WalletConnect session request timed out before approval.","translated"
"wc.sessionRequestExpiredTitle","WalletConnect session request expired","translated"
"wc.sessionRequestFrom","Session request from {name}.","translated"
"wc.sessionRequestGeneric","A dApp requested a WalletConnect session.","translated"
"wc.sessionRequestTitle","WalletConnect session request","translated"
"wc.settings","Settings","translated"
"wc.sign","Sign","translated"
"wc.signMessageRequest","Sign Message Request","translated"
"wc.signTransactionRequest","Sign Transaction Request","translated"
"wc.tokenCategory","Token Category","translated"
"wc.totalInput","Total Input","translated"
"wc.totalOutput","Total Output","translated"
"wc.transactionApprovedTitle","WalletConnect transaction approved","translated"
"wc.transactionFailedBody","Failed to sign WalletConnect transaction request: {message}","translated"
"wc.transactionFailedTitle","WalletConnect transaction failed","translated"
"wc.transactionRejectedTitle","WalletConnect transaction rejected","translated"
"wc.transactionRejectionFailedBody","Failed to reject WalletConnect transaction request: {message}","translated"
"wc.transactionResponseSentBody","Sent the WalletConnect transaction response.","translated"
"wc.transactionSentBody","Sent the transaction response to {name}.","translated"
"wc.transactionStaleBody","The dApp disconnected before the transaction response could be delivered.","translated"
"wc.txid","TXID","stable-term"
"wc.unknownDapp","Unknown dApp","translated"
"wc.unsupportedTransaction","This request uses an unsupported transaction representation in the current OPTN Wallet integration.","translated"
"wc.validUri","Please provide a valid WalletConnect URI.","translated"
"wc.waitingForSync","Waiting for sync","translated"
"wc.waitPrevious","Wait for the previous outgoing transaction to sync first","translated"
"wc.working","Working…","translated"
"wc.yes","Yes","translated"
"wizard.activeSessions","Active WizardConnect Sessions","translated"
"wizard.address","Address","translated"
"wizard.approve","Approve WizardConnect","translated"
"wizard.approved","WizardConnect transaction approved and sent.","translated"
"wizard.approveFailed","WizardConnect transaction failed: {message}","translated"
"wizard.broadcast","Broadcast","translated"
"wizard.cancel","Cancel","translated"
"wizard.close","Close","translated"
"wizard.connect","Connect","translated"
"wizard.connectedOn","Connected On","translated"
"wizard.connecting","Connecting…","translated"
"wizard.connectionUri","Connection URI","translated"
"wizard.connectQuestion","Connect this wallet to the following WizardConnect request?","translated"
"wizard.dapp","DApp","stable-term"
"wizard.disconnect","Disconnect","translated"
"wizard.enterUri","Enter WizardConnect URI","translated"
"wizard.errorPrefix","Error: {message}","translated"
"wizard.estimatedFee","Estimated Fee","translated"
"wizard.fungibleAmount","Fungible Amount","translated"
"wizard.index","Index","stable-term"
"wizard.invalidQr","Not a valid WizardConnect QR code.","translated"
"wizard.no","No","translated"
"wizard.noActiveSessions","No active WizardConnect sessions yet.","translated"
"wizard.noQr","No QR code detected. Try again.","translated"
"wizard.noWallet","No active wallet is available for WizardConnect.","translated"
"wizard.opReturnOutput","OP_RETURN Output","translated"
"wizard.pairingStarted","WizardConnect pairing started.","translated"
"wizard.prompt","Prompt","translated"
"wizard.rejected","WizardConnect transaction rejected.","translated"
"wizard.rejectFailed","WizardConnect rejection failed: {message}","translated"
"wizard.scanFailed","WizardConnect scan failed.","translated"
"wizard.sessionDisconnectedOrExpired","A WizardConnect session disconnected or expired on the dApp side.","translated"
"wizard.settings","Settings","translated"
"wizard.sign","Sign","translated"
"wizard.signRequest","WizardConnect Sign Request","translated"
"wizard.status","Status","stable-term"
"wizard.tokenCategory","Token Category","translated"
"wizard.totalInput","Total Input","translated"
"wizard.totalOutput","Total Output","translated"
"wizard.txid","TXID","stable-term"
"wizard.unknownDapp","Unknown dApp","translated"
"wizard.unsupportedTransaction","This request uses an unsupported transaction representation in the current OPTN Wallet integration.","translated"
"wizard.validUri","Please provide a valid WizardConnect URI.","translated"
"wizard.yes","Yes","translated"
