"key","English (en)","Vietnamese (vi)","Status"
"send.guidedDescription","Send BCH, fungible tokens, or NFTs with one guided flow.","Gửi BCH, token có thể thay thế hoặc NFT theo một quy trình hướng dẫn.","translated"
"send.height","Height","Chiều cao","translated"
"send.hide","Hide","Ẩn","translated"
"send.inputs","Inputs","Đầu vào","translated"
"send.inputsUsed","Inputs used","Đầu vào đã dùng","translated"
"send.insufficientFunds","Not enough funds. Check your balance or reduce the amount.","Không đủ tiền. Kiểm tra số dư hoặc giảm số lượng.","translated"
"send.integer","integer","số nguyên","translated"
"send.invalidAddress","Invalid address—double-check for typos or try scanning a QR code.","Địa chỉ không hợp lệ — kiểm tra lỗi hoặc thử quét QR.","translated"
"send.keepTxid","Keep this txid as your reference and avoid sending it again.","Giữ txid này để tham chiếu và tránh gửi lại.","translated"
"send.leaveBlankNft","Leave blank to send the first available NFT in this category.","Để trống để gửi NFT đầu tiên có sẵn trong danh mục này.","translated"
"send.loading","Loading…","Đang tải…","translated"
"send.max","Max","Tối đa","stable-term"
"send.networkError","Network error. Check your connection and try again.","Lỗi mạng. Kiểm tra kết nối rồi thử lại.","translated"
"send.nft","NFT","NFT","stable-term"
"send.nftCategory","NFT category","Danh mục NFT","translated"
"send.nftCommitment","NFT commitment","Cam kết NFT","translated"
"send.nfts","NFTs","NFT","stable-term"
"send.noInputs","No inputs selected yet (run Review).","Chưa chọn đầu vào nào (hãy chạy Xem lại).","translated"
"send.noOutputs","No outputs yet (run Review).","Chưa có đầu ra (hãy chạy Xem lại).","translated"
"send.noTxBuilt","(no tx built yet)","(chưa tạo giao dịch)","translated"
"send.openAirdrops","Open Airdrops","Mở Airdrop","translated"
"send.optionalHexCommitment","Optional hex commitment…","Cam kết hex tùy chọn…","translated"
"send.outpoint","Outpoint","Outpoint","stable-term"
"send.outputsCreated","Outputs created","Đầu ra đã tạo","translated"
"send.pending","Pending","Đang chờ","translated"
"send.quantumrootApproval","approval key to Quantum Lock","khóa phê duyệt cho Quantum Lock","translated"
"send.quantumrootHint","Review the recipient and token category, then tap Review to build the transaction.","Xem lại người nhận và danh mục token, rồi chạm Xem lại để tạo giao dịch.","translated"
"send.quantumrootNftHint","If there are multiple NFT entries, choose the one that matches the approval key.","Nếu có nhiều mục NFT, hãy chọn mục khớp với khóa phê duyệt.","translated"
"send.quantumrootPrefilled","Prefilled to send the {label}","Đã điền sẵn để gửi {label}","translated"
"send.quantumrootReceive","matching receive coin to the vault receive address","coin nhận tương ứng với địa chỉ nhận của kho tiền","translated"
"send.quantumrootShortcut","Quantumroot shortcut","Lối tắt Quantumroot","translated"
"send.rawTransaction","Raw transaction","Giao dịch thô","translated"
"send.recipient","Recipient","Người nhận","translated"
"send.recipientAmountLoaded","Recipient and amount loaded from QR.","Đã tải người nhận và số lượng từ QR.","translated"
"send.recipientLoaded","Recipient loaded from QR.","Đã tải người nhận từ QR.","translated"
"send.releaseToSend","Release to send","Mở khóa để gửi","translated"
"send.reset","Reset","Đặt lại","translated"
"send.review","Review","Xem lại","translated"
"send.reviewTitle","Review Transaction","Xem lại giao dịch","translated"
"send.sats","Sats","Sats","stable-term"
"send.scanQr","Scan QR","Quét QR","translated"
"send.selectCategory","Select category…","Chọn danh mục…","translated"
"send.selectedInputs","Selected inputs","Đầu vào đã chọn","translated"
"send.send","Send","Gửi","translated"
"send.sending","Sending…","Đang gửi…","translated"
"send.sent","Transaction sent","Đã gửi","translated"
"send.show","Show","Hiện","translated"
"send.slideToConfirm","Slide to confirm","Trượt để xác nhận","translated"
"send.submitted","Transaction submitted","Đã gửi giao dịch","translated"
"send.summary","Summary","Tóm tắt","translated"
"send.switchToBch","Switch amount input to BCH","Đổi nhập số lượng sang BCH","translated"
"send.switchToUsd","Switch amount input to USD","Đổi nhập số lượng sang USD","translated"
"send.technicalDetails","Technical details","Chi tiết kỹ thuật","translated"
"send.title","Simple Send","Gửi đơn giản","translated"
"send.to","To","Đến","translated"
"send.token","Token","Token","stable-term"
"send.tokenAmount","Token amount","Số lượng token","translated"
"send.tokenCategory","Token category","Danh mục token","translated"
"send.tokenChange","Token change","Tiền thừa token","translated"
"send.tokenInputs","Token inputs","Đầu vào token","translated"
"send.tokenLabel","Token","Token","stable-term"
"send.totalBch","Total (BCH)","Tổng (BCH)","stable-term"
"send.transactionSize","Transaction size","Kích thước giao dịch","translated"
"send.transferMode","Transfer mode","Chế độ chuyển","translated"
"send.type","Type","Loại","stable-term"
"send.unconfirmedInputs","Unconfirmed inputs","Đầu vào chưa xác nhận","translated"
"send.usdUnavailable","USD conversion is unavailable right now.","Hiện không thể chuyển đổi sang USD.","translated"
"send.verifyRecipient","QR scanned. Verify recipient before sending.","Đã quét QR. Hãy xác minh người nhận trước khi gửi.","translated"
"send.verifySlide","Verify details and slide to send.","Xác minh chi tiết rồi trượt để gửi.","translated"
"send.waitingSync","Waiting for sync","Đang chờ đồng bộ","translated"
"send.waitPrevious","Wait for your previous outgoing transaction to sync first","Chờ giao dịch gửi trước đồng bộ trước","translated"
"server.active","● active","● đang hoạt động","translated"
"server.add","Add","Thêm","translated"
"server.addDesktopPlaceholder","Add server — Fulcrum host:50002, or a node host:8333","Thêm máy chủ — host Fulcrum:50002 hoặc host node:8333","translated"
"server.addMobilePlaceholder","Add WSS server — host:50004","Thêm máy chủ WSS — host:50004","translated"
"server.addressUrlPlaceholder","Address URL, e.g. https://example.com/address/{address}","URL địa chỉ, ví dụ https://example.com/address/{address}","translated"
"server.auto","Auto","Tự động","translated"
"server.autoBackend","Auto — server pool, with failover","Tự động — pool máy chủ có chuyển dự phòng","translated"
"server.automatic","Automatic","Tự động","translated"
"server.backend","Backend","Backend","stable-term"
"server.blockExplorer","Block explorer","Trình khám phá khối","translated"
"server.connect","Connect","Kết nối","translated"
"server.connected","Connected.","Đã kết nối.","translated"
"server.connectedServer","Connected server","Máy chủ đã kết nối","translated"
"server.connecting","Connecting…","Đang kết nối…","translated"
"server.connectionFailed","Connection failed","Kết nối thất bại","translated"
"server.connectTitle","Connect to this server","Kết nối máy chủ này","translated"
"server.custom","Custom…","Tùy chỉnh…","translated"
"server.customFee","Custom","Tùy chỉnh","translated"
"server.defaultPortHint","Default port: 50004 (WSS). Use wss:// prefix to force WSS, or ws:// for unencrypted.","Cổng mặc định: 50004 (WSS). Dùng tiền tố wss:// để buộc WSS hoặc ws:// cho kết nối không mã hóa.","translated"
"server.explorerDescription","Used for “open in explorer” links on transactions.","Dùng cho liên kết “mở trong trình khám phá” trên giao dịch.","translated"
"server.feeDescription","Fee rate for new transactions. Automatic uses the network minimum (~1 sat/byte, Electron Cash default).","Mức phí cho giao dịch mới. Tự động dùng mức tối thiểu của mạng (~1 sat/byte, mặc định Electron Cash).","translated"
"server.feeUnit","sat/byte — applies to your next transaction","sat/byte — áp dụng cho giao dịch tiếp theo","translated"
"server.invalidHost","Enter a valid host:port (e.g. 192.168.0.129:50002).","Nhập host:port hợp lệ (ví dụ: 192.168.0.129:50002).","translated"
"server.manual","Manual","Thủ công","stable-term"
"server.node","Node","Nút","stable-term"
"server.notConnected","Not connected","Chưa kết nối","translated"
"server.onlyBackend","Only this backend is used — pinning a node means Electrum servers aren't consulted.","Chỉ dùng backend này — ghim node sẽ không dùng máy chủ Electrum.","translated"
"server.placeholderHelp","Use {txid} and {address} as placeholders.","Dùng {txid} và {address} làm biến giữ chỗ.","translated"
"server.pool","{network} server pool","Pool máy chủ {network}","translated"
"server.rawNodeMobileError","Raw BCH node connections are only available on desktop. Add an Electrum/Fulcrum WSS server instead.","Kết nối node BCH thô chỉ có trên máy tính. Hãy thêm máy chủ Electrum/Fulcrum WSS.","translated"
"server.remove","Remove","Xóa","translated"
"server.saveCustom","Save custom explorer","Lưu trình khám phá tùy chỉnh","translated"
"server.server","Server","Máy chủ","translated"
"server.serverInputPlaceholder","host, host:50004, or wss://host:50004","host, host:50004 hoặc wss://host:50004","translated"
"server.transactionFee","Transaction fee","Phí giao dịch","translated"
"server.trustless","trustless","không cần tin cậy","translated"
"server.txUrlPlaceholder","Tx URL, e.g. https://example.com/tx/{txid}","URL giao dịch, ví dụ https://example.com/tx/{txid}","translated"
"server.useAuto","Use Auto","Dùng tự động","translated"
"settings.about","About OPTN","Giới thiệu OPTN","translated"
"settings.aboutSupport","About & support","Thông tin và hỗ trợ","translated"
"settings.aboutSupportDescription","Help, contact, terms, and app information","Trợ giúp, liên hệ, điều khoản và thông tin ứng dụng","translated"
"settings.connectionsFeatures","Connections & features","Kết nối và tính năng","translated"
"settings.connectionsFeaturesDescription","Servers, integrations, privacy features, and advanced tools","Máy chủ, tích hợp, tính năng riêng tư và công cụ nâng cao","translated"
"settings.contact","Contact Us","Liên hệ","translated"
"settings.language","Language","Ngôn ngữ","translated"
"settings.languageDescription","Choose the wallet interface language","Chọn ngôn ngữ giao diện ví","translated"
"settings.network","Network","Mạng","translated"
"settings.recovery","Recovery Phrase","Cụm từ khôi phục","translated"
"settings.terms","Terms of Use","Điều khoản sử dụng","translated"
"settings.walletSecurity","Wallet & security","Ví và bảo mật","translated"
"settings.walletSecurityDescription","Recovery, derivation path, app lock, and wallet controls","Khôi phục, đường dẫn dẫn xuất, khóa ứng dụng và điều khiển ví","translated"
"settingsAppLock.autoLockAfter","Auto-lock after","Tự động khóa sau","translated"
"settingsAppLock.biometricDescription","Use {label} to unlock instead of typing your password.","Dùng {label} để mở khóa thay vì nhập mật khẩu.","translated"
"settingsAppLock.biometricSetupFailed","Biometric setup failed: {message}","Thiết lập sinh trắc học thất bại: {message}","translated"
"settingsAppLock.biometricUnlock","Biometric unlock","Mở khóa sinh trắc học","translated"
"settingsAppLock.cancel","Cancel","Hủy","translated"
"settingsAppLock.changePassword","Change Password","Đổi mật khẩu","translated"
"settingsAppLock.confirm","Confirm","Xác nhận","translated"
"settingsAppLock.confirmNewPassword","Confirm new password","Xác nhận mật khẩu mới","translated"
"settingsAppLock.currentPassword","Current password","Mật khẩu hiện tại","translated"
"settingsAppLock.currentPasswordIncorrect","Current password is incorrect.","Mật khẩu hiện tại không đúng.","translated"
"settingsAppLock.disabled","Disabled","Đã tắt","translated"
"settingsAppLock.enabled","Enabled","Đã bật","translated"
"settingsAppLock.enabling","Enabling…","Đang bật…","translated"
"settingsAppLock.encryption","Encryption","Mã hóa","translated"
"settingsAppLock.encryptionDescription","Your wallet is encrypted with a password-derived key (PBKDF2 · 600k iterations · AES-256-GCM). The key is never stored — it is derived in memory each time you unlock.","Ví được mã hóa bằng khóa dẫn xuất từ mật khẩu (PBKDF2 · 600 nghìn vòng · AES-256-GCM). Khóa không được lưu; mỗi lần mở khóa nó được dẫn xuất trong bộ nhớ.","translated"
"settingsAppLock.lockNow","Lock Now","Khóa ngay","translated"
"settingsAppLock.minute","1 minute","1 phút","stable-term"
"settingsAppLock.minutes","{count} minutes","{count} phút","stable-term"
"settingsAppLock.never","Never","Không bao giờ","translated"
"settingsAppLock.newPassword","New password","Mật khẩu mới","translated"
"settingsAppLock.noWalletOpen","No wallet is open.","Chưa mở ví nào.","translated"
"settingsAppLock.passwordChanged","Password changed successfully.","Đã đổi mật khẩu thành công.","translated"
"settingsAppLock.passwordChangeFailed","Password change failed. Please try again.","Đổi mật khẩu thất bại. Hãy thử lại.","translated"
"settingsAppLock.passwordMismatch","New passwords do not match.","Mật khẩu mới không khớp.","translated"
"settingsAppLock.updating","Updating…","Đang cập nhật…","translated"
"settingsDerivation.activePath","Active BIP44 account path","Đường dẫn tài khoản BIP44 hoạt động","translated"
"settingsDerivation.alreadyActive","This derivation path is already active.","Đường dẫn này đã hoạt động.","translated"
"settingsDerivation.changeResync","Change and resync","Đổi và đồng bộ lại","translated"
"settingsDerivation.completed","Derivation path changed and wallet resync completed.","Đã đổi đường dẫn và đồng bộ ví xong.","translated"
"settingsDerivation.confirm","Changing the derivation path clears the current address, history, and UTXO records. The wallet will then regenerate and resync only the new path. Continue?","Đổi đường dẫn sẽ xóa địa chỉ, lịch sử và UTXO hiện tại. Ví sẽ tạo lại và đồng bộ chỉ đường dẫn mới. Tiếp tục?","translated"
"settingsDerivation.currentMode","Current mode: {mode}.","Chế độ hiện tại: {mode}.","translated"
"settingsDerivation.custom","custom","tùy chỉnh","translated"
"settingsDerivation.description","OPTN supports one active BIP44 account path at a time. Reconfiguring it removes the old derived records and performs a fresh receive/change discovery and resync.","OPTN chỉ hỗ trợ một đường dẫn tài khoản BIP44 hoạt động mỗi lần. Cấu hình lại sẽ xóa bản ghi dẫn xuất cũ, khám phá lại địa chỉ nhận/tiền thừa và đồng bộ lại.","translated"
"settingsDerivation.failed","Wallet reconfiguration failed.","Cấu hình lại ví thất bại.","translated"
"settingsDerivation.invalidPath","Invalid derivation path.","Đường dẫn dẫn xuất không hợp lệ.","translated"
"settingsDerivation.networkDefault","network default","mặc định mạng","translated"
"settingsDerivation.reconfiguring","Reconfiguring…","Đang cấu hình lại…","translated"
"settingsDerivation.useDefault","Use network default","Dùng mặc định mạng","translated"
"settingsNetwork.active","Active","Đang hoạt động","translated"
"settingsNetwork.chipnet","Chipnet","Chipnet","stable-term"
"settingsNetwork.chipnetDescription","BCH testnet for upcoming CHIPs — test funds only","Mạng thử nghiệm BCH cho CHIPs sắp tới — chỉ dùng tiền thử nghiệm","translated"
"settingsNetwork.comingSoon","Coming soon","Sắp có","translated"
"settingsNetwork.description","Switching networks clears the active network records, derives the network path, and resynchronizes receive/change addresses. Custom paths are preserved across network changes.","Chuyển mạng sẽ xóa dữ liệu mạng hiện tại, dẫn xuất đường dẫn mạng và đồng bộ lại địa chỉ nhận/tiền thừa. Đường dẫn tùy chỉnh được giữ nguyên.","translated"
"settingsNetwork.mainnet","Mainnet","Mainnet","stable-term"
"settingsNetwork.mainnetDescription","Live BCH network — real funds","Mạng BCH thật — tiền thật","translated"
"settingsNetwork.regtest","Regtest","Regtest","stable-term"
"settingsNetwork.reload","Reload and resync current wallet","Tải lại và đồng bộ ví","translated"
"settingsNetwork.reloading","Reloading wallet…","Đang tải lại ví…","translated"
"settingsNetwork.switching","Switching…","Đang chuyển…","translated"
"settingsNetwork.testnet3","Testnet3","Testnet3","stable-term"
"settingsNetwork.testnet4","Testnet4","Testnet4","stable-term"
"settingsPanels.addons","Addons","Add-on","translated"
"settingsPanels.appLock","App Lock","Khóa ứng dụng","translated"
"settingsPanels.cashfusion","CashFusion","CashFusion","stable-term"
"settingsPanels.console","Console","Bảng điều khiển","stable-term"
"settingsPanels.contract","Contract Info","Thông tin hợp đồng","translated"
"settingsPanels.derivation","Derivation Path","Đường dẫn dẫn xuất","translated"
"settingsPanels.experimental","Experimental Features","Tính năng thử nghiệm","translated"
"settingsPanels.faucet","Chipnet Faucet","Faucet Chipnet","stable-term"
"settingsPanels.nostr","Nostr & Chat","Nostr và trò chuyện","translated"
"settingsPanels.server","Server","Máy chủ","stable-term"
"settingsPanels.walletConnect","WalletConnect","WalletConnect","stable-term"
"settingsPanels.wizardConnect","WizardConnect","WizardConnect","stable-term"
"settingsRows.about","About OPTN","Giới thiệu OPTN","translated"
"settingsRows.aboutDescription","Version info","Thông tin phiên bản","translated"
"settingsRows.addons","Addons","Tiện ích bổ sung","translated"
"settingsRows.addonsDescription","Install and manage third-party addons","Cài đặt và quản lý tiện ích của bên thứ ba","translated"
"settingsRows.appLock","App Lock","Khóa ứng dụng","translated"
"settingsRows.appLockDescription","Auto-lock · Change password","Tự động khóa · Đổi mật khẩu","translated"
"settingsRows.console","Console","Bảng điều khiển","stable-term"
"settingsRows.consoleDescription","App log · Electrum RPC","Nhật ký ứng dụng · Electrum RPC","translated"
"settingsRows.contact","Contact Us","Liên hệ","translated"
"settingsRows.contactDescription","Get help and support","Nhận trợ giúp và hỗ trợ","translated"
"settingsRows.contractInfo","Contract Info","Thông tin hợp đồng","translated"
"settingsRows.contractInfoDescription","View contract details","Xem chi tiết hợp đồng","translated"
"settingsRows.derivation","Derivation Path","Đường dẫn dẫn xuất","translated"
"settingsRows.derivationDescription","Customize and resync the active BIP44 path","Tùy chỉnh và đồng bộ lại đường dẫn BIP44 đang dùng","translated"
"settingsRows.experimental","Experimental Features","Tính năng thử nghiệm","translated"
"settingsRows.experimentalDescription","RPA · CashFusion","RPA · CashFusion","stable-term"
"settingsRows.faucet","Chipnet Faucet","Vòi Chipnet","stable-term"
"settingsRows.faucetDescription","Get test BCH on Chipnet","Nhận BCH thử nghiệm trên Chipnet","translated"
"settingsRows.language","Language","Ngôn ngữ","translated"
"settingsRows.languageDescription","Choose the wallet interface language","Chọn ngôn ngữ giao diện","translated"
"settingsRows.network","Network","Mạng","translated"
"settingsRows.networkDescription","Switch between Mainnet and Chipnet","Chuyển đổi giữa Mainnet và Chipnet","translated"
"settingsRows.nostr","Nostr & Chat","Nostr và trò chuyện","translated"
"settingsRows.nostrDescription","Private messages · Identity · Relay pool","Tin nhắn riêng · Danh tính · Relay","translated"
"settingsRows.pendingOutbox","Pending Tx Locks","Khóa giao dịch đang chờ","translated"
"settingsRows.pendingOutboxDescription","Review outgoing transaction locks","Xem các khóa giao dịch gửi đi","translated"
"settingsRows.recovery","Recovery Phrase","Cụm từ khôi phục","translated"
"settingsRows.recoveryDescription","Back up your wallet","Sao lưu ví","translated"
"settingsRows.server","Servers","Máy chủ","translated"
"settingsRows.serverDescription","Electrum · Block explorer · Transaction fees","Electrum · Trình khám phá khối · Phí giao dịch","translated"
"settingsRows.terms","Terms of Use","Điều khoản sử dụng","translated"
"settingsRows.termsDescription","Read our terms","Đọc điều khoản của chúng tôi","translated"
"settingsRows.walletConnect","WalletConnect","WalletConnect","stable-term"
"settingsRows.walletConnectDescription","Manage dApp connections","Quản lý kết nối dApp","translated"
"settingsRows.wizardConnect","WizardConnect","WizardConnect","stable-term"
"settingsRows.wizardConnectDescription","Connect to token wizards","Kết nối với token wizard","translated"
"terms.acceptance","1. Acceptance of Terms","1. Chấp nhận điều khoản","translated"
"terms.acceptanceText","By accessing and using the OPTN Wallet App (“the App”), you agree to comply with and be bound by these Terms of Use. If you do not agree, please do not use the App.","Bằng việc truy cập và sử dụng ứng dụng OPTN Wallet (“Ứng dụng”), bạn đồng ý tuân thủ và chịu ràng buộc bởi Điều khoản sử dụng này. Nếu không đồng ý, vui lòng không dùng Ứng dụng.","translated"
"terms.deviceSecurity","Ensuring the security of your device and the App.","Đảm bảo thiết bị và Ứng dụng được bảo mật.","translated"
"terms.modifications","6. Modifications","6. Thay đổi","stable-term"
"terms.modificationsText","The developers may modify, suspend, or discontinue the App without prior notice and may update these Terms. You are responsible for reviewing them periodically.","Nhà phát triển có thể sửa đổi, tạm dừng hoặc ngừng Ứng dụng mà không báo trước và có thể cập nhật Điều khoản. Bạn có trách nhiệm xem lại định kỳ.","translated"
"terms.noLiability","4. No Liability","4. Không chịu trách nhiệm","translated"
"terms.noLiabilityText","The developers assume no liability for loss, damage, or unauthorized access arising from use of the App, including cryptocurrency loss, data breaches, or device malfunctions. You use the App at your own risk.","Nhà phát triển không chịu trách nhiệm về mất mát, thiệt hại hoặc truy cập trái phép phát sinh từ việc dùng Ứng dụng, bao gồm mất tiền mã hóa, vi phạm dữ liệu hoặc lỗi thiết bị. Bạn tự chịu rủi ro khi sử dụng.","translated"
"terms.noWarranty","5. No Warranty","5. Không bảo hành","translated"
"terms.noWarrantyText","The App is provided “as is” without express or implied warranties. The developers do not guarantee reliability, accuracy, completeness, error-free operation, or uninterrupted service.","Ứng dụng được cung cấp “nguyên trạng” không có bảo đảm rõ ràng hay ngụ ý. Nhà phát triển không bảo đảm độ tin cậy, chính xác, đầy đủ, không lỗi hoặc dịch vụ liên tục.","translated"
"terms.purpose","2. Purpose","2. Mục đích","translated"
"terms.purposeText","The OPTN Wallet App lets users securely store, send, and receive cryptocurrency. You are responsible for the security of your private keys and assets.","Ứng dụng OPTN Wallet cho phép lưu trữ, gửi và nhận tiền mã hóa an toàn. Bạn chịu trách nhiệm bảo mật khóa riêng và tài sản của mình.","translated"
"terms.responsibilities","3. User Responsibilities","3. Trách nhiệm người dùng","translated"
"terms.responsibilitiesIntro","The OPTN Wallet App handles real cryptocurrency. You are solely responsible for:","Ứng dụng OPTN Wallet xử lý tiền mã hóa thật. Bạn hoàn toàn chịu trách nhiệm về:","translated"
"terms.responsibilitiesText","The development team is not responsible for loss of assets or unauthorized access resulting from failure to follow these practices.","Đội phát triển không chịu trách nhiệm về mất tài sản hoặc truy cập trái phép do không tuân thủ các thực hành này.","translated"
"terms.safeguard","Safeguarding your private keys and recovery phrases.","Bảo vệ khóa riêng và cụm từ khôi phục.","translated"
"terms.verify","Verifying transaction details before confirming any actions.","Xác minh chi tiết giao dịch trước khi xác nhận hành động.","translated"
"token.activeMinting","Active Minting","Đang phát hành","translated"
"token.authHead","Auth Head","Đầu quyền hạn","translated"
"token.bcmr","BCMR","BCMR","stable-term"
"token.bcmrUnavailable","BCMR metadata unavailable","Không có siêu dữ liệu BCMR","translated"
"token.category","Category","Danh mục","translated"
"token.chainStatsError","Unable to load token chain statistics right now.","Hiện không thể tải thống kê token trên chuỗi.","translated"
"token.decimals","Decimals","Số chữ số thập phân","translated"
"token.id","Token ID","ID token","translated"
"token.loading","Loading token data…","Đang tải dữ liệu token…","translated"
"token.no","No","Không","translated"
"token.symbol","Symbol","Ký hiệu","translated"
"token.totalNfts","Total NFTs","Tổng số NFT","translated"
"token.totalSupply","Total Supply","Tổng cung","translated"
"token.unavailable","Unavailable","Không khả dụng","translated"
"token.yes","Yes","Có","translated"
"tor.appRunsOwn","The app runs its own Tor — no Tor Browser needed","Ứng dụng chạy Tor riêng — không cần Tor Browser","translated"
"tor.autoDetect","Auto-detect (9050 / 9150)","Tự phát hiện (9050 / 9150)","translated"
"tor.bootstrapping","Bootstrapping Tor… {percent}%","Đang khởi tạo Tor… {percent}%","translated"
"tor.check","Check Tor","Kiểm tra Tor","translated"
"tor.checking","Checking…","Đang kiểm tra…","translated"
"tor.desktopOnly","Desktop only","Chỉ trên máy tính","translated"
"tor.disable","Disable","Tắt","translated"
"tor.enable","Enable","Bật","translated"
"tor.externalOption","Or use a Tor you run yourself:","Hoặc dùng Tor do bạn tự chạy:","translated"
"tor.foundOnPort","Tor found on port {port} ✓","Đã tìm thấy Tor trên cổng {port} ✓","translated"
"tor.integrated","Integrated Tor","Tor tích hợp","translated"
"tor.manualPort","Manual port","Cổng thủ công","translated"
"tor.noExternal","No external Tor found. Either press “Start integrated Tor” above (recommended), or start Tor Browser (9150) / a system Tor daemon (9050) and press “Check Tor”. Without Tor, remote CashFusion is blocked.","Không tìm thấy Tor bên ngoài. Hãy khởi động Tor tích hợp ở trên (khuyên dùng), hoặc khởi động Tor Browser (9150) / daemon Tor hệ thống (9050) rồi nhấn “Kiểm tra Tor”. Không có Tor, CashFusion từ xa bị chặn.","translated"
"tor.noProxy","No Tor proxy running ✗","Không có proxy Tor đang chạy ✗","translated"
"tor.remoteRequired","Required for remote CashFusion servers","Bắt buộc cho máy chủ CashFusion từ xa","translated"
"tor.runningOn","Running on port {port} ✓","Đang chạy trên cổng {port} ✓","translated"
"tor.starting","Starting…","Đang khởi động…","translated"
"tor.startIntegrated","Start integrated Tor","Khởi động Tor tích hợp","translated"
"tor.stop","Stop","Dừng","translated"
"tor.title","Tor","Tor","stable-term"
"tor.usingManual","Using manual port {port}","Đang dùng cổng thủ công {port}","translated"
"txDetails.bch","BCH","BCH","stable-term"
"txDetails.index","Index","Chỉ mục","stable-term"
"txDetails.locktime","Locktime","Thời gian khóa","translated"
"txDetails.txid","TXID","TXID","stable-term"
"txDetails.version","Version","Phiên bản","stable-term"
"txSummary.bch","BCH","BCH","stable-term"
"txSummary.bchInput","bch input","đầu vào BCH","translated"
"txSummary.bytes","bytes","byte","stable-term"
"txSummary.fee","Fee","Phí","translated"
"txSummary.feeRate","Fee rate","Mức phí","translated"
"txSummary.inputs","Inputs","Đầu vào","translated"
"txSummary.outputs","Outputs","Đầu ra","translated"
"txSummary.sats","sats","sats","stable-term"
"txSummary.token","token","token","stable-term"
"txSummary.tokenInput","token input","đầu vào token","translated"
"txSummary.txSize","Tx size","Kích thước giao dịch","translated"
"utxo.amount","Amount","Số lượng","translated"
"utxo.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"utxo.ft","FT","FT","stable-term"
"utxo.height","Height","Chiều cao","translated"
"utxo.loading","Loading UTXOs…","Đang tải UTXO…","translated"
"utxo.name","Name","Tên","translated"
"utxo.nft","NFT","NFT","stable-term"
"utxo.none","No UTXOs to display.","Không có UTXO để hiển thị.","translated"
"utxo.pos","Pos","Vị trí","translated"
"utxo.tokens","tokens","token","stable-term"
"utxo.txHash","Tx Hash","Hash giao dịch","translated"
"walkthrough.label","Walkthrough","Hướng dẫn từng bước","translated"
"watchOnly.accountXpub","Account xPub","xPub tài khoản","translated"
"watchOnly.back","Back to wallets","Quay lại ví","translated"
"watchOnly.change","Change #{index}","Tiền thừa #{index}","translated"
"watchOnly.chipnet","Chipnet","Chipnet","stable-term"
"watchOnly.comingNext","Coming next","Sắp có","translated"
"watchOnly.description","Inspect public BCH addresses without importing any private keys.","Kiểm tra địa chỉ BCH công khai mà không nhập khóa riêng.","translated"
"watchOnly.mainnet","Mainnet","Mainnet","stable-term"
"watchOnly.multipleCosigners","Multiple cosigners","Nhiều người đồng ký","translated"
"watchOnly.multisign","Multisign","Đa chữ ký","translated"
"watchOnly.network","Network","Mạng","translated"
"watchOnly.pathNote","Confirm that SeedCash exported this account at m/44'/145'/account'. A standalone BIP32 xPub cannot prove its parent purpose or coin path.","Xác nhận SeedCash đã xuất tài khoản này tại m/44’/145’/account’. xPub BIP32 độc lập không chứng minh được mục đích cha hoặc đường dẫn coin.","translated"
"watchOnly.previewPublic","Preview public addresses","Xem trước địa chỉ công khai","translated"
"watchOnly.previewTitle","Public address preview","Xem trước địa chỉ công khai","translated"
"watchOnly.receive","Receive #{index}","Nhận #{index}","translated"
"watchOnly.scanCamera","Scan (camera)","Quét (camera)","translated"
"watchOnly.standard","Standard","Tiêu chuẩn","stable-term"
"watchOnly.title","Watch-Only Wallet Preview","Xem trước ví chỉ theo dõi","translated"
"watchOnly.type","Watch-only wallet type","Loại ví chỉ theo dõi","translated"
"watchOnly.uploadQr","Upload QR","Tải QR lên","translated"
"watchOnly.warning","Public preview only: this screen does not save a watch-only wallet or create, sign, import, or broadcast PSBT transactions yet.","Chỉ xem công khai: màn hình này chưa lưu ví chỉ theo dõi hoặc tạo, ký, nhập hay phát giao dịch PSBT.","translated"
"watchOnly.xpubPlaceholder","Paste the xPub exported by SeedCash","Dán xPub do SeedCash xuất","translated"
"wc.activeSessions","Active WalletConnect Sessions","Phiên WalletConnect đang hoạt động","translated"
"wc.address","Address","Địa chỉ","translated"
"wc.approvalFailedBody","Failed to approve the session request from {name}.","Không thể phê duyệt yêu cầu phiên từ {name}.","translated"
"wc.approvalFailedTitle","WalletConnect approval failed","Phê duyệt WalletConnect thất bại","translated"
"wc.approve","Approve","Phê duyệt","translated"
"wc.approvedBody","Connected to {name}.","Đã kết nối với {name}.","translated"
"wc.approvedTitle","WalletConnect session approved","Đã phê duyệt phiên WalletConnect","translated"
"wc.approveSession","Approve Session","Phê duyệt phiên","translated"
"wc.broadcast","Broadcast","Phát lên mạng","translated"
"wc.broadcastLocked","Another outgoing transaction is still syncing. To avoid duplicates while you are offline, this wallet will only broadcast one unresolved transaction at a time.","Một giao dịch gửi đi khác vẫn đang đồng bộ. Để tránh trùng lặp khi ngoại tuyến, ví này chỉ phát một giao dịch chưa xử lý mỗi lần.","translated"
"wc.cancel","Cancel","Hủy","translated"
"wc.close","Close","Đóng","translated"
"wc.connect","Connect","Kết nối","translated"
"wc.connectionUri","Connection URI","URI kết nối","translated"
