"key","English (en)","Arabic (ar)","Status"
"send.finalOutputs","Final outputs","المخرجات النهائية","translated"
"send.guidedDescription","Send BCH, fungible tokens, or NFTs with one guided flow.","أرسل BCH أو الرموز القابلة للاستبدال أو NFTs عبر مسار واحد موجّه.","translated"
"send.height","Height","الارتفاع","translated"
"send.hide","Hide","إخفاء","translated"
"send.inputs","Inputs","المدخلات","translated"
"send.inputsUsed","Inputs used","المدخلات المستخدمة","translated"
"send.insufficientFunds","Not enough funds. Check your balance or reduce the amount.","الأموال غير كافية. تحقق من رصيدك أو خفّض المبلغ.","translated"
"send.integer","integer","عدد صحيح","translated"
"send.invalidAddress","Invalid address—double-check for typos or try scanning a QR code.","العنوان غير صالح — تحقق من الأخطاء أو امسح رمز QR.","translated"
"send.keepTxid","Keep this txid as your reference and avoid sending it again.","احتفظ بمعرّف المعاملة للرجوع إليه وتجنب إرسالها مرة أخرى.","translated"
"send.leaveBlankNft","Leave blank to send the first available NFT in this category.","اتركه فارغًا لإرسال أول NFT متاح في هذه الفئة.","translated"
"send.loading","Loading…","جارٍ التحميل…","translated"
"send.max","Max","الحد الأقصى","stable-term"
"send.networkError","Network error. Check your connection and try again.","خطأ في الشبكة. تحقق من الاتصال وحاول مرة أخرى.","translated"
"send.nft","NFT","NFT","stable-term"
"send.nftCategory","NFT category","فئة NFT","translated"
"send.nftCommitment","NFT commitment","التزام NFT","translated"
"send.nfts","NFTs","NFTs","stable-term"
"send.noInputs","No inputs selected yet (run Review).","لم يتم تحديد أي مدخلات بعد (شغّل المراجعة).","translated"
"send.noOutputs","No outputs yet (run Review).","لا توجد مخرجات بعد (شغّل المراجعة).","translated"
"send.noTxBuilt","(no tx built yet)","(لم تُبنَ معاملة بعد)","translated"
"send.openAirdrops","Open Airdrops","فتح توزيعات الجوائز","translated"
"send.optionalHexCommitment","Optional hex commitment…","التزام سداسي عشري اختياري…","translated"
"send.outpoint","Outpoint","نقطة المخرج","stable-term"
"send.outputsCreated","Outputs created","المخرجات المنشأة","translated"
"send.pending","Pending","معلّق","translated"
"send.quantumrootApproval","approval key to Quantum Lock","مفتاح الموافقة إلى Quantum Lock","translated"
"send.quantumrootHint","Review the recipient and token category, then tap Review to build the transaction.","راجع المستلم وفئة الرمز، ثم اضغط مراجعة لبناء المعاملة.","translated"
"send.quantumrootNftHint","If there are multiple NFT entries, choose the one that matches the approval key.","إذا ظهرت عدة عناصر NFT، اختر العنصر المطابق لمفتاح الموافقة.","translated"
"send.quantumrootPrefilled","Prefilled to send the {label}","معبأ مسبقًا لإرسال {label}","translated"
"send.quantumrootReceive","matching receive coin to the vault receive address","عملة الاستلام المطابقة إلى عنوان استلام الخزينة","translated"
"send.quantumrootShortcut","Quantumroot shortcut","اختصار Quantumroot","translated"
"send.rawTransaction","Raw transaction","المعاملة الخام","translated"
"send.recipient","Recipient","المستلم","translated"
"send.recipientAmountLoaded","Recipient and amount loaded from QR.","تم تحميل المستلم والمبلغ من QR.","translated"
"send.recipientLoaded","Recipient loaded from QR.","تم تحميل المستلم من QR.","translated"
"send.releaseToSend","Release to send","حرر للإرسال","translated"
"send.reset","Reset","إعادة ضبط","translated"
"send.review","Review","مراجعة","translated"
"send.reviewTitle","Review Transaction","مراجعة المعاملة","translated"
"send.sats","Sats","ساتوشي","stable-term"
"send.scanQr","Scan QR","مسح QR","translated"
"send.selectCategory","Select category…","اختر فئة…","translated"
"send.selectedInputs","Selected inputs","المدخلات المحددة","translated"
"send.send","Send","إرسال","translated"
"send.sending","Sending…","جارٍ الإرسال…","translated"
"send.sent","Transaction sent","تم إرسال المعاملة","translated"
"send.show","Show","إظهار","translated"
"send.slideToConfirm","Slide to confirm","اسحب للتأكيد","translated"
"send.submitted","Transaction submitted","تم إرسال المعاملة","translated"
"send.summary","Summary","الملخص","translated"
"send.switchToBch","Switch amount input to BCH","تبديل إدخال المبلغ إلى BCH","translated"
"send.switchToUsd","Switch amount input to USD","تبديل إدخال المبلغ إلى USD","translated"
"send.technicalDetails","Technical details","التفاصيل التقنية","translated"
"send.title","Simple Send","إرسال بسيط","translated"
"send.to","To","إلى","translated"
"send.token","Token","رمز","stable-term"
"send.tokenAmount","Token amount","كمية الرمز","translated"
"send.tokenCategory","Token category","فئة الرمز","translated"
"send.tokenChange","Token change","فائض الرمز","translated"
"send.tokenInputs","Token inputs","مدخلات الرموز","translated"
"send.tokenLabel","Token","الرمز","stable-term"
"send.totalBch","Total (BCH)","الإجمالي (BCH)","stable-term"
"send.transactionSize","Transaction size","حجم المعاملة","translated"
"send.transferMode","Transfer mode","وضع التحويل","translated"
"send.type","Type","النوع","stable-term"
"send.unconfirmedInputs","Unconfirmed inputs","المدخلات غير المؤكدة","translated"
"send.usdUnavailable","USD conversion is unavailable right now.","تحويل USD غير متاح حاليًا.","translated"
"send.verifyRecipient","QR scanned. Verify recipient before sending.","تم مسح QR. تحقق من المستلم قبل الإرسال.","translated"
"send.verifySlide","Verify details and slide to send.","تحقق من التفاصيل واسحب للإرسال.","translated"
"send.waitingSync","Waiting for sync","في انتظار المزامنة","translated"
"send.waitPrevious","Wait for your previous outgoing transaction to sync first","انتظر مزامنة معاملتك الصادرة السابقة أولًا","translated"
"server.active","● active","● نشط","translated"
"server.add","Add","إضافة","translated"
"server.addDesktopPlaceholder","Add server — Fulcrum host:50002, or a node host:8333","إضافة خادم — مضيف Fulcrum:50002 أو مضيف عقدة:8333","translated"
"server.addMobilePlaceholder","Add WSS server — host:50004","إضافة خادم WSS — host:50004","translated"
"server.addressUrlPlaceholder","Address URL, e.g. https://example.com/address/{address}","رابط العنوان، مثل https://example.com/address/{address}","translated"
"server.auto","Auto","تلقائي","translated"
"server.autoBackend","Auto — server pool, with failover","تلقائي — مجموعة خوادم مع تجاوز الأعطال","translated"
"server.automatic","Automatic","تلقائي","translated"
"server.backend","Backend","الواجهة الخلفية","stable-term"
"server.blockExplorer","Block explorer","مستكشف الكتل","translated"
"server.connect","Connect","اتصال","translated"
"server.connected","Connected.","تم الاتصال.","translated"
"server.connectedServer","Connected server","الخادم المتصل","translated"
"server.connecting","Connecting…","جارٍ الاتصال…","translated"
"server.connectionFailed","Connection failed","فشل الاتصال","translated"
"server.connectTitle","Connect to this server","الاتصال بهذا الخادم","translated"
"server.custom","Custom…","مخصص…","translated"
"server.customFee","Custom","مخصص","translated"
"server.defaultPortHint","Default port: 50004 (WSS). Use wss:// prefix to force WSS, or ws:// for unencrypted.","المنفذ الافتراضي: 50004 (WSS). استخدم wss:// لإجبار WSS أو ws:// للاتصال غير المشفر.","translated"
"server.explorerDescription","Used for “open in explorer” links on transactions.","يُستخدم لروابط «فتح في المستكشف» الخاصة بالمعاملات.","translated"
"server.feeDescription","Fee rate for new transactions. Automatic uses the network minimum (~1 sat/byte, Electron Cash default).","معدل رسوم المعاملات الجديدة. يستخدم التلقائي الحد الأدنى للشبكة.","translated"
"server.feeUnit","sat/byte — applies to your next transaction","ساتوشي/بايت — ينطبق على معاملتك التالية","translated"
"server.invalidHost","Enter a valid host:port (e.g. 192.168.0.129:50002).","أدخل مضيفًا صالحًا:منفذ (مثل 192.168.0.129:50002).","translated"
"server.manual","Manual","يدوي","stable-term"
"server.node","Node","العقدة","stable-term"
"server.notConnected","Not connected","غير متصل","translated"
"server.onlyBackend","Only this backend is used — pinning a node means Electrum servers aren't consulted.","تُستخدم هذه الواجهة الخلفية فقط — عند تثبيت عقدة لا يتم الرجوع إلى خوادم Electrum.","translated"
"server.placeholderHelp","Use {txid} and {address} as placeholders.","استخدم {txid} و{address} كعناصر نائبة.","translated"
"server.pool","{network} server pool","مجموعة خوادم {network}","translated"
"server.rawNodeMobileError","Raw BCH node connections are only available on desktop. Add an Electrum/Fulcrum WSS server instead.","اتصالات عقد BCH الخام متاحة على سطح المكتب فقط. أضف خادم Electrum/Fulcrum عبر WSS بدلًا من ذلك.","translated"
"server.remove","Remove","إزالة","translated"
"server.saveCustom","Save custom explorer","حفظ المستكشف المخصص","translated"
"server.server","Server","الخادم","translated"
"server.serverInputPlaceholder","host, host:50004, or wss://host:50004","host أو host:50004 أو wss://host:50004","translated"
"server.transactionFee","Transaction fee","رسوم المعاملة","translated"
"server.trustless","trustless","بدون ثقة","translated"
"server.txUrlPlaceholder","Tx URL, e.g. https://example.com/tx/{txid}","رابط المعاملة، مثل https://example.com/tx/{txid}","translated"
"server.useAuto","Use Auto","استخدام التلقائي","translated"
"settings.about","About OPTN","حول OPTN","translated"
"settings.aboutSupport","About & support","حول ودعم","translated"
"settings.aboutSupportDescription","Help, contact, terms, and app information","المساعدة والاتصال والشروط ومعلومات التطبيق","translated"
"settings.connectionsFeatures","Connections & features","الاتصالات والميزات","translated"
"settings.connectionsFeaturesDescription","Servers, integrations, privacy features, and advanced tools","الخوادم والتكاملات وميزات الخصوصية والأدوات المتقدمة","translated"
"settings.contact","Contact Us","اتصل بنا","translated"
"settings.language","Language","اللغة","translated"
"settings.languageDescription","Choose the wallet interface language","اختر لغة واجهة المحفظة","translated"
"settings.network","Network","الشبكة","translated"
"settings.recovery","Recovery Phrase","عبارة الاسترداد","translated"
"settings.terms","Terms of Use","شروط الاستخدام","translated"
"settings.walletSecurity","Wallet & security","المحفظة والأمان","translated"
"settings.walletSecurityDescription","Recovery, derivation path, app lock, and wallet controls","الاسترداد ومسار الاشتقاق وقفل التطبيق وعناصر تحكم المحفظة","translated"
"settingsAppLock.autoLockAfter","Auto-lock after","القفل التلقائي بعد","translated"
"settingsAppLock.biometricDescription","Use {label} to unlock instead of typing your password.","استخدم {label} لإلغاء القفل بدلًا من كتابة كلمة المرور.","translated"
"settingsAppLock.biometricSetupFailed","Biometric setup failed: {message}","فشل إعداد القياسات الحيوية: {message}","translated"
"settingsAppLock.biometricUnlock","Biometric unlock","إلغاء القفل الحيوي","translated"
"settingsAppLock.cancel","Cancel","إلغاء","translated"
"settingsAppLock.changePassword","Change Password","تغيير كلمة المرور","translated"
"settingsAppLock.confirm","Confirm","تأكيد","translated"
"settingsAppLock.confirmNewPassword","Confirm new password","تأكيد كلمة المرور الجديدة","translated"
"settingsAppLock.currentPassword","Current password","كلمة المرور الحالية","translated"
"settingsAppLock.currentPasswordIncorrect","Current password is incorrect.","كلمة المرور الحالية غير صحيحة.","translated"
"settingsAppLock.disabled","Disabled","معطّل","translated"
"settingsAppLock.enabled","Enabled","مفعّل","translated"
"settingsAppLock.enabling","Enabling…","جارٍ التفعيل…","translated"
"settingsAppLock.encryption","Encryption","التشفير","translated"
"settingsAppLock.encryptionDescription","Your wallet is encrypted with a password-derived key (PBKDF2 · 600k iterations · AES-256-GCM). The key is never stored — it is derived in memory each time you unlock.","محفظتك مشفرة بمفتاح مشتق من كلمة المرور (PBKDF2 · 600k تكرار · AES-256-GCM). لا يتم تخزين المفتاح؛ بل يُشتق في الذاكرة عند كل إلغاء قفل.","translated"
"settingsAppLock.lockNow","Lock Now","قفل الآن","translated"
"settingsAppLock.minute","1 minute","دقيقة واحدة","stable-term"
"settingsAppLock.minutes","{count} minutes","{count} دقائق","stable-term"
"settingsAppLock.never","Never","أبدًا","translated"
"settingsAppLock.newPassword","New password","كلمة المرور الجديدة","translated"
"settingsAppLock.noWalletOpen","No wallet is open.","لا توجد محفظة مفتوحة.","translated"
"settingsAppLock.passwordChanged","Password changed successfully.","تم تغيير كلمة المرور بنجاح.","translated"
"settingsAppLock.passwordChangeFailed","Password change failed. Please try again.","فشل تغيير كلمة المرور. حاول مرة أخرى.","translated"
"settingsAppLock.passwordMismatch","New passwords do not match.","كلمتا المرور الجديدتان غير متطابقتين.","translated"
"settingsAppLock.updating","Updating…","جارٍ التحديث…","translated"
"settingsDerivation.activePath","Active BIP44 account path","مسار حساب BIP44 النشط","translated"
"settingsDerivation.alreadyActive","This derivation path is already active.","مسار الاشتقاق هذا نشط بالفعل.","translated"
"settingsDerivation.changeResync","Change and resync","تغيير وإعادة مزامنة","translated"
"settingsDerivation.completed","Derivation path changed and wallet resync completed.","تم تغيير مسار الاشتقاق وإكمال مزامنة المحفظة.","translated"
"settingsDerivation.confirm","Changing the derivation path clears the current address, history, and UTXO records. The wallet will then regenerate and resync only the new path. Continue?","يؤدي تغيير مسار الاشتقاق إلى مسح العنوان والسجل وسجلات UTXO الحالية. ستعيد المحفظة بعد ذلك إنشاء المسار الجديد ومزامنته فقط. هل تريد المتابعة؟","translated"
"settingsDerivation.currentMode","Current mode: {mode}.","الوضع الحالي: {mode}.","translated"
"settingsDerivation.custom","custom","مخصص","translated"
"settingsDerivation.description","OPTN supports one active BIP44 account path at a time. Reconfiguring it removes the old derived records and performs a fresh receive/change discovery and resync.","يدعم OPTN مسار حساب BIP44 نشطًا واحدًا في كل مرة. تؤدي إعادة الضبط إلى إزالة السجلات القديمة وإعادة اكتشاف عناوين الاستلام والباقي ومزامنتها.","translated"
"settingsDerivation.failed","Wallet reconfiguration failed.","فشلت إعادة تهيئة المحفظة.","translated"
"settingsDerivation.invalidPath","Invalid derivation path.","مسار الاشتقاق غير صالح.","translated"
"settingsDerivation.networkDefault","network default","الإعداد الافتراضي للشبكة","translated"
"settingsDerivation.reconfiguring","Reconfiguring…","جارٍ إعادة التهيئة…","translated"
"settingsDerivation.useDefault","Use network default","استخدام الإعداد الافتراضي للشبكة","translated"
"settingsNetwork.active","Active","نشطة","translated"
"settingsNetwork.chipnet","Chipnet","Chipnet","stable-term"
"settingsNetwork.chipnetDescription","BCH testnet for upcoming CHIPs — test funds only","شبكة اختبار BCH — لأموال الاختبار فقط","translated"
"settingsNetwork.comingSoon","Coming soon","قريبًا","translated"
"settingsNetwork.description","Switching networks clears the active network records, derives the network path, and resynchronizes receive/change addresses. Custom paths are preserved across network changes.","يؤدي تبديل الشبكة إلى مسح سجلات الشبكة النشطة واشتقاق مسار الشبكة وإعادة مزامنة عناوين الاستلام والباقي. تبقى المسارات المخصصة محفوظة.","translated"
"settingsNetwork.mainnet","Mainnet","Mainnet","stable-term"
"settingsNetwork.mainnetDescription","Live BCH network — real funds","شبكة BCH الحية — أموال حقيقية","translated"
"settingsNetwork.regtest","Regtest","Regtest","stable-term"
"settingsNetwork.reload","Reload and resync current wallet","إعادة تحميل المحفظة ومزامنتها","translated"
"settingsNetwork.reloading","Reloading wallet…","جارٍ إعادة تحميل المحفظة…","translated"
"settingsNetwork.switching","Switching…","جارٍ التبديل…","translated"
"settingsNetwork.testnet3","Testnet3","Testnet3","stable-term"
"settingsNetwork.testnet4","Testnet4","Testnet4","stable-term"
"settingsPanels.addons","Addons","الإضافات","translated"
"settingsPanels.appLock","App Lock","قفل التطبيق","translated"
"settingsPanels.cashfusion","CashFusion","CashFusion","stable-term"
"settingsPanels.console","Console","وحدة التحكم","stable-term"
"settingsPanels.contract","Contract Info","معلومات العقد","translated"
"settingsPanels.derivation","Derivation Path","مسار الاشتقاق","translated"
"settingsPanels.experimental","Experimental Features","ميزات تجريبية","translated"
"settingsPanels.faucet","Chipnet Faucet","صنبور Chipnet","stable-term"
"settingsPanels.nostr","Nostr & Chat","Nostr والدردشة","translated"
"settingsPanels.server","Server","الخادم","stable-term"
"settingsPanels.walletConnect","WalletConnect","WalletConnect","stable-term"
"settingsPanels.wizardConnect","WizardConnect","WizardConnect","stable-term"
"settingsRows.about","About OPTN","حول OPTN","translated"
"settingsRows.aboutDescription","Version info","معلومات الإصدار","translated"
"settingsRows.addons","Addons","الإضافات","translated"
"settingsRows.addonsDescription","Install and manage third-party addons","تثبيت وإدارة إضافات الجهات الخارجية","translated"
"settingsRows.appLock","App Lock","قفل التطبيق","translated"
"settingsRows.appLockDescription","Auto-lock · Change password","قفل تلقائي · تغيير كلمة المرور","translated"
"settingsRows.console","Console","وحدة التحكم","stable-term"
"settingsRows.consoleDescription","App log · Electrum RPC","سجل التطبيق · Electrum RPC","translated"
"settingsRows.contact","Contact Us","اتصل بنا","translated"
"settingsRows.contactDescription","Get help and support","احصل على المساعدة والدعم","translated"
"settingsRows.contractInfo","Contract Info","معلومات العقد","translated"
"settingsRows.contractInfoDescription","View contract details","عرض تفاصيل العقد","translated"
"settingsRows.derivation","Derivation Path","مسار الاشتقاق","translated"
"settingsRows.derivationDescription","Customize and resync the active BIP44 path","تخصيص مسار BIP44 النشط وإعادة مزامنته","translated"
"settingsRows.experimental","Experimental Features","ميزات تجريبية","translated"
"settingsRows.experimentalDescription","RPA · CashFusion","RPA · CashFusion","stable-term"
"settingsRows.faucet","Chipnet Faucet","صنبور Chipnet","stable-term"
"settingsRows.faucetDescription","Get test BCH on Chipnet","احصل على BCH تجريبي على Chipnet","translated"
"settingsRows.language","Language","اللغة","translated"
"settingsRows.languageDescription","Choose the wallet interface language","اختر لغة واجهة المحفظة","translated"
"settingsRows.network","Network","الشبكة","translated"
"settingsRows.networkDescription","Switch between Mainnet and Chipnet","التبديل بين Mainnet وChipnet","translated"
"settingsRows.nostr","Nostr & Chat","Nostr والدردشة","translated"
"settingsRows.nostrDescription","Private messages · Identity · Relay pool","رسائل خاصة · الهوية · مجموعة المرحلات","translated"
"settingsRows.pendingOutbox","Pending Tx Locks","أقفال المعاملات المعلقة","translated"
"settingsRows.pendingOutboxDescription","Review outgoing transaction locks","مراجعة أقفال المعاملات الصادرة","translated"
"settingsRows.recovery","Recovery Phrase","عبارة الاسترداد","translated"
"settingsRows.recoveryDescription","Back up your wallet","نسخ احتياطي لمحفظتك","translated"
"settingsRows.server","Servers","الخوادم","translated"
"settingsRows.serverDescription","Electrum · Block explorer · Transaction fees","Electrum · مستكشف الكتل · رسوم المعاملات","translated"
"settingsRows.terms","Terms of Use","شروط الاستخدام","translated"
"settingsRows.termsDescription","Read our terms","اقرأ شروطنا","translated"
"settingsRows.walletConnect","WalletConnect","WalletConnect","stable-term"
"settingsRows.walletConnectDescription","Manage dApp connections","إدارة اتصالات dApp","translated"
"settingsRows.wizardConnect","WizardConnect","WizardConnect","stable-term"
"settingsRows.wizardConnectDescription","Connect to token wizards","الاتصال بمعالجات الرموز","translated"
"terms.acceptance","1. Acceptance of Terms","1. قبول الشروط","translated"
"terms.acceptanceText","By accessing and using the OPTN Wallet App (“the App”), you agree to comply with and be bound by these Terms of Use. If you do not agree, please do not use the App.","بدخولك إلى تطبيق OPTN Wallet («التطبيق») واستخدامه، توافق على الالتزام بشروط الاستخدام هذه. إذا لم توافق، فلا تستخدم التطبيق.","translated"
"terms.deviceSecurity","Ensuring the security of your device and the App.","ضمان أمان جهازك والتطبيق.","translated"
"terms.modifications","6. Modifications","6. التعديلات","stable-term"
"terms.modificationsText","The developers may modify, suspend, or discontinue the App without prior notice and may update these Terms. You are responsible for reviewing them periodically.","يجوز للمطورين تعديل التطبيق أو تعليقه أو إيقافه دون إشعار مسبق، كما يجوز لهم تحديث هذه الشروط. أنت مسؤول عن مراجعتها دوريًا.","translated"
"terms.noLiability","4. No Liability","4. إخلاء المسؤولية","translated"
"terms.noLiabilityText","The developers assume no liability for loss, damage, or unauthorized access arising from use of the App, including cryptocurrency loss, data breaches, or device malfunctions. You use the App at your own risk.","لا يتحمل المطورون مسؤولية أي فقدان أو ضرر أو وصول غير مصرح به ناتج عن استخدام التطبيق، بما في ذلك فقدان العملات المشفرة أو خروقات البيانات أو أعطال الجهاز. تستخدم التطبيق على مسؤوليتك الخاصة.","translated"
"terms.noWarranty","5. No Warranty","5. لا ضمان","translated"
"terms.noWarrantyText","The App is provided “as is” without express or implied warranties. The developers do not guarantee reliability, accuracy, completeness, error-free operation, or uninterrupted service.","يُقدَّم التطبيق «كما هو» دون ضمانات صريحة أو ضمنية. لا يضمن المطورون الموثوقية أو الدقة أو الاكتمال أو التشغيل الخالي من الأخطاء أو الخدمة المتواصلة.","translated"
"terms.purpose","2. Purpose","2. الغرض","translated"
"terms.purposeText","The OPTN Wallet App lets users securely store, send, and receive cryptocurrency. You are responsible for the security of your private keys and assets.","يتيح تطبيق OPTN Wallet للمستخدمين تخزين العملات المشفرة وإرسالها واستلامها بأمان. أنت مسؤول عن أمان مفاتيحك الخاصة وأصولك.","translated"
"terms.responsibilities","3. User Responsibilities","3. مسؤوليات المستخدم","translated"
"terms.responsibilitiesIntro","The OPTN Wallet App handles real cryptocurrency. You are solely responsible for:","يتعامل تطبيق OPTN Wallet مع عملات مشفرة حقيقية. أنت المسؤول وحدك عن:","translated"
"terms.responsibilitiesText","The development team is not responsible for loss of assets or unauthorized access resulting from failure to follow these practices.","لا يتحمل فريق التطوير مسؤولية فقدان الأصول أو الوصول غير المصرح به الناتج عن عدم اتباع هذه الممارسات.","translated"
"terms.safeguard","Safeguarding your private keys and recovery phrases.","حماية مفاتيحك الخاصة وعبارات الاسترداد.","translated"
"terms.verify","Verifying transaction details before confirming any actions.","التحقق من تفاصيل المعاملة قبل تأكيد أي إجراء.","translated"
"token.activeMinting","Active Minting","السك النشط","translated"
"token.authHead","Auth Head","رأس التفويض","translated"
"token.bcmr","BCMR","BCMR","stable-term"
"token.bcmrUnavailable","BCMR metadata unavailable","بيانات BCMR غير متاحة","translated"
"token.category","Category","الفئة","translated"
"token.chainStatsError","Unable to load token chain statistics right now.","تعذر تحميل إحصاءات سلسلة الرمز الآن.","translated"
"token.decimals","Decimals","المنازل العشرية","translated"
"token.id","Token ID","معرّف الرمز","translated"
"token.loading","Loading token data…","جارٍ تحميل بيانات الرمز…","translated"
"token.no","No","لا","translated"
"token.symbol","Symbol","الرمز المختصر","translated"
"token.totalNfts","Total NFTs","إجمالي NFTs","translated"
"token.totalSupply","Total Supply","إجمالي المعروض","translated"
"token.unavailable","Unavailable","غير متاح","translated"
"token.yes","Yes","نعم","translated"
"tor.appRunsOwn","The app runs its own Tor — no Tor Browser needed","يشغّل التطبيق Tor الخاص به — لا حاجة إلى Tor Browser","translated"
"tor.autoDetect","Auto-detect (9050 / 9150)","اكتشاف تلقائي (9050 / 9150)","translated"
"tor.bootstrapping","Bootstrapping Tor… {percent}%","جارٍ تهيئة Tor… {percent}%","translated"
"tor.check","Check Tor","فحص Tor","translated"
"tor.checking","Checking…","جارٍ الفحص…","translated"
"tor.desktopOnly","Desktop only","سطح المكتب فقط","translated"
"tor.disable","Disable","تعطيل","translated"
"tor.enable","Enable","تفعيل","translated"
"tor.externalOption","Or use a Tor you run yourself:","أو استخدم Tor الذي تشغّله بنفسك:","translated"
"tor.foundOnPort","Tor found on port {port} ✓","تم العثور على Tor على المنفذ {port} ✓","translated"
"tor.integrated","Integrated Tor","Tor مدمج","translated"
"tor.manualPort","Manual port","منفذ يدوي","translated"
"tor.noExternal","No external Tor found. Either press “Start integrated Tor” above (recommended), or start Tor Browser (9150) / a system Tor daemon (9050) and press “Check Tor”. Without Tor, remote CashFusion is blocked.","لم يتم العثور على Tor خارجي. ابدأ Tor المدمج أعلاه أو شغّل Tor Browser أو خدمة Tor ثم اضغط فحص Tor. بدون Tor يتم حظر CashFusion البعيد.","translated"
"tor.noProxy","No Tor proxy running ✗","لا يوجد وكيل Tor قيد التشغيل ✗","translated"
"tor.remoteRequired","Required for remote CashFusion servers","مطلوب لخوادم CashFusion البعيدة","translated"
"tor.runningOn","Running on port {port} ✓","يعمل على المنفذ {port} ✓","translated"
"tor.starting","Starting…","جارٍ البدء…","translated"
"tor.startIntegrated","Start integrated Tor","بدء Tor المدمج","translated"
"tor.stop","Stop","إيقاف","translated"
"tor.title","Tor","Tor","stable-term"
"tor.usingManual","Using manual port {port}","استخدام المنفذ اليدوي {port}","translated"
"txDetails.bch","BCH","BCH","stable-term"
"txDetails.index","Index","الفهرس","stable-term"
"txDetails.locktime","Locktime","وقت القفل","translated"
"txDetails.txid","TXID","معرّف المعاملة","stable-term"
"txDetails.version","Version","الإصدار","stable-term"
"txSummary.bch","BCH","BCH","stable-term"
"txSummary.bchInput","bch input","مدخل BCH","translated"
"txSummary.bytes","bytes","بايت","stable-term"
"txSummary.fee","Fee","الرسوم","translated"
"txSummary.feeRate","Fee rate","معدل الرسوم","translated"
"txSummary.inputs","Inputs","المدخلات","translated"
"txSummary.outputs","Outputs","المخرجات","translated"
"txSummary.sats","sats","ساتوشي","stable-term"
"txSummary.token","token","رمز","stable-term"
"txSummary.tokenInput","token input","مدخل رمز","translated"
"txSummary.txSize","Tx size","حجم المعاملة","translated"
"utxo.amount","Amount","المبلغ","translated"
"utxo.bitcoinCash","Bitcoin Cash","بيتكوين كاش","stable-term"
"utxo.ft","FT","FT","stable-term"
"utxo.height","Height","الارتفاع","translated"
"utxo.loading","Loading UTXOs…","جارٍ تحميل UTXOs…","translated"
"utxo.name","Name","الاسم","translated"
"utxo.nft","NFT","NFT","stable-term"
"utxo.none","No UTXOs to display.","لا توجد UTXOs لعرضها.","translated"
"utxo.pos","Pos","الموضع","translated"
"utxo.tokens","tokens","الرموز","stable-term"
"utxo.txHash","Tx Hash","تجزئة المعاملة","translated"
"walkthrough.label","Walkthrough","جولة إرشادية","translated"
"watchOnly.accountXpub","Account xPub","xPub الحساب","translated"
"watchOnly.back","Back to wallets","العودة إلى المحافظ","translated"
"watchOnly.change","Change #{index}","الباقي رقم {index}","translated"
"watchOnly.chipnet","Chipnet","Chipnet","stable-term"
"watchOnly.comingNext","Coming next","التالي","translated"
"watchOnly.description","Inspect public BCH addresses without importing any private keys.","افحص عناوين BCH العامة دون استيراد أي مفاتيح خاصة.","translated"
"watchOnly.mainnet","Mainnet","Mainnet","stable-term"
"watchOnly.multipleCosigners","Multiple cosigners","عدة موقّعين مشاركين","translated"
"watchOnly.multisign","Multisign","توقيع متعدد","translated"
"watchOnly.network","Network","الشبكة","translated"
"watchOnly.pathNote","Confirm that SeedCash exported this account at m/44'/145'/account'. A standalone BIP32 xPub cannot prove its parent purpose or coin path.","تأكد من أن SeedCash صدّر هذا الحساب بالمسار m/44'/145'/account'. لا يستطيع xPub مستقل بنظام BIP32 إثبات غرض الأصل أو مسار العملة.","translated"
"watchOnly.previewPublic","Preview public addresses","معاينة العناوين العامة","translated"
"watchOnly.previewTitle","Public address preview","معاينة العنوان العام","translated"
"watchOnly.receive","Receive #{index}","استلام رقم {index}","translated"
"watchOnly.scanCamera","Scan (camera)","مسح (الكاميرا)","translated"
"watchOnly.standard","Standard","قياسي","stable-term"
"watchOnly.title","Watch-Only Wallet Preview","معاينة محفظة للمشاهدة فقط","translated"
"watchOnly.type","Watch-only wallet type","نوع محفظة المشاهدة فقط","translated"
"watchOnly.uploadQr","Upload QR","رفع QR","translated"
"watchOnly.warning","Public preview only: this screen does not save a watch-only wallet or create, sign, import, or broadcast PSBT transactions yet.","معاينة عامة فقط: لا تحفظ هذه الشاشة محفظة للمشاهدة فقط ولا تنشئ أو توقّع أو تستورد أو تبث معاملات PSBT بعد.","translated"
"watchOnly.xpubPlaceholder","Paste the xPub exported by SeedCash","الصق xPub المُصدّر من SeedCash","translated"
"wc.activeSessions","Active WalletConnect Sessions","جلسات WalletConnect النشطة","translated"
"wc.address","Address","العنوان","translated"
"wc.approvalFailedBody","Failed to approve the session request from {name}.","تعذرت الموافقة على طلب الجلسة من {name}.","translated"
"wc.approvalFailedTitle","WalletConnect approval failed","فشلت الموافقة على WalletConnect","translated"
"wc.approve","Approve","موافقة","translated"
"wc.approvedBody","Connected to {name}.","تم الاتصال بـ {name}.","translated"
"wc.approvedTitle","WalletConnect session approved","تمت الموافقة على جلسة WalletConnect","translated"
"wc.approveSession","Approve Session","الموافقة على الجلسة","translated"
"wc.broadcast","Broadcast","بث","translated"
"wc.broadcastLocked","Another outgoing transaction is still syncing. To avoid duplicates while you are offline, this wallet will only broadcast one unresolved transaction at a time.","توجد معاملة صادرة أخرى قيد المزامنة. ستبث هذه المحفظة معاملة غير محلولة واحدة فقط لتجنب التكرار.","translated"
"wc.cancel","Cancel","إلغاء","translated"
"wc.close","Close","إغلاق","translated"
