"key","English (en)","Chinese (Simplified) (zh-CN)","Status"
"quantumroot.popup.plainBchDescription","Use this for plain BCH coins. Protected coins stay in the lanes above.","普通 BCH 币使用此功能。受保护的币仍留在上方通道中。","translated"
"quantumroot.popup.previewOnly","Preview only on mainnet until activation.","激活前仅在 Mainnet 上提供预览。","translated"
"quantumroot.popup.protectedReceiveCount","Coins already handled by Protected spend: {count}","受保护支出已处理的币：{count}","translated"
"quantumroot.popup.protectedSpend","Protected spend","受保护支出","translated"
"quantumroot.popup.protectedSpendDescription","When the approval key and matching receive coin are present, spending opens here.","批准密钥和匹配的接收币到位后，支出功能会在这里打开。","translated"
"quantumroot.popup.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"quantumroot.popup.quantumLockBch","Quantum Lock BCH","Quantum Lock BCH","needs-review"
"quantumroot.popup.quantumLockRecovery","Quantum Lock recovery","Quantum Lock 恢复","translated"
"quantumroot.popup.quantumLockRecoveryCount","Quantum Lock recovery coins: {count}","Quantum Lock 恢复币：{count}","translated"
"quantumroot.popup.quantumrootOpens","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","批准密钥位于 Quantum Lock 且匹配的接收币位于普通通道后，Quantumroot 才会打开。","translated"
"quantumroot.popup.ready","Ready","就绪","translated"
"quantumroot.popup.readyCoin","Ready coin","就绪币","translated"
"quantumroot.popup.readyCoinAvailable","Ready coin available.","已有就绪币。","translated"
"quantumroot.popup.readyCoins","{count} ready coin(s)","{count} 个就绪币","translated"
"quantumroot.popup.receiveAddress","Receive address","接收地址","translated"
"quantumroot.popup.receiveBch","Receive BCH","接收 BCH","translated"
"quantumroot.popup.recover","Recover","恢复","translated"
"quantumroot.popup.recoverableBchCoins","Recoverable BCH coins","可恢复的 BCH 币","translated"
"quantumroot.popup.recoverableBchCount","Recoverable BCH coins: {count}","可恢复的 BCH 币：{count}","translated"
"quantumroot.popup.recovering","Recovering…","恢复中…","translated"
"quantumroot.popup.recoverRegularBch","Recover regular BCH","恢复普通 BCH","translated"
"quantumroot.popup.refresh","Refresh","刷新","translated"
"quantumroot.popup.refreshChooseAnother","Refresh the vault or choose another approval key.","刷新保险库或选择其他批准密钥。","translated"
"quantumroot.popup.refreshVault","Refresh vault","刷新保险库","translated"
"quantumroot.popup.refreshVaultStatus","Refresh vault status","刷新保险库状态","translated"
"quantumroot.popup.reviewDestination","Review the destination before broadcasting.","广播前检查目的地。","translated"
"quantumroot.popup.reviewSpend","Review spend","检查支出","translated"
"quantumroot.popup.reviewSpendSubtitle","Check the destination, approval key, and ready coin before you broadcast.","广播前检查目的地、批准密钥和就绪币。","translated"
"quantumroot.popup.reviewSpendTitle","Review spend","检查支出","translated"
"quantumroot.popup.saveApprovalKey","Save approval key","保存批准密钥","translated"
"quantumroot.popup.saving","Saving…","保存中…","translated"
"quantumroot.popup.selectedApprovalKey","Selected approval key","选中的批准密钥","translated"
"quantumroot.popup.selectedAsApproval","Selected as approval key","已选为批准密钥","translated"
"quantumroot.popup.sendApprovalHere","Send the approval key here.","将批准密钥发送到这里。","translated"
"quantumroot.popup.sendApprovalKey","Send approval key","发送批准密钥","translated"
"quantumroot.popup.sendApprovalKeyDescription","Open the send screen prefilled to Quantum Lock with the selected approval key.","打开预填充的发送界面，将选中的批准密钥发送到 Quantum Lock。","translated"
"quantumroot.popup.sendApprovalKeyToLock","Send the approval key to Quantum Lock.","将批准密钥发送到 Quantum Lock。","translated"
"quantumroot.popup.sendSelectedApprovalKey","Send the selected approval key to Quantum Lock.","将选中的批准密钥发送到 Quantum Lock。","translated"
"quantumroot.popup.spend","Spend","支出","translated"
"quantumroot.popup.spendDestination","Spend destination","支出目的地","translated"
"quantumroot.popup.spending","Spending…","支出中…","translated"
"quantumroot.popup.sweepBch","Sweep BCH coins ({count})","转移 BCH 币（{count}）","translated"
"quantumroot.popup.sweeping","Sweeping…","转移中…","translated"
"quantumroot.popup.tapToOpen","Tap to open","点击打开","translated"
"quantumroot.popup.unsupportedQuantumLock","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","属于受保护支出的 Quantum Lock 币已在上方处理；此恢复列表仅包含普通 BCH 币。","translated"
"quantumroot.popup.unsupportedReceive","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","带有批准密钥的币会留在受保护支出中；此恢复列表仅包含普通 BCH 币。","translated"
"quantumroot.popup.useRecoveryAddress","Use wallet recovery address","使用钱包恢复地址","translated"
"quantumroot.popup.vaultSetup","Vault setup","保险库设置","translated"
"quantumroot.popup.vaultSetupDescription","Copy addresses and choose the approval key.","复制地址并选择批准密钥。","translated"
"quantumroot.popup.waiting","Waiting","等待中","translated"
"quantumroot.popup.walletRecoveryAddress","Wallet recovery address","钱包恢复地址","translated"
"quantumroot.readyToRecover","{count} ready to recover","{count} 个可恢复","translated"
"quantumroot.refreshing","Refreshing balances and UTXO status. Vaults remain available while sync completes.","正在刷新余额和 UTXO 状态。同步完成前保险库仍可用。","translated"
"quantumroot.subtitle","Two spending lanes in one vault","一个保险库中的两条支出通道","translated"
"quantumroot.syncingVaults","Syncing Vaults…","正在同步保险库…","translated"
"quantumroot.syncVaults","Sync Vaults","同步保险库","translated"
"quantumroot.toast.approvalKeyMissing","This approval key is no longer visible. Refresh the vault or choose another key.","当前看不到此批准密钥。刷新保险库或选择其他密钥。","translated"
"quantumroot.toast.authorizedBroadcast","Quantumroot authorized spend broadcast: {txid}","Quantumroot 授权支出已广播：{txid}","translated"
"quantumroot.toast.authorizedFailed","Quantumroot authorized spend failed: {message}","Quantumroot 授权支出失败：{message}","translated"
"quantumroot.toast.broadcastAuthorizedFailed","Failed to broadcast Quantumroot authorized spend.","Quantumroot 授权支出广播失败。","translated"
"quantumroot.toast.broadcastLockRecoveryFailed","Failed to broadcast Quantum Lock recovery.","Quantum Lock 恢复广播失败。","translated"
"quantumroot.toast.broadcastSpendFailed","Failed to broadcast Quantumroot spend.","Quantumroot 支出广播失败。","translated"
"quantumroot.toast.broadcastSweepFailed","Failed to broadcast Quantumroot sweep.","Quantumroot 转移广播失败。","translated"
"quantumroot.toast.configureFailed","Failed to configure vault: {message}","保险库配置失败：{message}","translated"
"quantumroot.toast.destinationRequired","Destination address is required.","必须填写目的地地址。","translated"
"quantumroot.toast.ineligibleReceiveUtxo","That receive UTXO is not eligible for authorized spend.","该接收 UTXO 不符合授权支出条件。","translated"
"quantumroot.toast.invalidTokenCategory","Token category must be 64 hexadecimal characters.","代币类别必须是 64 个十六进制字符。","translated"
"quantumroot.toast.lockRecoveryBroadcast","Quantum Lock recovery broadcast: {txid}","Quantum Lock 恢复已广播：{txid}","translated"
"quantumroot.toast.lockRecoveryFailed","Quantum Lock recovery failed: {message}","Quantum Lock 恢复失败：{message}","translated"
"quantumroot.toast.noBchUtxos","No BCH-only receive UTXOs available to sweep.","没有可转移的纯 BCH 接收 UTXO。","translated"
"quantumroot.toast.noControlToken","No matching Quantum Lock control token is available yet.","尚无匹配的 Quantum Lock 控制代币。","translated"
"quantumroot.toast.previewActive","Quantumroot mainnet preview is active until activation.","Quantumroot Mainnet 预览在激活前保持可用。","translated"
"quantumroot.toast.reconfigured","Quantumroot vault reconfigured.","Quantumroot 保险库已重新配置。","translated"
"quantumroot.toast.spendBroadcast","Quantumroot spend broadcast: {txid}","Quantumroot 支出已广播：{txid}","translated"
"quantumroot.toast.spendFailed","Quantumroot spend failed: {message}","Quantumroot 支出失败：{message}","translated"
"quantumroot.toast.sweepBroadcast","Quantumroot sweep broadcast: {txid}","Quantumroot 转移已广播：{txid}","translated"
"quantumroot.toast.sweepFailed","Quantumroot sweep failed: {message}","Quantumroot 转移失败：{message}","translated"
"quantumroot.toast.unavailable","Quantumroot vault unavailable.","Quantumroot 保险库不可用。","translated"
"quantumroot.trackedBalance","Tracked Balance","跟踪余额","translated"
"quantumroot.vaultNumber","Vault #{id}","保险库 #{id}","translated"
"quantumroot.vaults","Vaults","保险库","translated"
"quantumroot.workspaceRefreshFailed","Workspace Refresh Failed","工作区刷新失败","translated"
"receive.addressesNotReady","Receive addresses not ready","接收地址尚未准备好","translated"
"receive.amountBch","Amount (BCH)","金额（BCH）","translated"
"receive.back","Back","返回","translated"
"receive.bip21Active","Request details are active and the QR is now encoding the BIP21 URI.","请求详情已启用，二维码现在编码的是 BIP21 URI。","translated"
"receive.bip21Description","Encode amount, label, and message into the QR payload.","将金额、标签和消息编码到二维码内容中。","translated"
"receive.bip21Help","When enabled, the QR and copied payload use a BIP21-style `bitcoincash:` URI so compatible wallets can autofill request details.","启用后，二维码和复制的内容会使用 BIP21 格式 URI，使兼容钱包可以自动填写请求详情。","translated"
"receive.bip21Title","BIP21 payment request","BIP21 支付请求","translated"
"receive.cashToken","CashToken","CashToken","stable-term"
"receive.change","Change","找零地址","translated"
"receive.changeAddressCount","{count} change addresses","{count} 个找零地址","translated"
"receive.clear","Clear","清除","translated"
"receive.close","Close","关闭","translated"
"receive.copied","Copied to clipboard!","已复制到剪贴板！","translated"
"receive.copyBip21","Copy BIP21 URI","复制 BIP21 URI","translated"
"receive.copyFailed","Failed to copy.","复制失败。","translated"
"receive.copyQrPayload","Copy receive QR payload","复制接收二维码内容","translated"
"receive.dismiss","Dismiss","关闭","translated"
"receive.dismissUnlockAlert","Dismiss unlock alert","关闭解锁提示","translated"
"receive.label","Label","标签","translated"
"receive.main","Main","主地址","translated"
"receive.mainAddressCount","{count} main addresses","{count} 个主地址","translated"
"receive.message","Message","消息","stable-term"
"receive.noAddressesLoaded","This wallet does not have receive addresses loaded yet.","此钱包尚未加载接收地址。","translated"
"receive.noBranchAddresses","No addresses found in this branch yet.","此分支中尚未找到地址。","translated"
"receive.noVaultFunds","No Quantumroot vault funds detected yet.","尚未检测到 Quantumroot 保险库资金。","translated"
"receive.openQrPreview","Open larger QR code preview","打开更大的二维码预览","translated"
"receive.optional","Optional","可选","translated"
"receive.optionalExample","Optional, e.g. 0.0105","可选，例如 0.0105","translated"
"receive.prepareAddresses","Prepare receive addresses","准备接收地址","translated"
"receive.prepareAddressesDescription","Prepare addresses to show your receive QR and address list.","准备地址以显示接收二维码和地址列表。","translated"
"receive.privKeyReady","Private key view unlocked","私钥视图已解锁","translated"
"receive.privKeyUnlock","Private key unlock in {count} taps","再点击 {count} 次即可解锁私钥","translated"
"receive.pubKeyTapProgress","PubKey pressed {count}/{total} times","PubKey 已点击 {count}/{total} 次","translated"
"receive.qrCopyDescription","Tap the QR to copy the current payload. Close to return.","点击二维码复制当前内容。关闭以返回。","translated"
"receive.quantumLock","Quantum Lock","量子锁","stable-term"
"receive.quantumLockAddress","Quantum Lock Address","量子锁地址","translated"
"receive.quantumrootStatus","Quantumroot Status","Quantumroot 状态","translated"
"receive.readOnlyStatus","This view is read-only. It shows vault status and key receive data, but no spending or recovery actions.","此视图为只读，仅显示保险库状态和接收数据，不支持花费或恢复操作。","translated"
"receive.receiveAddress","Receive Address","接收地址","translated"
"receive.receiveBalance","Receive Balance","接收余额","translated"
"receive.receiveQr","Receive QR","接收二维码","translated"
"receive.regular","Regular","普通","translated"
"receive.seeAllAddresses","See all addresses","查看全部地址","translated"
"receive.switch","Switch","切换","translated"
"receive.switchAddress","Switch address","切换地址","translated"
"receive.syncing","Syncing…","同步中…","translated"
"receive.tapPubKey","Tap PubKey to reveal the private key view.","点击 PubKey 以显示私钥视图。","translated"
"receive.title","Receive","接收","translated"
"receive.toggleAddressType","Toggle receive address type","切换接收地址类型","translated"
"receive.unavailable","Unavailable","不可用","translated"
"reconfiguration.changingPath","Changing derivation path","正在更改派生路径","translated"
"reconfiguration.clearing","Clearing old wallet data","正在清除旧钱包数据","translated"
"reconfiguration.clearingDetail","Removing the previous address, history, and UTXO records.","正在移除之前的地址、历史记录和 UTXO 数据。","translated"
"reconfiguration.deriving","Generating wallet addresses","正在生成钱包地址","translated"
"reconfiguration.derivingDetail","Creating the receive and change addresses for this wallet path.","正在为此钱包路径创建收款和找零地址。","translated"
"reconfiguration.dismiss","Dismiss","关闭","translated"
"reconfiguration.failed","Wallet update failed","钱包更新失败","translated"
"reconfiguration.failedDetail","The wallet could not be reconfigured.","无法重新配置钱包。","translated"
"reconfiguration.keepOpen","Please keep OPTN Wallet open. Navigation is temporarily disabled while wallet data is rebuilt.","请保持 OPTN Wallet 打开。重建钱包数据期间，导航功能会暂时禁用。","translated"
"reconfiguration.movingTo","Moving to {network}","正在切换到 {network}","translated"
"reconfiguration.preparing","Preparing wallet","正在准备钱包","translated"
"reconfiguration.preparingDetail","Stopping background sync and reconnecting to the selected network.","正在停止后台同步并重新连接到所选网络。","translated"
"reconfiguration.progress","Wallet update progress","钱包更新进度","translated"
"reconfiguration.reloading","Reloading wallet","正在重新加载钱包","translated"
"reconfiguration.stepOf","Step {current} of {total}","第 {current} 步，共 {total} 步","translated"
"reconfiguration.switchingNetwork","Switching network","正在切换网络","translated"
"reconfiguration.syncing","Synchronizing wallet","正在同步钱包","translated"
"reconfiguration.syncingDetail","Fetching balances, UTXOs, and transaction history. This can take 15–20 seconds.","正在获取余额、UTXO 和交易历史，可能需要 15–20 秒。","translated"
"reconfiguration.updating","Updating wallet","正在更新钱包","translated"
"reconfiguration.working","Working…","处理中…","translated"
"recovery.hide","Hide Backup Phrase","隐藏备份短语","translated"
"recovery.reveal","Reveal Backup Phrase","显示备份短语","translated"
"recovery.warning","Warning","警告","translated"
"recovery.warningDescription","Displaying your mnemonic backup phrase can compromise your funds. Ensure you keep it secure.","显示助记词备份短语可能危及您的资金。请确保妥善保管。","translated"
"rpa.confirmedPayment","confirmed stealth payment","笔已确认的隐匿付款","translated"
"rpa.confirmedPayments","{count} confirmed stealth payment(s) found","发现 {count} 笔已确认的隐匿付款","translated"
"rpa.copyFailed","Copy failed.","复制失败。","translated"
"rpa.copySuccess","Paycode copied!","支付码已复制！","translated"
"rpa.derivationFailed","Paycode derivation failed. Unlock your wallet and try again.","支付码派生失败。请解锁钱包后重试。","translated"
"rpa.derivationPaths","Derivation paths","派生路径","translated"
"rpa.deriving","Deriving paycode…","正在派生支付码…","translated"
"rpa.found","found","已发现","translated"
"rpa.howWorks","How it works","工作原理","translated"
"rpa.lastScanned","Last scanned","上次扫描","translated"
"rpa.noNotification","No notification tx.","无通知交易。","translated"
"rpa.noNotificationText","The sender grinds their signature nonce until the input hash prefix matches your scan key — detectability is embedded in the signature itself.","发送方会不断尝试签名 nonce，直到输入哈希前缀匹配你的扫描密钥；可检测性直接嵌入签名。","translated"
"rpa.paycode","Paycode","支付码","stable-term"
"rpa.prefixFilter","Prefix filter","前缀过滤","translated"
"rpa.scanDescription","Scans a Fulcrum-RPA server for transactions whose input signature prefix matches your scan key. Uses ECDH to verify each candidate and detect your stealth outputs.","扫描 Fulcrum-RPA 服务器，查找输入签名前缀匹配扫描密钥的交易。使用 ECDH 验证候选交易并检测隐匿输出。","translated"
"rpa.scanKey","Scan key","扫描密钥","translated"
"rpa.scanning","Scanning…","扫描中…","translated"
"rpa.serverUnsupported","This server does not support RPA scanning.","此服务器不支持 RPA 扫描。","translated"
"rpa.shareDescription","Share this paycode with senders. Each payment creates a unique stealth address — no link between payments on-chain.","将此支付码分享给付款方。每笔付款都会创建唯一的隐匿地址，链上不会关联各笔付款。","translated"
"rpa.spendKey","Spend key","花费密钥","translated"
"rpa.stealthBalance","Stealth BCH","隐匿 BCH","translated"
"rpa.sync","Sync","同步","translated"
"rpa.title","RPA Paycode","RPA 支付码","stable-term"
"rpa.walletUnavailable","Wallet not available","钱包不可用","translated"
"send.address","Address","地址","translated"
"send.advanced","Advanced","高级","translated"
"send.advancedBuilder","Open Advanced Builder","打开高级构建器","translated"
"send.airdrops","Airdrops","空投","translated"
"send.amount","Amount","金额","translated"
"send.amountBch","Amount (BCH)","金额（BCH）","translated"
"send.amountUsd","Amount (USD)","金额（USD）","translated"
"send.asset","Asset","资产","translated"
"send.assetControl","Asset control","资产控制","translated"
"send.back","Back","返回","translated"
"send.balance","Balance","余额","translated"
"send.bcmrMetadata","Parsed using BCMR metadata from the selected category.","使用所选类别的 BCMR 元数据解析。","translated"
"send.bytes","bytes","字节","stable-term"
"send.changeAddress","Change address","找零地址","translated"
"send.clearForm","Clear form","清除表单","translated"
"send.confirmed","Confirmed","已确认","translated"
"send.contract","Contract","合约","translated"
"send.contractInputs","Contract inputs","合约输入","translated"
"send.copy","Copy","复制","translated"
"send.debug","Debug","调试","translated"
"send.decimals","{count} decimals","{count} 位小数","translated"
"send.details","Details","详情","translated"
"send.enterBchForUsd","Enter a BCH amount to see the USD equivalent.","输入 BCH 金额以查看 USD 等值金额。","translated"
"send.enterUsdForBch","Enter a USD amount to see the BCH equivalent.","输入 USD 金额以查看 BCH 等值金额。","translated"
"send.fee","Fee","费用","translated"
"send.fillMax","Fill the full spendable balance minus network fee","填入扣除网络费用后的全部可用余额","translated"
"send.fillRequired","Fill the required fields first","请填写必填字段","translated"
"send.finalOutputs","Final outputs","最终输出","translated"
"send.guidedDescription","Send BCH, fungible tokens, or NFTs with one guided flow.","通过一个引导流程发送 BCH、同质化代币或 NFT。","translated"
"send.height","Height","高度","translated"
"send.hide","Hide","隐藏","translated"
"send.inputs","Inputs","输入","translated"
"send.inputsUsed","Inputs used","使用的输入","translated"
"send.insufficientFunds","Not enough funds. Check your balance or reduce the amount.","资金不足，请检查余额或减少金额。","translated"
"send.integer","integer","整数","translated"
"send.invalidAddress","Invalid address—double-check for typos or try scanning a QR code.","地址无效，请检查拼写或尝试扫描二维码。","translated"
"send.keepTxid","Keep this txid as your reference and avoid sending it again.","请保留此 txid 作为参考，避免重复发送。","translated"
"send.leaveBlankNft","Leave blank to send the first available NFT in this category.","留空以发送此类别中第一个可用的 NFT。","translated"
"send.loading","Loading…","加载中…","translated"
"send.max","Max","最大值","stable-term"
"send.networkError","Network error. Check your connection and try again.","网络错误，请检查连接后重试。","translated"
"send.nft","NFT","NFT","stable-term"
"send.nftCategory","NFT category","NFT 类别","translated"
"send.nftCommitment","NFT commitment","NFT 承诺值","translated"
"send.nfts","NFTs","NFT","stable-term"
"send.noInputs","No inputs selected yet (run Review).","尚未选择输入（请执行检查）。","translated"
"send.noOutputs","No outputs yet (run Review).","尚无输出（请执行检查）。","translated"
"send.noTxBuilt","(no tx built yet)","（尚未构建交易）","translated"
"send.openAirdrops","Open Airdrops","打开空投","translated"
"send.optionalHexCommitment","Optional hex commitment…","可选十六进制承诺值…","translated"
"send.outpoint","Outpoint","Outpoint","stable-term"
"send.outputsCreated","Outputs created","创建的输出","translated"
"send.pending","Pending","待处理","translated"
"send.quantumrootApproval","approval key to Quantum Lock","发送到量子锁的批准密钥","translated"
"send.quantumrootHint","Review the recipient and token category, then tap Review to build the transaction.","检查收款人和代币类别，然后点击检查以构建交易。","translated"
"send.quantumrootNftHint","If there are multiple NFT entries, choose the one that matches the approval key.","如果有多个 NFT 条目，请选择与批准密钥匹配的条目。","translated"
"send.quantumrootPrefilled","Prefilled to send the {label}","已预填，可发送{label}","translated"
"send.quantumrootReceive","matching receive coin to the vault receive address","发送到保险库接收地址的匹配接收币","translated"
"send.quantumrootShortcut","Quantumroot shortcut","Quantumroot 快捷方式","translated"
"send.rawTransaction","Raw transaction","原始交易","translated"
"send.recipient","Recipient","收款人","translated"
"send.recipientAmountLoaded","Recipient and amount loaded from QR.","已从二维码加载收款人和金额。","translated"
"send.recipientLoaded","Recipient loaded from QR.","已从二维码加载收款人。","translated"
"send.releaseToSend","Release to send","松开以发送","translated"
"send.reset","Reset","重置","translated"
"send.review","Review","检查","translated"
"send.reviewTitle","Review Transaction","检查交易","translated"
"send.sats","Sats","Sats","stable-term"
"send.scanQr","Scan QR","扫描二维码","translated"
"send.selectCategory","Select category…","选择类别…","translated"
"send.selectedInputs","Selected inputs","已选择的输入","translated"
"send.send","Send","发送","translated"
"send.sending","Sending…","发送中…","translated"
"send.sent","Transaction sent","交易已发送","translated"
"send.show","Show","显示","translated"
"send.slideToConfirm","Slide to confirm","滑动确认","translated"
"send.submitted","Transaction submitted","交易已提交","translated"
"send.summary","Summary","摘要","translated"
"send.switchToBch","Switch amount input to BCH","将金额输入切换为 BCH","translated"
"send.switchToUsd","Switch amount input to USD","将金额输入切换为 USD","translated"
"send.technicalDetails","Technical details","技术详情","translated"
"send.title","Simple Send","简单发送","translated"
"send.to","To","收款人","translated"
"send.token","Token","代币","stable-term"
"send.tokenAmount","Token amount","代币金额","translated"
"send.tokenCategory","Token category","代币类别","translated"
"send.tokenChange","Token change","代币找零","translated"
"send.tokenInputs","Token inputs","代币输入","translated"
"send.tokenLabel","Token","代币","stable-term"
"send.totalBch","Total (BCH)","总计（BCH）","stable-term"
"send.transactionSize","Transaction size","交易大小","translated"
"send.transferMode","Transfer mode","转账模式","translated"
"send.type","Type","类型","stable-term"
"send.unconfirmedInputs","Unconfirmed inputs","未确认输入","translated"
"send.usdUnavailable","USD conversion is unavailable right now.","当前无法进行 USD 换算。","translated"
"send.verifyRecipient","QR scanned. Verify recipient before sending.","已扫描二维码。发送前请确认收款人。","translated"
"send.verifySlide","Verify details and slide to send.","确认详情后滑动发送。","translated"
"send.waitingSync","Waiting for sync","等待同步","translated"
"send.waitPrevious","Wait for your previous outgoing transaction to sync first","请等待上一笔转出交易完成同步","translated"
"server.active","● active","● 活动","translated"
"server.add","Add","添加","translated"
"server.addDesktopPlaceholder","Add server — Fulcrum host:50002, or a node host:8333","添加服务器 — Fulcrum 主机:50002，或节点主机:8333","translated"
"server.addMobilePlaceholder","Add WSS server — host:50004","添加 WSS 服务器 — 主机:50004","translated"
"server.addressUrlPlaceholder","Address URL, e.g. https://example.com/address/{address}","地址 URL，例如 https://example.com/address/{address}","translated"
"server.auto","Auto","自动","translated"
"server.autoBackend","Auto — server pool, with failover","自动 — 服务器池，支持故障转移","translated"
"server.automatic","Automatic","自动","translated"
"server.backend","Backend","后端","stable-term"
"server.blockExplorer","Block explorer","区块浏览器","translated"
"server.connect","Connect","连接","translated"
"server.connected","Connected.","已连接。","translated"
"server.connectedServer","Connected server","已连接的服务器","translated"
"server.connecting","Connecting…","连接中…","translated"
"server.connectionFailed","Connection failed","连接失败","translated"
"server.connectTitle","Connect to this server","连接到此服务器","translated"
"server.custom","Custom…","自定义…","translated"
"server.customFee","Custom","自定义","translated"
"server.defaultPortHint","Default port: 50004 (WSS). Use wss:// prefix to force WSS, or ws:// for unencrypted.","默认端口：50004（WSS）。使用 wss:// 前缀强制 WSS，或使用 ws:// 进行未加密连接。","translated"
"server.explorerDescription","Used for “open in explorer” links on transactions.","用于交易中的“在浏览器中打开”链接。","translated"
"server.feeDescription","Fee rate for new transactions. Automatic uses the network minimum (~1 sat/byte, Electron Cash default).","新交易的费率。自动模式使用网络最低费率（约 1 sat/字节，Electron Cash 默认值）。","translated"
"server.feeUnit","sat/byte — applies to your next transaction","sat/字节 — 应用于下一笔交易","translated"
"server.invalidHost","Enter a valid host:port (e.g. 192.168.0.129:50002).","请输入有效的主机:端口（例如 192.168.0.129:50002）。","translated"
"server.manual","Manual","手动","stable-term"
"server.node","Node","节点","stable-term"
"server.notConnected","Not connected","未连接","translated"
"server.onlyBackend","Only this backend is used — pinning a node means Electrum servers aren't consulted.","仅使用此后端；固定节点后不会查询 Electrum 服务器。","translated"
"server.placeholderHelp","Use {txid} and {address} as placeholders.","使用 {txid} 和 {address} 作为占位符。","translated"
"server.pool","{network} server pool","{network} 服务器池","translated"
"server.rawNodeMobileError","Raw BCH node connections are only available on desktop. Add an Electrum/Fulcrum WSS server instead.","原始 BCH 节点连接仅在桌面端可用。请改为添加 Electrum/Fulcrum WSS 服务器。","translated"
"server.remove","Remove","移除","translated"
"server.saveCustom","Save custom explorer","保存自定义浏览器","translated"
"server.server","Server","服务器","translated"
"server.serverInputPlaceholder","host, host:50004, or wss://host:50004","主机、host:50004 或 wss://host:50004","translated"
"server.transactionFee","Transaction fee","交易费用","translated"
"server.trustless","trustless","无需信任","translated"
"server.txUrlPlaceholder","Tx URL, e.g. https://example.com/tx/{txid}","交易 URL，例如 https://example.com/tx/{txid}","translated"
"server.useAuto","Use Auto","使用自动模式","translated"
"settings.about","About OPTN","关于 OPTN","translated"
"settings.aboutSupport","About & support","关于与支持","translated"
"settings.aboutSupportDescription","Help, contact, terms, and app information","帮助、联系、条款和应用信息","translated"
"settings.connectionsFeatures","Connections & features","连接与功能","translated"
"settings.connectionsFeaturesDescription","Servers, integrations, privacy features, and advanced tools","服务器、集成、隐私功能和高级工具","translated"
"settings.contact","Contact Us","联系我们","translated"
"settings.language","Language","语言","translated"
"settings.languageDescription","Choose the wallet interface language","选择钱包界面语言","translated"
"settings.network","Network","网络","translated"
"settings.recovery","Recovery Phrase","恢复短语","translated"
"settings.terms","Terms of Use","使用条款","translated"
"settings.walletSecurity","Wallet & security","钱包与安全","translated"
"settings.walletSecurityDescription","Recovery, derivation path, app lock, and wallet controls","恢复、派生路径、应用锁和钱包控制","translated"
"settingsAppLock.autoLockAfter","Auto-lock after","自动锁定时间","translated"
"settingsAppLock.biometricDescription","Use {label} to unlock instead of typing your password.","使用 {label} 解锁，无需输入密码。","translated"
"settingsAppLock.biometricSetupFailed","Biometric setup failed: {message}","生物识别设置失败：{message}","translated"
"settingsAppLock.biometricUnlock","Biometric unlock","生物识别解锁","translated"
"settingsAppLock.cancel","Cancel","取消","translated"
"settingsAppLock.changePassword","Change Password","修改密码","translated"
"settingsAppLock.confirm","Confirm","确认","translated"
"settingsAppLock.confirmNewPassword","Confirm new password","确认新密码","translated"
"settingsAppLock.currentPassword","Current password","当前密码","translated"
"settingsAppLock.currentPasswordIncorrect","Current password is incorrect.","当前密码不正确。","translated"
"settingsAppLock.disabled","Disabled","已禁用","translated"
"settingsAppLock.enabled","Enabled","已启用","translated"
"settingsAppLock.enabling","Enabling…","启用中…","translated"
"settingsAppLock.encryption","Encryption","加密","translated"
"settingsAppLock.encryptionDescription","Your wallet is encrypted with a password-derived key (PBKDF2 · 600k iterations · AES-256-GCM). The key is never stored — it is derived in memory each time you unlock.","钱包使用密码派生密钥加密（PBKDF2 · 600k 次迭代 · AES-256-GCM）。密钥不会被保存，每次解锁时都会在内存中派生。","translated"
"settingsAppLock.lockNow","Lock Now","立即锁定","translated"
"settingsAppLock.minute","1 minute","1 分钟","stable-term"
"settingsAppLock.minutes","{count} minutes","{count} 分钟","stable-term"
"settingsAppLock.never","Never","从不","translated"
"settingsAppLock.newPassword","New password","新密码","translated"
"settingsAppLock.noWalletOpen","No wallet is open.","没有打开的钱包。","translated"
"settingsAppLock.passwordChanged","Password changed successfully.","密码修改成功。","translated"
"settingsAppLock.passwordChangeFailed","Password change failed. Please try again.","密码修改失败，请重试。","translated"
"settingsAppLock.passwordMismatch","New passwords do not match.","新密码不匹配。","translated"
"settingsAppLock.updating","Updating…","更新中…","translated"
"settingsDerivation.activePath","Active BIP44 account path","当前 BIP44 账户路径","translated"
"settingsDerivation.alreadyActive","This derivation path is already active.","此派生路径已经处于活动状态。","translated"
"settingsDerivation.changeResync","Change and resync","更改并同步","translated"
"settingsDerivation.completed","Derivation path changed and wallet resync completed.","派生路径已更改，钱包同步已完成。","translated"
"settingsDerivation.confirm","Changing the derivation path clears the current address, history, and UTXO records. The wallet will then regenerate and resync only the new path. Continue?","更改派生路径会清除当前地址、历史记录和 UTXO。钱包随后只会重新生成并同步新路径。是否继续？","translated"
"settingsDerivation.currentMode","Current mode: {mode}.","当前模式：{mode}。","translated"
"settingsDerivation.custom","custom","自定义","translated"
