"key","English (en)","Portuguese (Brazil) (pt-BR)","Status"
"send.clearForm","Clear form","Limpar formulário","translated"
"send.confirmed","Confirmed","Confirmada","translated"
"send.contract","Contract","Contrato","translated"
"send.contractInputs","Contract inputs","Entradas de contrato","translated"
"send.copy","Copy","Copiar","translated"
"send.debug","Debug","Depuração","translated"
"send.decimals","{count} decimals","{count} casas decimais","translated"
"send.details","Details","Detalhes","translated"
"send.enterBchForUsd","Enter a BCH amount to see the USD equivalent.","Informe um valor em BCH para ver o equivalente em USD.","translated"
"send.enterUsdForBch","Enter a USD amount to see the BCH equivalent.","Informe um valor em USD para ver o equivalente em BCH.","translated"
"send.fee","Fee","Taxa","translated"
"send.fillMax","Fill the full spendable balance minus network fee","Preencher todo o saldo disponível menos a taxa de rede","translated"
"send.fillRequired","Fill the required fields first","Preencha primeiro os campos obrigatórios","translated"
"send.finalOutputs","Final outputs","Saídas finais","translated"
"send.guidedDescription","Send BCH, fungible tokens, or NFTs with one guided flow.","Envie BCH, tokens fungíveis ou NFTs em um único fluxo guiado.","translated"
"send.height","Height","Altura","translated"
"send.hide","Hide","Ocultar","translated"
"send.inputs","Inputs","Entradas","translated"
"send.inputsUsed","Inputs used","Entradas usadas","translated"
"send.insufficientFunds","Not enough funds. Check your balance or reduce the amount.","Saldo insuficiente. Verifique seu saldo ou reduza o valor.","translated"
"send.integer","integer","inteiro","translated"
"send.invalidAddress","Invalid address—double-check for typos or try scanning a QR code.","Endereço inválido — verifique os erros ou tente escanear um QR.","translated"
"send.keepTxid","Keep this txid as your reference and avoid sending it again.","Guarde este txid como referência e não o envie novamente.","translated"
"send.leaveBlankNft","Leave blank to send the first available NFT in this category.","Deixe em branco para enviar o primeiro NFT disponível nesta categoria.","translated"
"send.loading","Loading…","Carregando…","translated"
"send.max","Max","Máximo","stable-term"
"send.networkError","Network error. Check your connection and try again.","Erro de rede. Verifique sua conexão e tente novamente.","translated"
"send.nft","NFT","NFT","stable-term"
"send.nftCategory","NFT category","Categoria do NFT","translated"
"send.nftCommitment","NFT commitment","Compromisso do NFT","translated"
"send.nfts","NFTs","NFTs","stable-term"
"send.noInputs","No inputs selected yet (run Review).","Nenhuma entrada selecionada (execute Revisar).","translated"
"send.noOutputs","No outputs yet (run Review).","Nenhuma saída (execute Revisar).","translated"
"send.noTxBuilt","(no tx built yet)","(nenhuma transação criada ainda)","translated"
"send.openAirdrops","Open Airdrops","Abrir Airdrops","translated"
"send.optionalHexCommitment","Optional hex commitment…","Compromisso hexadecimal opcional…","translated"
"send.outpoint","Outpoint","Outpoint","stable-term"
"send.outputsCreated","Outputs created","Saídas criadas","translated"
"send.pending","Pending","Pendente","translated"
"send.quantumrootApproval","approval key to Quantum Lock","chave de aprovação para o Quantum Lock","translated"
"send.quantumrootHint","Review the recipient and token category, then tap Review to build the transaction.","Revise o destinatário e a categoria do token; toque em Revisar para criar a transação.","translated"
"send.quantumrootNftHint","If there are multiple NFT entries, choose the one that matches the approval key.","Se houver várias entradas NFT, escolha a que corresponde à chave de aprovação.","translated"
"send.quantumrootPrefilled","Prefilled to send the {label}","Preenchido para enviar o {label}","translated"
"send.quantumrootReceive","matching receive coin to the vault receive address","moeda de recebimento correspondente ao endereço de recebimento do cofre","translated"
"send.quantumrootShortcut","Quantumroot shortcut","Atalho do Quantumroot","translated"
"send.rawTransaction","Raw transaction","Transação bruta","translated"
"send.recipient","Recipient","Destinatário","translated"
"send.recipientAmountLoaded","Recipient and amount loaded from QR.","Destinatário e valor carregados do QR.","translated"
"send.recipientLoaded","Recipient loaded from QR.","Destinatário carregado do QR.","translated"
"send.releaseToSend","Release to send","Liberar para enviar","translated"
"send.reset","Reset","Redefinir","translated"
"send.review","Review","Revisar","translated"
"send.reviewTitle","Review Transaction","Revisar transação","translated"
"send.sats","Sats","Sats","stable-term"
"send.scanQr","Scan QR","Escanear QR","translated"
"send.selectCategory","Select category…","Selecionar categoria…","translated"
"send.selectedInputs","Selected inputs","Entradas selecionadas","translated"
"send.send","Send","Enviar","translated"
"send.sending","Sending…","Enviando…","translated"
"send.sent","Transaction sent","Transação enviada","translated"
"send.show","Show","Mostrar","translated"
"send.slideToConfirm","Slide to confirm","Deslize para confirmar","translated"
"send.submitted","Transaction submitted","Transação enviada","translated"
"send.summary","Summary","Resumo","translated"
"send.switchToBch","Switch amount input to BCH","Mudar a entrada do valor para BCH","translated"
"send.switchToUsd","Switch amount input to USD","Mudar a entrada do valor para USD","translated"
"send.technicalDetails","Technical details","Detalhes técnicos","translated"
"send.title","Simple Send","Envio simples","translated"
"send.to","To","Para","translated"
"send.token","Token","Token","stable-term"
"send.tokenAmount","Token amount","Quantidade do token","translated"
"send.tokenCategory","Token category","Categoria do token","translated"
"send.tokenChange","Token change","Troco de token","translated"
"send.tokenInputs","Token inputs","Entradas de token","translated"
"send.tokenLabel","Token","Token","stable-term"
"send.totalBch","Total (BCH)","Total (BCH)","stable-term"
"send.transactionSize","Transaction size","Tamanho da transação","translated"
"send.transferMode","Transfer mode","Modo de transferência","translated"
"send.type","Type","Tipo","stable-term"
"send.unconfirmedInputs","Unconfirmed inputs","Entradas não confirmadas","translated"
"send.usdUnavailable","USD conversion is unavailable right now.","A conversão para USD está indisponível no momento.","translated"
"send.verifyRecipient","QR scanned. Verify recipient before sending.","QR escaneado. Verifique o destinatário antes de enviar.","translated"
"send.verifySlide","Verify details and slide to send.","Verifique os detalhes e deslize para enviar.","translated"
"send.waitingSync","Waiting for sync","Aguardando sincronização","translated"
"send.waitPrevious","Wait for your previous outgoing transaction to sync first","Aguarde a sincronização da transação de saída anterior","translated"
"server.active","● active","● ativo","translated"
"server.add","Add","Adicionar","translated"
"server.addDesktopPlaceholder","Add server — Fulcrum host:50002, or a node host:8333","Adicionar servidor — host Fulcrum:50002 ou host de nó:8333","translated"
"server.addMobilePlaceholder","Add WSS server — host:50004","Adicionar servidor WSS — host:50004","translated"
"server.addressUrlPlaceholder","Address URL, e.g. https://example.com/address/{address}","URL do endereço, ex.: https://example.com/address/{address}","translated"
"server.auto","Auto","Automático","translated"
"server.autoBackend","Auto — server pool, with failover","Automático — pool de servidores com failover","translated"
"server.automatic","Automatic","Automática","translated"
"server.backend","Backend","Backend","stable-term"
"server.blockExplorer","Block explorer","Explorador de blocos","translated"
"server.connect","Connect","Conectar","translated"
"server.connected","Connected.","Conectado.","translated"
"server.connectedServer","Connected server","Servidor conectado","translated"
"server.connecting","Connecting…","Conectando…","translated"
"server.connectionFailed","Connection failed","Falha na conexão","translated"
"server.connectTitle","Connect to this server","Conectar a este servidor","translated"
"server.custom","Custom…","Personalizado…","translated"
"server.customFee","Custom","Personalizada","translated"
"server.defaultPortHint","Default port: 50004 (WSS). Use wss:// prefix to force WSS, or ws:// for unencrypted.","Porta padrão: 50004 (WSS). Use o prefixo wss:// para forçar WSS ou ws:// para conexão sem criptografia.","translated"
"server.explorerDescription","Used for “open in explorer” links on transactions.","Usado nos links “abrir no explorador” das transações.","translated"
"server.feeDescription","Fee rate for new transactions. Automatic uses the network minimum (~1 sat/byte, Electron Cash default).","Taxa para novas transações. Automático usa o mínimo da rede (~1 sat/byte, padrão do Electron Cash).","translated"
"server.feeUnit","sat/byte — applies to your next transaction","sat/byte — aplica-se à próxima transação","translated"
"server.invalidHost","Enter a valid host:port (e.g. 192.168.0.129:50002).","Digite um host:porta válido (ex.: 192.168.0.129:50002).","translated"
"server.manual","Manual","Manual","stable-term"
"server.node","Node","Nó","stable-term"
"server.notConnected","Not connected","Não conectado","translated"
"server.onlyBackend","Only this backend is used — pinning a node means Electrum servers aren't consulted.","Somente este backend é usado — fixar um nó ignora os servidores Electrum.","translated"
"server.placeholderHelp","Use {txid} and {address} as placeholders.","Use {txid} e {address} como marcadores.","translated"
"server.pool","{network} server pool","Pool de servidores {network}","translated"
"server.rawNodeMobileError","Raw BCH node connections are only available on desktop. Add an Electrum/Fulcrum WSS server instead.","Conexões diretas a nós BCH só estão disponíveis no desktop. Adicione um servidor Electrum/Fulcrum WSS.","translated"
"server.remove","Remove","Remover","translated"
"server.saveCustom","Save custom explorer","Salvar explorador personalizado","translated"
"server.server","Server","Servidor","translated"
"server.serverInputPlaceholder","host, host:50004, or wss://host:50004","host, host:50004 ou wss://host:50004","translated"
"server.transactionFee","Transaction fee","Taxa de transação","translated"
"server.trustless","trustless","sem confiança","translated"
"server.txUrlPlaceholder","Tx URL, e.g. https://example.com/tx/{txid}","URL da transação, ex.: https://example.com/tx/{txid}","translated"
"server.useAuto","Use Auto","Usar automático","translated"
"settings.about","About OPTN","Sobre o OPTN","translated"
"settings.aboutSupport","About & support","Sobre e suporte","translated"
"settings.aboutSupportDescription","Help, contact, terms, and app information","Ajuda, contato, termos e informações do aplicativo","translated"
"settings.connectionsFeatures","Connections & features","Conexões e recursos","translated"
"settings.connectionsFeaturesDescription","Servers, integrations, privacy features, and advanced tools","Servidores, integrações, privacidade e ferramentas avançadas","translated"
"settings.contact","Contact Us","Fale conosco","translated"
"settings.language","Language","Idioma","translated"
"settings.languageDescription","Choose the wallet interface language","Escolha o idioma da interface da carteira","translated"
"settings.network","Network","Rede","translated"
"settings.recovery","Recovery Phrase","Frase de recuperação","translated"
"settings.terms","Terms of Use","Termos de uso","translated"
"settings.walletSecurity","Wallet & security","Carteira e segurança","translated"
"settings.walletSecurityDescription","Recovery, derivation path, app lock, and wallet controls","Recuperação, caminho de derivação, bloqueio e controles da carteira","translated"
"settingsAppLock.autoLockAfter","Auto-lock after","Bloquear automaticamente após","translated"
"settingsAppLock.biometricDescription","Use {label} to unlock instead of typing your password.","Use {label} para desbloquear sem digitar sua senha.","translated"
"settingsAppLock.biometricSetupFailed","Biometric setup failed: {message}","Falha na configuração biométrica: {message}","translated"
"settingsAppLock.biometricUnlock","Biometric unlock","Desbloqueio biométrico","translated"
"settingsAppLock.cancel","Cancel","Cancelar","translated"
"settingsAppLock.changePassword","Change Password","Alterar senha","translated"
"settingsAppLock.confirm","Confirm","Confirmar","translated"
"settingsAppLock.confirmNewPassword","Confirm new password","Confirmar nova senha","translated"
"settingsAppLock.currentPassword","Current password","Senha atual","translated"
"settingsAppLock.currentPasswordIncorrect","Current password is incorrect.","A senha atual está incorreta.","translated"
"settingsAppLock.disabled","Disabled","Desativado","translated"
"settingsAppLock.enabled","Enabled","Ativado","translated"
"settingsAppLock.enabling","Enabling…","Ativando…","translated"
"settingsAppLock.encryption","Encryption","Criptografia","translated"
"settingsAppLock.encryptionDescription","Your wallet is encrypted with a password-derived key (PBKDF2 · 600k iterations · AES-256-GCM). The key is never stored — it is derived in memory each time you unlock.","Sua carteira é criptografada com uma chave derivada da senha (PBKDF2 · 600 mil iterações · AES-256-GCM). A chave nunca é armazenada: ela é derivada na memória a cada desbloqueio.","translated"
"settingsAppLock.lockNow","Lock Now","Bloquear agora","translated"
"settingsAppLock.minute","1 minute","1 minuto","stable-term"
"settingsAppLock.minutes","{count} minutes","{count} minutos","stable-term"
"settingsAppLock.never","Never","Nunca","translated"
"settingsAppLock.newPassword","New password","Nova senha","translated"
"settingsAppLock.noWalletOpen","No wallet is open.","Nenhuma carteira aberta.","translated"
"settingsAppLock.passwordChanged","Password changed successfully.","Senha alterada com sucesso.","translated"
"settingsAppLock.passwordChangeFailed","Password change failed. Please try again.","Falha ao alterar a senha. Tente novamente.","translated"
"settingsAppLock.passwordMismatch","New passwords do not match.","As novas senhas não coincidem.","translated"
"settingsAppLock.updating","Updating…","Atualizando…","translated"
"settingsDerivation.activePath","Active BIP44 account path","Caminho de conta BIP44 ativo","translated"
"settingsDerivation.alreadyActive","This derivation path is already active.","Este caminho de derivação já está ativo.","translated"
"settingsDerivation.changeResync","Change and resync","Alterar e sincronizar novamente","translated"
"settingsDerivation.completed","Derivation path changed and wallet resync completed.","Caminho de derivação alterado e sincronização da carteira concluída.","translated"
"settingsDerivation.confirm","Changing the derivation path clears the current address, history, and UTXO records. The wallet will then regenerate and resync only the new path. Continue?","Alterar o caminho de derivação limpa os registros atuais de endereços, histórico e UTXOs. A carteira regenerará e sincronizará somente o novo caminho. Continuar?","translated"
"settingsDerivation.currentMode","Current mode: {mode}.","Modo atual: {mode}.","translated"
"settingsDerivation.custom","custom","personalizado","translated"
"settingsDerivation.description","OPTN supports one active BIP44 account path at a time. Reconfiguring it removes the old derived records and performs a fresh receive/change discovery and resync.","O OPTN aceita um caminho de conta BIP44 ativo por vez. Reconfigurá-lo remove os registros derivados antigos e faz uma nova descoberta e sincronização de recebimento e troco.","translated"
"settingsDerivation.failed","Wallet reconfiguration failed.","Falha na reconfiguração da carteira.","translated"
"settingsDerivation.invalidPath","Invalid derivation path.","Caminho de derivação inválido.","translated"
"settingsDerivation.networkDefault","network default","padrão da rede","translated"
"settingsDerivation.reconfiguring","Reconfiguring…","Reconfigurando…","translated"
"settingsDerivation.useDefault","Use network default","Usar padrão da rede","translated"
"settingsNetwork.active","Active","Ativa","translated"
"settingsNetwork.chipnet","Chipnet","Chipnet","stable-term"
"settingsNetwork.chipnetDescription","BCH testnet for upcoming CHIPs — test funds only","Rede de teste BCH para CHIPs futuros — somente fundos de teste","translated"
"settingsNetwork.comingSoon","Coming soon","Em breve","translated"
"settingsNetwork.description","Switching networks clears the active network records, derives the network path, and resynchronizes receive/change addresses. Custom paths are preserved across network changes.","Trocar de rede limpa os registros da rede ativa, deriva o caminho da rede e sincroniza novamente os endereços de recebimento e troco. Caminhos personalizados são preservados.","translated"
"settingsNetwork.mainnet","Mainnet","Mainnet","stable-term"
"settingsNetwork.mainnetDescription","Live BCH network — real funds","Rede BCH ativa — fundos reais","translated"
"settingsNetwork.regtest","Regtest","Regtest","stable-term"
"settingsNetwork.reload","Reload and resync current wallet","Recarregar e sincronizar a carteira","translated"
"settingsNetwork.reloading","Reloading wallet…","Recarregando a carteira…","translated"
"settingsNetwork.switching","Switching…","Trocando…","translated"
"settingsNetwork.testnet3","Testnet3","Testnet3","stable-term"
"settingsNetwork.testnet4","Testnet4","Testnet4","stable-term"
"settingsPanels.addons","Addons","Add-ons","translated"
"settingsPanels.appLock","App Lock","Bloqueio do app","translated"
"settingsPanels.cashfusion","CashFusion","CashFusion","stable-term"
"settingsPanels.console","Console","Console","stable-term"
"settingsPanels.contract","Contract Info","Informações do contrato","translated"
"settingsPanels.derivation","Derivation Path","Caminho de derivação","translated"
"settingsPanels.experimental","Experimental Features","Recursos experimentais","translated"
"settingsPanels.faucet","Chipnet Faucet","Faucet do Chipnet","stable-term"
"settingsPanels.nostr","Nostr & Chat","Nostr e chat","translated"
"settingsPanels.server","Server","Servidor","stable-term"
"settingsPanels.walletConnect","WalletConnect","WalletConnect","stable-term"
"settingsPanels.wizardConnect","WizardConnect","WizardConnect","stable-term"
"settingsRows.about","About OPTN","Sobre o OPTN","translated"
"settingsRows.aboutDescription","Version info","Informações da versão","translated"
"settingsRows.addons","Addons","Add-ons","translated"
"settingsRows.addonsDescription","Install and manage third-party addons","Instalar e gerenciar add-ons de terceiros","translated"
"settingsRows.appLock","App Lock","Bloqueio do app","translated"
"settingsRows.appLockDescription","Auto-lock · Change password","Bloqueio automático · Alterar senha","translated"
"settingsRows.console","Console","Console","stable-term"
"settingsRows.consoleDescription","App log · Electrum RPC","Log do app · Electrum RPC","translated"
"settingsRows.contact","Contact Us","Fale conosco","translated"
"settingsRows.contactDescription","Get help and support","Obter ajuda e suporte","translated"
"settingsRows.contractInfo","Contract Info","Informações de contratos","translated"
"settingsRows.contractInfoDescription","View contract details","Ver detalhes dos contratos","translated"
"settingsRows.derivation","Derivation Path","Caminho de derivação","translated"
"settingsRows.derivationDescription","Customize and resync the active BIP44 path","Personalizar e sincronizar novamente o caminho BIP44 ativo","translated"
"settingsRows.experimental","Experimental Features","Recursos experimentais","translated"
"settingsRows.experimentalDescription","RPA · CashFusion","RPA · CashFusion","stable-term"
"settingsRows.faucet","Chipnet Faucet","Faucet do Chipnet","stable-term"
"settingsRows.faucetDescription","Get test BCH on Chipnet","Obter BCH de teste no Chipnet","translated"
"settingsRows.language","Language","Idioma","translated"
"settingsRows.languageDescription","Choose the wallet interface language","Escolher o idioma da interface","translated"
"settingsRows.network","Network","Rede","translated"
"settingsRows.networkDescription","Switch between Mainnet and Chipnet","Alternar entre Mainnet e Chipnet","translated"
"settingsRows.nostr","Nostr & Chat","Nostr e chat","translated"
"settingsRows.nostrDescription","Private messages · Identity · Relay pool","Mensagens privadas · Identidade · Relays","translated"
"settingsRows.pendingOutbox","Pending Tx Locks","Bloqueios de transações pendentes","translated"
"settingsRows.pendingOutboxDescription","Review outgoing transaction locks","Revisar bloqueios de transações de saída","translated"
"settingsRows.recovery","Recovery Phrase","Frase de recuperação","translated"
"settingsRows.recoveryDescription","Back up your wallet","Fazer backup da carteira","translated"
"settingsRows.server","Servers","Servidores","translated"
"settingsRows.serverDescription","Electrum · Block explorer · Transaction fees","Electrum · Explorador de blocos · Taxas de transação","translated"
"settingsRows.terms","Terms of Use","Termos de uso","translated"
"settingsRows.termsDescription","Read our terms","Ler nossos termos","translated"
"settingsRows.walletConnect","WalletConnect","WalletConnect","stable-term"
"settingsRows.walletConnectDescription","Manage dApp connections","Gerenciar conexões dApp","translated"
"settingsRows.wizardConnect","WizardConnect","WizardConnect","stable-term"
"settingsRows.wizardConnectDescription","Connect to token wizards","Conectar a token wizards","translated"
"terms.acceptance","1. Acceptance of Terms","1. Aceitação dos termos","translated"
"terms.acceptanceText","By accessing and using the OPTN Wallet App (“the App”), you agree to comply with and be bound by these Terms of Use. If you do not agree, please do not use the App.","Ao acessar e usar o aplicativo OPTN Wallet (“o Aplicativo”), você concorda em cumprir estes Termos de Uso. Se não concordar, não use o Aplicativo.","translated"
"terms.deviceSecurity","Ensuring the security of your device and the App.","Garantir a segurança do seu dispositivo e do Aplicativo.","translated"
"terms.modifications","6. Modifications","6. Alterações","stable-term"
"terms.modificationsText","The developers may modify, suspend, or discontinue the App without prior notice and may update these Terms. You are responsible for reviewing them periodically.","Os desenvolvedores podem modificar, suspender ou descontinuar o Aplicativo sem aviso prévio e podem atualizar estes Termos. Você é responsável por revisá-los periodicamente.","translated"
"terms.noLiability","4. No Liability","4. Ausência de responsabilidade","translated"
"terms.noLiabilityText","The developers assume no liability for loss, damage, or unauthorized access arising from use of the App, including cryptocurrency loss, data breaches, or device malfunctions. You use the App at your own risk.","Os desenvolvedores não assumem responsabilidade por perda, dano ou acesso não autorizado decorrente do uso do Aplicativo, incluindo perda de criptomoedas, violações de dados ou falhas do dispositivo. Você usa o Aplicativo por sua conta e risco.","translated"
"terms.noWarranty","5. No Warranty","5. Ausência de garantia","translated"
"terms.noWarrantyText","The App is provided “as is” without express or implied warranties. The developers do not guarantee reliability, accuracy, completeness, error-free operation, or uninterrupted service.","O Aplicativo é fornecido “como está”, sem garantias expressas ou implícitas. Os desenvolvedores não garantem confiabilidade, precisão, integralidade, operação sem erros ou serviço ininterrupto.","translated"
"terms.purpose","2. Purpose","2. Finalidade","translated"
"terms.purposeText","The OPTN Wallet App lets users securely store, send, and receive cryptocurrency. You are responsible for the security of your private keys and assets.","O aplicativo OPTN Wallet permite armazenar, enviar e receber criptomoedas com segurança. Você é responsável pela segurança de suas chaves privadas e ativos.","translated"
"terms.responsibilities","3. User Responsibilities","3. Responsabilidades do usuário","translated"
"terms.responsibilitiesIntro","The OPTN Wallet App handles real cryptocurrency. You are solely responsible for:","O aplicativo OPTN Wallet lida com criptomoedas reais. Você é o único responsável por:","translated"
"terms.responsibilitiesText","The development team is not responsible for loss of assets or unauthorized access resulting from failure to follow these practices.","A equipe de desenvolvimento não se responsabiliza por perda de ativos ou acesso não autorizado resultante do descumprimento dessas práticas.","translated"
"terms.safeguard","Safeguarding your private keys and recovery phrases.","Proteger suas chaves privadas e frases de recuperação.","translated"
"terms.verify","Verifying transaction details before confirming any actions.","Verificar os detalhes das transações antes de confirmar qualquer ação.","translated"
"token.activeMinting","Active Minting","Emissão ativa","translated"
"token.authHead","Auth Head","Cabeça de autoridade","translated"
"token.bcmr","BCMR","BCMR","stable-term"
"token.bcmrUnavailable","BCMR metadata unavailable","Metadados BCMR indisponíveis","translated"
"token.category","Category","Categoria","translated"
"token.chainStatsError","Unable to load token chain statistics right now.","Não foi possível carregar as estatísticas da rede do token agora.","translated"
"token.decimals","Decimals","Casas decimais","translated"
"token.id","Token ID","ID do token","translated"
"token.loading","Loading token data…","Carregando dados do token…","translated"
"token.no","No","Não","translated"
"token.symbol","Symbol","Símbolo","translated"
"token.totalNfts","Total NFTs","Total de NFTs","translated"
"token.totalSupply","Total Supply","Oferta total","translated"
"token.unavailable","Unavailable","Indisponível","translated"
"token.yes","Yes","Sim","translated"
"tor.appRunsOwn","The app runs its own Tor — no Tor Browser needed","O app executa seu próprio Tor — não é necessário o Tor Browser","translated"
"tor.autoDetect","Auto-detect (9050 / 9150)","Detectar automaticamente (9050 / 9150)","translated"
"tor.bootstrapping","Bootstrapping Tor… {percent}%","Inicializando Tor… {percent}%","translated"
"tor.check","Check Tor","Verificar Tor","translated"
"tor.checking","Checking…","Verificando…","translated"
"tor.desktopOnly","Desktop only","Somente desktop","translated"
"tor.disable","Disable","Desativar","translated"
"tor.enable","Enable","Ativar","translated"
"tor.externalOption","Or use a Tor you run yourself:","Ou use um Tor executado por você:","translated"
"tor.foundOnPort","Tor found on port {port} ✓","Tor encontrado na porta {port} ✓","translated"
"tor.integrated","Integrated Tor","Tor integrado","translated"
"tor.manualPort","Manual port","Porta manual","translated"
"tor.noExternal","No external Tor found. Either press “Start integrated Tor” above (recommended), or start Tor Browser (9150) / a system Tor daemon (9050) and press “Check Tor”. Without Tor, remote CashFusion is blocked.","Nenhum Tor externo encontrado. Inicie o Tor integrado acima (recomendado) ou o Tor Browser (9150) / daemon Tor do sistema (9050) e pressione “Verificar Tor”. Sem Tor, o CashFusion remoto é bloqueado.","translated"
"tor.noProxy","No Tor proxy running ✗","Nenhum proxy Tor em execução ✗","translated"
"tor.remoteRequired","Required for remote CashFusion servers","Obrigatório para servidores CashFusion remotos","translated"
"tor.runningOn","Running on port {port} ✓","Executando na porta {port} ✓","translated"
"tor.starting","Starting…","Iniciando…","translated"
"tor.startIntegrated","Start integrated Tor","Iniciar Tor integrado","translated"
"tor.stop","Stop","Parar","translated"
"tor.title","Tor","Tor","stable-term"
"tor.usingManual","Using manual port {port}","Usando a porta manual {port}","translated"
"txDetails.bch","BCH","BCH","stable-term"
"txDetails.index","Index","Índice","stable-term"
"txDetails.locktime","Locktime","Tempo de bloqueio","translated"
"txDetails.txid","TXID","TXID","stable-term"
"txDetails.version","Version","Versão","stable-term"
"txSummary.bch","BCH","BCH","stable-term"
"txSummary.bchInput","bch input","entrada de BCH","translated"
"txSummary.bytes","bytes","bytes","stable-term"
"txSummary.fee","Fee","Taxa","translated"
"txSummary.feeRate","Fee rate","Taxa de taxa","translated"
"txSummary.inputs","Inputs","Entradas","translated"
"txSummary.outputs","Outputs","Saídas","translated"
"txSummary.sats","sats","sats","stable-term"
"txSummary.token","token","token","stable-term"
"txSummary.tokenInput","token input","entrada de token","translated"
"txSummary.txSize","Tx size","Tamanho da transação","translated"
"utxo.amount","Amount","Valor","translated"
"utxo.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"utxo.ft","FT","FT","stable-term"
"utxo.height","Height","Altura","translated"
"utxo.loading","Loading UTXOs…","Carregando UTXOs…","translated"
"utxo.name","Name","Nome","translated"
"utxo.nft","NFT","NFT","stable-term"
"utxo.none","No UTXOs to display.","Nenhum UTXO para exibir.","translated"
"utxo.pos","Pos","Posição","translated"
"utxo.tokens","tokens","tokens","stable-term"
"utxo.txHash","Tx Hash","Hash da transação","translated"
"walkthrough.label","Walkthrough","Passo a passo","translated"
"watchOnly.accountXpub","Account xPub","xPub da conta","translated"
"watchOnly.back","Back to wallets","Voltar às carteiras","translated"
"watchOnly.change","Change #{index}","Troco #{index}","translated"
"watchOnly.chipnet","Chipnet","Chipnet","stable-term"
"watchOnly.comingNext","Coming next","Em breve","translated"
"watchOnly.description","Inspect public BCH addresses without importing any private keys.","Inspecione endereços públicos BCH sem importar chaves privadas.","translated"
"watchOnly.mainnet","Mainnet","Mainnet","stable-term"
"watchOnly.multipleCosigners","Multiple cosigners","Vários signatários","translated"
"watchOnly.multisign","Multisign","Multissig","translated"
"watchOnly.network","Network","Rede","translated"
"watchOnly.pathNote","Confirm that SeedCash exported this account at m/44'/145'/account'. A standalone BIP32 xPub cannot prove its parent purpose or coin path.","Confirme que o SeedCash exportou esta conta em m/44’/145’/account’. Um xPub BIP32 independente não comprova seu propósito pai ou caminho da moeda.","translated"
"watchOnly.previewPublic","Preview public addresses","Visualizar endereços públicos","translated"
"watchOnly.previewTitle","Public address preview","Prévia de endereços públicos","translated"
"watchOnly.receive","Receive #{index}","Receber #{index}","translated"
"watchOnly.scanCamera","Scan (camera)","Escanear (câmera)","translated"
"watchOnly.standard","Standard","Padrão","stable-term"
"watchOnly.title","Watch-Only Wallet Preview","Prévia de carteira somente leitura","translated"
"watchOnly.type","Watch-only wallet type","Tipo de carteira somente leitura","translated"
"watchOnly.uploadQr","Upload QR","Enviar QR","translated"
"watchOnly.warning","Public preview only: this screen does not save a watch-only wallet or create, sign, import, or broadcast PSBT transactions yet.","Apenas prévia pública: esta tela ainda não salva uma carteira somente leitura nem cria, assina, importa ou transmite transações PSBT.","translated"
"watchOnly.xpubPlaceholder","Paste the xPub exported by SeedCash","Cole o xPub exportado pelo SeedCash","translated"
"wc.activeSessions","Active WalletConnect Sessions","Sessões ativas do WalletConnect","translated"
"wc.address","Address","Endereço","translated"
"wc.approvalFailedBody","Failed to approve the session request from {name}.","Não foi possível aprovar a solicitação de sessão de {name}.","translated"
"wc.approvalFailedTitle","WalletConnect approval failed","Falha ao aprovar o WalletConnect","translated"
"wc.approve","Approve","Aprovar","translated"
"wc.approvedBody","Connected to {name}.","Conectado a {name}.","translated"
"wc.approvedTitle","WalletConnect session approved","Sessão do WalletConnect aprovada","translated"
"wc.approveSession","Approve Session","Aprovar sessão","translated"
"wc.broadcast","Broadcast","Transmitir","translated"
"wc.broadcastLocked","Another outgoing transaction is still syncing. To avoid duplicates while you are offline, this wallet will only broadcast one unresolved transaction at a time.","Outra transação de saída ainda está sincronizando. Para evitar duplicatas enquanto você está offline, esta carteira transmite apenas uma transação não resolvida por vez.","translated"
"wc.cancel","Cancel","Cancelar","translated"
"wc.close","Close","Fechar","translated"
"wc.connect","Connect","Conectar","translated"
"wc.connectionUri","Connection URI","URI de conexão","translated"
"wc.dappName","DApp Name","Nome do dApp","translated"
"wc.disconnect","Disconnect","Desconectar","translated"
"wc.disconnectsOn","Disconnects On","Desconecta em","translated"
"wc.domain","Domain","Domínio","translated"
"wc.enterUri","Enter WalletConnect URI","Insira a URI do WalletConnect","translated"
"wc.estimatedFee","Estimated Fee","Taxa estimada","translated"
"wc.fungibleAmount","Fungible Amount","Quantidade fungível","translated"
"wc.index","Index","Índice","stable-term"
"wc.inputs","Inputs ({count})","Entradas ({count})","translated"
"wc.invalidLockingBytecode","Invalid locking bytecode","Bytecode de bloqueio inválido","translated"
"wc.invalidQr","Not a valid WalletConnect URI.","Não é uma URI válida do WalletConnect.","translated"
"wc.messageApprovedBody","Approved the WalletConnect message request.","Solicitação de mensagem do WalletConnect aprovada.","translated"
"wc.messageFailedBody","Failed to sign WalletConnect message request.","Não foi possível assinar a solicitação de mensagem do WalletConnect.","translated"
"wc.messageFailedTitle","WalletConnect message failed","Falha na mensagem do WalletConnect","translated"
"wc.messageRejectedBody","Rejected the WalletConnect message request.","A solicitação de mensagem do WalletConnect foi rejeitada.","translated"
