"key","English (en)","Russian (ru)","Status"
"send.recipientLoaded","Recipient loaded from QR.","Получатель загружен из QR.","translated"
"send.releaseToSend","Release to send","Разблокировать для отправки","translated"
"send.reset","Reset","Сбросить","translated"
"send.review","Review","Проверить","translated"
"send.reviewTitle","Review Transaction","Проверка транзакции","translated"
"send.sats","Sats","Sats","stable-term"
"send.scanQr","Scan QR","Сканировать QR","translated"
"send.selectCategory","Select category…","Выберите категорию…","translated"
"send.selectedInputs","Selected inputs","Выбранные входы","translated"
"send.send","Send","Отправить","translated"
"send.sending","Sending…","Отправка…","translated"
"send.sent","Transaction sent","Транзакция отправлена","translated"
"send.show","Show","Показать","translated"
"send.slideToConfirm","Slide to confirm","Сдвиньте для подтверждения","translated"
"send.submitted","Transaction submitted","Транзакция отправлена на обработку","translated"
"send.summary","Summary","Сводка","translated"
"send.switchToBch","Switch amount input to BCH","Вводить сумму в BCH","translated"
"send.switchToUsd","Switch amount input to USD","Вводить сумму в USD","translated"
"send.technicalDetails","Technical details","Технические детали","translated"
"send.title","Simple Send","Простая отправка","translated"
"send.to","To","Кому","translated"
"send.token","Token","Токен","stable-term"
"send.tokenAmount","Token amount","Количество токенов","translated"
"send.tokenCategory","Token category","Категория токена","translated"
"send.tokenChange","Token change","Сдача токенов","translated"
"send.tokenInputs","Token inputs","Входы токенов","translated"
"send.tokenLabel","Token","Токен","stable-term"
"send.totalBch","Total (BCH)","Итого (BCH)","stable-term"
"send.transactionSize","Transaction size","Размер транзакции","translated"
"send.transferMode","Transfer mode","Режим перевода","translated"
"send.type","Type","Тип","stable-term"
"send.unconfirmedInputs","Unconfirmed inputs","Неподтверждённые входы","translated"
"send.usdUnavailable","USD conversion is unavailable right now.","Конвертация в USD сейчас недоступна.","translated"
"send.verifyRecipient","QR scanned. Verify recipient before sending.","QR отсканирован. Проверьте получателя перед отправкой.","translated"
"send.verifySlide","Verify details and slide to send.","Проверьте детали и сдвиньте, чтобы отправить.","translated"
"send.waitingSync","Waiting for sync","Ожидание синхронизации","translated"
"send.waitPrevious","Wait for your previous outgoing transaction to sync first","Сначала дождитесь синхронизации предыдущей исходящей транзакции","translated"
"server.active","● active","● активен","translated"
"server.add","Add","Добавить","translated"
"server.addDesktopPlaceholder","Add server — Fulcrum host:50002, or a node host:8333","Добавить сервер — Fulcrum host:50002 или узел host:8333","translated"
"server.addMobilePlaceholder","Add WSS server — host:50004","Добавить WSS-сервер — host:50004","translated"
"server.addressUrlPlaceholder","Address URL, e.g. https://example.com/address/{address}","URL адреса, например https://example.com/address/{address}","translated"
"server.auto","Auto","Авто","translated"
"server.autoBackend","Auto — server pool, with failover","Автоматически — пул серверов с переключением","translated"
"server.automatic","Automatic","Автоматически","translated"
"server.backend","Backend","Бэкенд","stable-term"
"server.blockExplorer","Block explorer","Обозреватель блоков","translated"
"server.connect","Connect","Подключить","translated"
"server.connected","Connected.","Подключено.","translated"
"server.connectedServer","Connected server","Подключённый сервер","translated"
"server.connecting","Connecting…","Подключение…","translated"
"server.connectionFailed","Connection failed","Ошибка подключения","translated"
"server.connectTitle","Connect to this server","Подключиться к этому серверу","translated"
"server.custom","Custom…","Пользовательский…","translated"
"server.customFee","Custom","Пользовательская","translated"
"server.defaultPortHint","Default port: 50004 (WSS). Use wss:// prefix to force WSS, or ws:// for unencrypted.","Порт по умолчанию: 50004 (WSS). Используйте префикс wss:// для WSS или ws:// для незашифрованного соединения.","translated"
"server.explorerDescription","Used for “open in explorer” links on transactions.","Используется для ссылок «открыть в обозревателе» у транзакций.","translated"
"server.feeDescription","Fee rate for new transactions. Automatic uses the network minimum (~1 sat/byte, Electron Cash default).","Ставка для новых транзакций. Авто использует минимум сети (~1 sat/byte, значение Electron Cash по умолчанию).","translated"
"server.feeUnit","sat/byte — applies to your next transaction","sat/byte — для следующей транзакции","translated"
"server.invalidHost","Enter a valid host:port (e.g. 192.168.0.129:50002).","Введите корректный host:port (например, 192.168.0.129:50002).","translated"
"server.manual","Manual","Вручную","stable-term"
"server.node","Node","Узел","stable-term"
"server.notConnected","Not connected","Не подключено","translated"
"server.onlyBackend","Only this backend is used — pinning a node means Electrum servers aren't consulted.","Используется только этот бэкенд — при фиксации узла серверы Electrum не запрашиваются.","translated"
"server.placeholderHelp","Use {txid} and {address} as placeholders.","Используйте {txid} и {address} как заполнители.","translated"
"server.pool","{network} server pool","Пул серверов {network}","translated"
"server.rawNodeMobileError","Raw BCH node connections are only available on desktop. Add an Electrum/Fulcrum WSS server instead.","Прямые подключения к BCH-узлам доступны только на компьютере. Добавьте сервер Electrum/Fulcrum WSS.","translated"
"server.remove","Remove","Удалить","translated"
"server.saveCustom","Save custom explorer","Сохранить пользовательский обозреватель","translated"
"server.server","Server","Сервер","translated"
"server.serverInputPlaceholder","host, host:50004, or wss://host:50004","host, host:50004 или wss://host:50004","translated"
"server.transactionFee","Transaction fee","Комиссия транзакции","translated"
"server.trustless","trustless","без доверия","translated"
"server.txUrlPlaceholder","Tx URL, e.g. https://example.com/tx/{txid}","URL транзакции, например https://example.com/tx/{txid}","translated"
"server.useAuto","Use Auto","Использовать авто","translated"
"settings.about","About OPTN","Об OPTN","translated"
"settings.aboutSupport","About & support","О приложении и поддержка","translated"
"settings.aboutSupportDescription","Help, contact, terms, and app information","Помощь, контакты, условия и сведения о приложении","translated"
"settings.connectionsFeatures","Connections & features","Подключения и функции","translated"
"settings.connectionsFeaturesDescription","Servers, integrations, privacy features, and advanced tools","Серверы, интеграции, конфиденциальность и расширенные инструменты","translated"
"settings.contact","Contact Us","Контакты","translated"
"settings.language","Language","Язык","translated"
"settings.languageDescription","Choose the wallet interface language","Выберите язык интерфейса кошелька","translated"
"settings.network","Network","Сеть","translated"
"settings.recovery","Recovery Phrase","Фраза восстановления","translated"
"settings.terms","Terms of Use","Условия использования","translated"
"settings.walletSecurity","Wallet & security","Кошелёк и безопасность","translated"
"settings.walletSecurityDescription","Recovery, derivation path, app lock, and wallet controls","Восстановление, путь деривации, блокировка приложения и управление кошельком","translated"
"settingsAppLock.autoLockAfter","Auto-lock after","Автоблокировка через","translated"
"settingsAppLock.biometricDescription","Use {label} to unlock instead of typing your password.","Используйте {label}, чтобы разблокировать кошелёк без ввода пароля.","translated"
"settingsAppLock.biometricSetupFailed","Biometric setup failed: {message}","Не удалось настроить биометрию: {message}","translated"
"settingsAppLock.biometricUnlock","Biometric unlock","Биометрическая разблокировка","translated"
"settingsAppLock.cancel","Cancel","Отмена","translated"
"settingsAppLock.changePassword","Change Password","Изменить пароль","translated"
"settingsAppLock.confirm","Confirm","Подтвердить","translated"
"settingsAppLock.confirmNewPassword","Confirm new password","Подтвердите новый пароль","translated"
"settingsAppLock.currentPassword","Current password","Текущий пароль","translated"
"settingsAppLock.currentPasswordIncorrect","Current password is incorrect.","Текущий пароль неверен.","translated"
"settingsAppLock.disabled","Disabled","Отключено","translated"
"settingsAppLock.enabled","Enabled","Включено","translated"
"settingsAppLock.enabling","Enabling…","Включение…","translated"
"settingsAppLock.encryption","Encryption","Шифрование","translated"
"settingsAppLock.encryptionDescription","Your wallet is encrypted with a password-derived key (PBKDF2 · 600k iterations · AES-256-GCM). The key is never stored — it is derived in memory each time you unlock.","Ваш кошелёк зашифрован ключом, производным от пароля (PBKDF2 · 600 000 итераций · AES-256-GCM). Ключ не хранится и создаётся в памяти при каждом разблокировании.","translated"
"settingsAppLock.lockNow","Lock Now","Заблокировать сейчас","translated"
"settingsAppLock.minute","1 minute","1 минута","stable-term"
"settingsAppLock.minutes","{count} minutes","{count} минут","stable-term"
"settingsAppLock.never","Never","Никогда","translated"
"settingsAppLock.newPassword","New password","Новый пароль","translated"
"settingsAppLock.noWalletOpen","No wallet is open.","Кошелёк не открыт.","translated"
"settingsAppLock.passwordChanged","Password changed successfully.","Пароль успешно изменён.","translated"
"settingsAppLock.passwordChangeFailed","Password change failed. Please try again.","Не удалось изменить пароль. Повторите попытку.","translated"
"settingsAppLock.passwordMismatch","New passwords do not match.","Новые пароли не совпадают.","translated"
"settingsAppLock.updating","Updating…","Обновление…","translated"
"settingsDerivation.activePath","Active BIP44 account path","Активный путь аккаунта BIP44","translated"
"settingsDerivation.alreadyActive","This derivation path is already active.","Этот путь деривации уже активен.","translated"
"settingsDerivation.changeResync","Change and resync","Изменить и синхронизировать","translated"
"settingsDerivation.completed","Derivation path changed and wallet resync completed.","Путь изменён, синхронизация кошелька завершена.","translated"
"settingsDerivation.confirm","Changing the derivation path clears the current address, history, and UTXO records. The wallet will then regenerate and resync only the new path. Continue?","Изменение пути очистит текущие адреса, историю и UTXO. Кошелёк создаст и синхронизирует только новый путь. Продолжить?","translated"
"settingsDerivation.currentMode","Current mode: {mode}.","Текущий режим: {mode}.","translated"
"settingsDerivation.custom","custom","пользовательский","translated"
"settingsDerivation.description","OPTN supports one active BIP44 account path at a time. Reconfiguring it removes the old derived records and performs a fresh receive/change discovery and resync.","OPTN поддерживает один активный путь аккаунта BIP44. Перенастройка удаляет старые записи деривации и заново выполняет поиск и синхронизацию адресов получения и сдачи.","translated"
"settingsDerivation.failed","Wallet reconfiguration failed.","Не удалось перенастроить кошелёк.","translated"
"settingsDerivation.invalidPath","Invalid derivation path.","Недействительный путь деривации.","translated"
"settingsDerivation.networkDefault","network default","сеть по умолчанию","translated"
"settingsDerivation.reconfiguring","Reconfiguring…","Перенастройка…","translated"
"settingsDerivation.useDefault","Use network default","Использовать сеть по умолчанию","translated"
"settingsNetwork.active","Active","Активна","translated"
"settingsNetwork.chipnet","Chipnet","Chipnet","stable-term"
"settingsNetwork.chipnetDescription","BCH testnet for upcoming CHIPs — test funds only","Тестовая сеть BCH для будущих CHIPs — только тестовые средства","translated"
"settingsNetwork.comingSoon","Coming soon","Скоро","translated"
"settingsNetwork.description","Switching networks clears the active network records, derives the network path, and resynchronizes receive/change addresses. Custom paths are preserved across network changes.","Смена сети очищает записи активной сети, выводит путь сети и повторно синхронизирует адреса получения и сдачи. Пользовательские пути сохраняются.","translated"
"settingsNetwork.mainnet","Mainnet","Mainnet","stable-term"
"settingsNetwork.mainnetDescription","Live BCH network — real funds","Рабочая сеть BCH — реальные средства","translated"
"settingsNetwork.regtest","Regtest","Regtest","stable-term"
"settingsNetwork.reload","Reload and resync current wallet","Перезагрузить и синхронизировать кошелёк","translated"
"settingsNetwork.reloading","Reloading wallet…","Перезагрузка кошелька…","translated"
"settingsNetwork.switching","Switching…","Переключение…","translated"
"settingsNetwork.testnet3","Testnet3","Testnet3","stable-term"
"settingsNetwork.testnet4","Testnet4","Testnet4","stable-term"
"settingsPanels.addons","Addons","Дополнения","translated"
"settingsPanels.appLock","App Lock","Блокировка приложения","translated"
"settingsPanels.cashfusion","CashFusion","CashFusion","stable-term"
"settingsPanels.console","Console","Консоль","stable-term"
"settingsPanels.contract","Contract Info","Сведения о контракте","translated"
"settingsPanels.derivation","Derivation Path","Путь деривации","translated"
"settingsPanels.experimental","Experimental Features","Экспериментальные функции","translated"
"settingsPanels.faucet","Chipnet Faucet","Faucet Chipnet","stable-term"
"settingsPanels.nostr","Nostr & Chat","Nostr и чат","translated"
"settingsPanels.server","Server","Сервер","stable-term"
"settingsPanels.walletConnect","WalletConnect","WalletConnect","stable-term"
"settingsPanels.wizardConnect","WizardConnect","WizardConnect","stable-term"
"settingsRows.about","About OPTN","Об OPTN","translated"
"settingsRows.aboutDescription","Version info","Сведения о версии","translated"
"settingsRows.addons","Addons","Дополнения","translated"
"settingsRows.addonsDescription","Install and manage third-party addons","Устанавливать дополнения сторонних разработчиков","translated"
"settingsRows.appLock","App Lock","Блокировка приложения","translated"
"settingsRows.appLockDescription","Auto-lock · Change password","Автоблокировка · Изменить пароль","translated"
"settingsRows.console","Console","Консоль","stable-term"
"settingsRows.consoleDescription","App log · Electrum RPC","Журнал приложения · Electrum RPC","translated"
"settingsRows.contact","Contact Us","Связаться с нами","translated"
"settingsRows.contactDescription","Get help and support","Получить помощь и поддержку","translated"
"settingsRows.contractInfo","Contract Info","Сведения о контрактах","translated"
"settingsRows.contractInfoDescription","View contract details","Просмотреть сведения о контракте","translated"
"settingsRows.derivation","Derivation Path","Путь деривации","translated"
"settingsRows.derivationDescription","Customize and resync the active BIP44 path","Настроить и повторно синхронизировать активный путь BIP44","translated"
"settingsRows.experimental","Experimental Features","Экспериментальные функции","translated"
"settingsRows.experimentalDescription","RPA · CashFusion","RPA · CashFusion","stable-term"
"settingsRows.faucet","Chipnet Faucet","Фаусет Chipnet","stable-term"
"settingsRows.faucetDescription","Get test BCH on Chipnet","Получить тестовые BCH в Chipnet","translated"
"settingsRows.language","Language","Язык","translated"
"settingsRows.languageDescription","Choose the wallet interface language","Выбрать язык интерфейса кошелька","translated"
"settingsRows.network","Network","Сеть","translated"
"settingsRows.networkDescription","Switch between Mainnet and Chipnet","Переключаться между Mainnet и Chipnet","translated"
"settingsRows.nostr","Nostr & Chat","Nostr и чат","translated"
"settingsRows.nostrDescription","Private messages · Identity · Relay pool","Личные сообщения · Идентичность · Ретрансляторы","translated"
"settingsRows.pendingOutbox","Pending Tx Locks","Блокировки ожидающих транзакций","translated"
"settingsRows.pendingOutboxDescription","Review outgoing transaction locks","Проверить блокировки исходящих транзакций","translated"
"settingsRows.recovery","Recovery Phrase","Фраза восстановления","translated"
"settingsRows.recoveryDescription","Back up your wallet","Создать резервную копию кошелька","translated"
"settingsRows.server","Servers","Серверы","translated"
"settingsRows.serverDescription","Electrum · Block explorer · Transaction fees","Electrum · Обозреватель блоков · Комиссии транзакций","translated"
"settingsRows.terms","Terms of Use","Условия использования","translated"
"settingsRows.termsDescription","Read our terms","Прочитать наши условия","translated"
"settingsRows.walletConnect","WalletConnect","WalletConnect","stable-term"
"settingsRows.walletConnectDescription","Manage dApp connections","Управлять подключениями dApp","translated"
"settingsRows.wizardConnect","WizardConnect","WizardConnect","stable-term"
"settingsRows.wizardConnectDescription","Connect to token wizards","Подключаться к token wizard","translated"
"terms.acceptance","1. Acceptance of Terms","1. Принятие условий","translated"
"terms.acceptanceText","By accessing and using the OPTN Wallet App (“the App”), you agree to comply with and be bound by these Terms of Use. If you do not agree, please do not use the App.","Получая доступ к приложению OPTN Wallet («Приложение») и используя его, вы соглашаетесь соблюдать настоящие условия использования. Если вы не согласны, не используйте Приложение.","translated"
"terms.deviceSecurity","Ensuring the security of your device and the App.","Безопасность устройства и Приложения.","translated"
"terms.modifications","6. Modifications","6. Изменения","stable-term"
"terms.modificationsText","The developers may modify, suspend, or discontinue the App without prior notice and may update these Terms. You are responsible for reviewing them periodically.","Разработчики могут без предварительного уведомления изменять, приостанавливать или прекращать работу Приложения и обновлять эти условия. Вы должны периодически их проверять.","translated"
"terms.noLiability","4. No Liability","4. Отсутствие ответственности","translated"
"terms.noLiabilityText","The developers assume no liability for loss, damage, or unauthorized access arising from use of the App, including cryptocurrency loss, data breaches, or device malfunctions. You use the App at your own risk.","Разработчики не отвечают за потери, ущерб или несанкционированный доступ, связанные с использованием Приложения, включая потерю криптовалюты, утечки данных и неисправности устройства. Вы используете его на свой риск.","translated"
"terms.noWarranty","5. No Warranty","5. Отсутствие гарантии","translated"
"terms.noWarrantyText","The App is provided “as is” without express or implied warranties. The developers do not guarantee reliability, accuracy, completeness, error-free operation, or uninterrupted service.","Приложение предоставляется «как есть» без явных или подразумеваемых гарантий. Разработчики не гарантируют надёжность, точность, полноту, работу без ошибок или бесперебойность сервиса.","translated"
"terms.purpose","2. Purpose","2. Назначение","translated"
"terms.purposeText","The OPTN Wallet App lets users securely store, send, and receive cryptocurrency. You are responsible for the security of your private keys and assets.","OPTN Wallet позволяет безопасно хранить, отправлять и получать криптовалюту. Вы отвечаете за безопасность своих закрытых ключей и активов.","translated"
"terms.responsibilities","3. User Responsibilities","3. Обязанности пользователя","translated"
"terms.responsibilitiesIntro","The OPTN Wallet App handles real cryptocurrency. You are solely responsible for:","OPTN Wallet работает с реальной криптовалютой. Вы полностью отвечаете за:","translated"
"terms.responsibilitiesText","The development team is not responsible for loss of assets or unauthorized access resulting from failure to follow these practices.","Команда разработки не отвечает за потерю активов или несанкционированный доступ из-за несоблюдения этих правил.","translated"
"terms.safeguard","Safeguarding your private keys and recovery phrases.","Защиту закрытых ключей и фраз восстановления.","translated"
"terms.verify","Verifying transaction details before confirming any actions.","Проверку данных транзакции перед подтверждением действий.","translated"
"token.activeMinting","Active Minting","Активная эмиссия","translated"
"token.authHead","Auth Head","Голова авторизации","translated"
"token.bcmr","BCMR","BCMR","stable-term"
"token.bcmrUnavailable","BCMR metadata unavailable","Метаданные BCMR недоступны","translated"
"token.category","Category","Категория","translated"
"token.chainStatsError","Unable to load token chain statistics right now.","Не удалось загрузить статистику токена в сети.","translated"
"token.decimals","Decimals","Десятичные знаки","translated"
"token.id","Token ID","ID токена","translated"
"token.loading","Loading token data…","Загрузка данных токена…","translated"
"token.no","No","Нет","translated"
"token.symbol","Symbol","Символ","translated"
"token.totalNfts","Total NFTs","Всего NFT","translated"
"token.totalSupply","Total Supply","Общее предложение","translated"
"token.unavailable","Unavailable","Недоступно","translated"
"token.yes","Yes","Да","translated"
"tor.appRunsOwn","The app runs its own Tor — no Tor Browser needed","Приложение запускает собственный Tor — Tor Browser не нужен","translated"
"tor.autoDetect","Auto-detect (9050 / 9150)","Автоопределение (9050 / 9150)","translated"
"tor.bootstrapping","Bootstrapping Tor… {percent}%","Запуск Tor… {percent}%","translated"
"tor.check","Check Tor","Проверить Tor","translated"
"tor.checking","Checking…","Проверка…","translated"
"tor.desktopOnly","Desktop only","Только на компьютере","translated"
"tor.disable","Disable","Отключить","translated"
"tor.enable","Enable","Включить","translated"
"tor.externalOption","Or use a Tor you run yourself:","Или используйте самостоятельно запущенный Tor:","translated"
"tor.foundOnPort","Tor found on port {port} ✓","Tor найден на порту {port} ✓","translated"
"tor.integrated","Integrated Tor","Встроенный Tor","translated"
"tor.manualPort","Manual port","Порт вручную","translated"
"tor.noExternal","No external Tor found. Either press “Start integrated Tor” above (recommended), or start Tor Browser (9150) / a system Tor daemon (9050) and press “Check Tor”. Without Tor, remote CashFusion is blocked.","Внешний Tor не найден. Запустите встроенный Tor выше (рекомендуется) или Tor Browser (9150) / системный daemon Tor (9050), затем нажмите «Проверить Tor». Без Tor удалённый CashFusion заблокирован.","translated"
"tor.noProxy","No Tor proxy running ✗","Запущенный прокси Tor не найден ✗","translated"
"tor.remoteRequired","Required for remote CashFusion servers","Требуется для удалённых серверов CashFusion","translated"
"tor.runningOn","Running on port {port} ✓","Работает на порту {port} ✓","translated"
"tor.starting","Starting…","Запуск…","translated"
"tor.startIntegrated","Start integrated Tor","Запустить встроенный Tor","translated"
"tor.stop","Stop","Остановить","translated"
"tor.title","Tor","Tor","stable-term"
"tor.usingManual","Using manual port {port}","Используется порт {port}","translated"
"txDetails.bch","BCH","BCH","stable-term"
"txDetails.index","Index","Индекс","stable-term"
"txDetails.locktime","Locktime","Время блокировки","translated"
"txDetails.txid","TXID","TXID","stable-term"
"txDetails.version","Version","Версия","stable-term"
"txSummary.bch","BCH","BCH","stable-term"
"txSummary.bchInput","bch input","вход BCH","translated"
"txSummary.bytes","bytes","байт","stable-term"
"txSummary.fee","Fee","Комиссия","translated"
"txSummary.feeRate","Fee rate","Ставка комиссии","translated"
"txSummary.inputs","Inputs","Входы","translated"
"txSummary.outputs","Outputs","Выходы","translated"
"txSummary.sats","sats","sats","stable-term"
"txSummary.token","token","токен","stable-term"
"txSummary.tokenInput","token input","вход токена","translated"
"txSummary.txSize","Tx size","Размер транзакции","translated"
"utxo.amount","Amount","Сумма","translated"
"utxo.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"utxo.ft","FT","FT","stable-term"
"utxo.height","Height","Высота","translated"
"utxo.loading","Loading UTXOs…","Загрузка UTXO…","translated"
"utxo.name","Name","Название","translated"
"utxo.nft","NFT","NFT","stable-term"
"utxo.none","No UTXOs to display.","Нет UTXO для отображения.","translated"
"utxo.pos","Pos","Позиция","translated"
"utxo.tokens","tokens","токенов","stable-term"
"utxo.txHash","Tx Hash","Хеш транзакции","translated"
"walkthrough.label","Walkthrough","Пошаговое руководство","translated"
"watchOnly.accountXpub","Account xPub","xPub аккаунта","translated"
"watchOnly.back","Back to wallets","Назад к кошелькам","translated"
"watchOnly.change","Change #{index}","Сдача #{index}","translated"
"watchOnly.chipnet","Chipnet","Chipnet","stable-term"
"watchOnly.comingNext","Coming next","Скоро","translated"
"watchOnly.description","Inspect public BCH addresses without importing any private keys.","Просматривайте публичные BCH-адреса без импорта закрытых ключей.","translated"
"watchOnly.mainnet","Mainnet","Mainnet","stable-term"
"watchOnly.multipleCosigners","Multiple cosigners","Несколько соавторов подписи","translated"
"watchOnly.multisign","Multisign","Мультиподпись","translated"
"watchOnly.network","Network","Сеть","translated"
"watchOnly.pathNote","Confirm that SeedCash exported this account at m/44'/145'/account'. A standalone BIP32 xPub cannot prove its parent purpose or coin path.","Убедитесь, что SeedCash экспортировал этот аккаунт в m/44’/145’/account’. Отдельный BIP32 xPub не подтверждает родительское назначение или путь coin.","translated"
"watchOnly.previewPublic","Preview public addresses","Предпросмотр публичных адресов","translated"
"watchOnly.previewTitle","Public address preview","Предпросмотр публичных адресов","translated"
"watchOnly.receive","Receive #{index}","Получение #{index}","translated"
"watchOnly.scanCamera","Scan (camera)","Сканировать (камера)","translated"
"watchOnly.standard","Standard","Стандартный","stable-term"
"watchOnly.title","Watch-Only Wallet Preview","Предпросмотр кошелька только для просмотра","translated"
"watchOnly.type","Watch-only wallet type","Тип кошелька только для просмотра","translated"
"watchOnly.uploadQr","Upload QR","Загрузить QR","translated"
"watchOnly.warning","Public preview only: this screen does not save a watch-only wallet or create, sign, import, or broadcast PSBT transactions yet.","Только публичный просмотр: этот экран пока не сохраняет кошелёк, не создаёт, не подписывает, не импортирует и не транслирует транзакции PSBT.","translated"
"watchOnly.xpubPlaceholder","Paste the xPub exported by SeedCash","Вставьте xPub, экспортированный SeedCash","translated"
"wc.activeSessions","Active WalletConnect Sessions","Активные сессии WalletConnect","translated"
"wc.address","Address","Адрес","translated"
"wc.approvalFailedBody","Failed to approve the session request from {name}.","Не удалось одобрить запрос сессии от {name}.","translated"
"wc.approvalFailedTitle","WalletConnect approval failed","Не удалось одобрить WalletConnect","translated"
"wc.approve","Approve","Одобрить","translated"
"wc.approvedBody","Connected to {name}.","Подключено к {name}.","translated"
"wc.approvedTitle","WalletConnect session approved","Сессия WalletConnect одобрена","translated"
"wc.approveSession","Approve Session","Одобрить сессию","translated"
"wc.broadcast","Broadcast","Транслировать","translated"
"wc.broadcastLocked","Another outgoing transaction is still syncing. To avoid duplicates while you are offline, this wallet will only broadcast one unresolved transaction at a time.","Другая исходящая транзакция ещё синхронизируется. Чтобы избежать дубликатов офлайн, кошелёк транслирует только одну нерешённую транзакцию за раз.","translated"
"wc.cancel","Cancel","Отмена","translated"
"wc.close","Close","Закрыть","translated"
"wc.connect","Connect","Подключить","translated"
"wc.connectionUri","Connection URI","URI подключения","translated"
"wc.dappName","DApp Name","Имя dApp","translated"
"wc.disconnect","Disconnect","Отключить","translated"
"wc.disconnectsOn","Disconnects On","Отключение","translated"
"wc.domain","Domain","Домен","translated"
"wc.enterUri","Enter WalletConnect URI","Введите URI WalletConnect","translated"
"wc.estimatedFee","Estimated Fee","Расчётная комиссия","translated"
"wc.fungibleAmount","Fungible Amount","Количество взаимозаменяемых токенов","translated"
"wc.index","Index","Индекс","stable-term"
"wc.inputs","Inputs ({count})","Входы ({count})","translated"
"wc.invalidLockingBytecode","Invalid locking bytecode","Недействительный запирающий байткод","translated"
"wc.invalidQr","Not a valid WalletConnect URI.","Это недействительный URI WalletConnect.","translated"
"wc.messageApprovedBody","Approved the WalletConnect message request.","Запрос сообщения WalletConnect одобрен.","translated"
"wc.messageFailedBody","Failed to sign WalletConnect message request.","Не удалось подписать запрос сообщения WalletConnect.","translated"
"wc.messageFailedTitle","WalletConnect message failed","Ошибка сообщения WalletConnect","translated"
"wc.messageRejectedBody","Rejected the WalletConnect message request.","Запрос сообщения WalletConnect отклонён.","translated"
"wc.messageRejectedTitle","WalletConnect message rejected","Сообщение WalletConnect отклонено","translated"
"wc.messageRejectFailedBody","Failed to reject WalletConnect message request.","Не удалось отклонить запрос сообщения WalletConnect.","translated"
"wc.messageSignedBody","Approved request from {name}.","Запрос от {name} одобрен.","translated"
"wc.messageSignedTitle","WalletConnect message signed","Сообщение WalletConnect подписано","translated"
"wc.messageToSign","Message to Sign","Сообщение для подписи","translated"
"wc.nftCapability","NFT Capability","Возможность NFT","translated"
"wc.nftCommitment","NFT Commitment","Коммитмент NFT","translated"
"wc.no","No","Нет","translated"
"wc.noActiveSessions","No active WalletConnect sessions yet.","Активных сессий WalletConnect пока нет.","translated"
"wc.noQr","No QR code detected. Try again.","QR-код не обнаружен. Повторите попытку.","translated"
"wc.noSessions","No active sessions.","Активных сессий нет.","translated"
"wc.opReturnOutput","OP_RETURN Output","Выход OP_RETURN","translated"
"wc.outputs","Outputs ({count})","Выходы ({count})","translated"
"wc.pairingStarted","WalletConnect pairing started.","Сопряжение WalletConnect начато.","translated"
"wc.pairingSuccessful","WalletConnect pairing successful via QR.","Сопряжение WalletConnect через QR выполнено.","translated"
"wc.prompt","Prompt","Запрос","translated"
"wc.reject","Reject","Отклонить","translated"
"wc.rejectedBody","Rejected the session request from {name}.","Запрос сессии от {name} отклонён.","translated"
"wc.rejectedTitle","WalletConnect session rejected","Сессия WalletConnect отклонена","translated"
"wc.rejectionFailedBody","Failed to reject the session request from {name}.","Не удалось отклонить запрос сессии от {name}.","translated"
"wc.rejectionFailedTitle","WalletConnect rejection failed","Не удалось отклонить WalletConnect","translated"
"wc.rejectionSentBody","Sent the rejection response to the dApp.","Ответ об отклонении отправлен dApp.","translated"
"wc.rejectionStaleBody","The dApp disconnected before the rejection response could be delivered.","dApp отключился до доставки ответа об отклонении.","translated"
"wc.requestExpiredBody","The dApp request expired before it could be completed.","Запрос dApp истёк до завершения.","translated"
"wc.requestExpiredTitle","WalletConnect request expired","Запрос WalletConnect истёк","translated"
"wc.scanFailed","WalletConnect scan failed.","Не удалось сканировать WalletConnect.","translated"
"wc.scanQr","Scan QR","Сканировать QR","translated"
"wc.sessionDisconnectedBody","A WalletConnect session was disconnected remotely.","Сессия WalletConnect была отключена удалённо.","translated"
"wc.sessionDisconnectedFrom","Disconnected from {name}.","Отключено от {name}.","translated"
"wc.sessionDisconnectedTitle","WalletConnect session disconnected","Сессия WalletConnect отключена","translated"
"wc.sessionRequestExpiredBody","The WalletConnect session request timed out before approval.","Запрос сессии WalletConnect истёк до одобрения.","translated"
"wc.sessionRequestExpiredTitle","WalletConnect session request expired","Запрос сессии WalletConnect истёк","translated"
"wc.sessionRequestFrom","Session request from {name}.","Запрос сессии от {name}.","translated"
"wc.sessionRequestGeneric","A dApp requested a WalletConnect session.","dApp запросил сессию WalletConnect.","translated"
"wc.sessionRequestTitle","WalletConnect session request","Запрос сессии WalletConnect","translated"
"wc.settings","Settings","Настройки","translated"
"wc.sign","Sign","Подписать","translated"
"wc.signMessageRequest","Sign Message Request","Запрос на подпись сообщения","translated"
"wc.signTransactionRequest","Sign Transaction Request","Запрос на подпись транзакции","translated"
"wc.tokenCategory","Token Category","Категория токена","translated"
"wc.totalInput","Total Input","Всего входов","translated"
"wc.totalOutput","Total Output","Всего выходов","translated"
"wc.transactionApprovedTitle","WalletConnect transaction approved","Транзакция WalletConnect одобрена","translated"
"wc.transactionFailedBody","Failed to sign WalletConnect transaction request: {message}","Не удалось подписать запрос транзакции WalletConnect: {message}","translated"
"wc.transactionFailedTitle","WalletConnect transaction failed","Ошибка транзакции WalletConnect","translated"
