"key","English (en)","Hausa (Nigeria) (ha-NG)","Status"
"qrSigning.requestReceived","Request received","An karɓi buƙata","translated"
"qrSigning.requestSignature","Request signature","Nemi sa hannu","translated"
"qrSigning.scanAnother","Scan another request","Duba wata buƙata","translated"
"qrSigning.scanApproval","Scan approval response","Duba amsar amincewa","translated"
"qrSigning.scanRequest","1. Scan request","1. Duba buƙata","translated"
"qrSigning.showRequest","1. Show request","1. Nuna buƙata","translated"
"qrSigning.showRequestHelp","On the other wallet, choose “Sign request” and scan this stream.","A ɗayan wallet, zaɓi “Sa hannu kan buƙata” sannan ka duba wannan rafin.","translated"
"qrSigning.signRequest","Sign request","Sa hannu kan buƙata","translated"
"qrSigning.subtitle","Exchange a partially signed transaction between two OPTN wallet screens.","Musanya ciniki da aka sa hannu a wani ɓangare tsakanin allon OPTN Wallet biyu.","translated"
"qrSigning.title","QR signing demo","Gwajin sa hannun QR","translated"
"quantumroot.activeNetwork","Quantumroot is active on this network. Use the vault workspace below to manage a normal spend lane and a quantum-safe recovery lane.","Quantumroot yana aiki a wannan hanyar sadarwa. Yi amfani da wurin aiki da ke ƙasa don sarrafa hanyar kashe kuɗi ta yau da kullum da hanyar dawo da kuɗi mai jure quantum.","translated"
"quantumroot.activeWorkspace","Active workspace for the beta-production Quantumroot flow.","Wurin aiki mai aiki don tsarin Quantumroot na beta production.","translated"
"quantumroot.back","Back","Koma","translated"
"quantumroot.betaProduction","Beta production","Beta production","needs-review"
"quantumroot.betaTitle","Quantumroot Beta Production","Quantumroot Beta Production","needs-review"
"quantumroot.checkingBalances","Checking balances…","Ana duba ma’auni…","translated"
"quantumroot.close","Close","Rufe","translated"
"quantumroot.funded","{count} funded","{count} an ba su kuɗi","translated"
"quantumroot.fundedStatus","Funded","An ba da kuɗi","translated"
"quantumroot.guidedNow","Guided now: choose one approval key, lock it in Quantum Lock, then spend the matching coin.","Yana da jagora: zaɓi approval key guda, kulle shi a Quantum Lock, sannan ka kashe coin ɗin da ya dace.","translated"
"quantumroot.liveNow","Live now: normal spending, balance tracking, and Quantum Lock BCH recovery.","Yana samuwa yanzu: kashe kuɗi na yau da kullum, sa ido kan ma’auni da dawo da BCH ta Quantum Lock.","translated"
"quantumroot.livePreview","Live preview","Dubawa kai tsaye","translated"
"quantumroot.mainnetAhead","Quantumroot is visible on mainnet ahead of activation. The layout stays available, but key actions remain disabled until {date}.","Quantumroot yana bayyana a Mainnet kafin kunnawa. Tsarin yana samuwa, amma manyan ayyuka za su kasance a kashe har zuwa {date}.","translated"
"quantumroot.mainnetPreview","Mainnet preview stays visible before activation.","Dubawar Mainnet tana nan kafin kunnawa.","translated"
"quantumroot.noFundsYet","No funds yet","Babu kuɗi tukuna","translated"
"quantumroot.noVaults","No Quantumroot vaults derived yet. Sync vaults to provision them for existing wallet address indexes.","Har yanzu ba a samo Quantumroot vault ba. Daidaita vaults don samar da su ga index na adireshin wallet da ke akwai.","translated"
"quantumroot.openVaults","Open Vaults","Buɗe vaults","translated"
"quantumroot.popup.action.chooseCoinLabel","Choose coin to spend","Choose coin to spend","needs-review"
"quantumroot.popup.action.chooseDescription","Choose one approval key for this vault.","Choose one approval key for this vault.","needs-review"
"quantumroot.popup.action.chooseLabel","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.action.chooseTitle","Choose an approval key","Choose an approval key","needs-review"
"quantumroot.popup.action.createDescription","Create or receive a plain NFT first, then use it as the approval key.","Create or receive a plain NFT first, then use it as the approval key.","needs-review"
"quantumroot.popup.action.createTitle","Create an approval key","Create an approval key","needs-review"
"quantumroot.popup.action.destinationDescription","Choose where the coin should go, then open the spend list.","Choose where the coin should go, then open the spend list.","needs-review"
"quantumroot.popup.action.destinationLabel","Set destination","Set destination","needs-review"
"quantumroot.popup.action.destinationTitle","Choose a destination","Choose a destination","needs-review"
"quantumroot.popup.action.disabledDescription","The spend list is ready, but spending is disabled on this network.","The spend list is ready, but spending is disabled on this network.","needs-review"
"quantumroot.popup.action.readyDescription","Tap a ready coin to spend it.","Tap a ready coin to spend it.","needs-review"
"quantumroot.popup.action.readyTitle","Ready to spend","Ready to spend","needs-review"
"quantumroot.popup.action.receiveDescription","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.action.receiveLabel","Add receive coin","Add receive coin","needs-review"
"quantumroot.popup.action.receiveTitle","Add the matching receive coin","Add the matching receive coin","needs-review"
"quantumroot.popup.action.refreshDescription","Refresh the wallet scan or choose another approval key.","Refresh the wallet scan or choose another approval key.","needs-review"
"quantumroot.popup.action.refreshLabel","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.action.refreshTitle","Refresh the vault","Refresh the vault","needs-review"
"quantumroot.popup.action.reviewLabel","Review spend","Review spend","needs-review"
"quantumroot.popup.action.sendDescription","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.action.sendLabel","Send approval key","Send approval key","needs-review"
"quantumroot.popup.action.sendTitle","Send the approval key","Send the approval key","needs-review"
"quantumroot.popup.addDestinationReview","Add a destination, then review spend.","Add a destination, then review spend.","needs-review"
"quantumroot.popup.addMatchingCoin","Add the matching coin to unlock spend.","Add the matching coin to unlock spend.","needs-review"
"quantumroot.popup.advanced","Advanced","Advanced","needs-review"
"quantumroot.popup.advancedRecovery","Advanced recovery","Advanced recovery","needs-review"
"quantumroot.popup.advancedRecoveryDescription","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","Recover regular BCH, recover Quantum Lock funds, or refresh vault status.","needs-review"
"quantumroot.popup.approvalKey","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyCapability","Approval key","Approval key","needs-review"
"quantumroot.popup.approvalKeyChanged","Approval key changed on chain","Approval key changed on chain","needs-review"
"quantumroot.popup.approvalKeyInLock","Approval key is in Quantum Lock.","Approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyInQuantumLock","Your approval key is in Quantum Lock.","Your approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.approvalKeyPicked","Approval key picked.","Approval key picked.","needs-review"
"quantumroot.popup.approvalKeySelected","Approval key selected","Approval key selected","needs-review"
"quantumroot.popup.approvalLane","Approval lane","Approval lane","needs-review"
"quantumroot.popup.approvalLaneDescription","Your approval key goes to Quantum Lock.","Your approval key goes to Quantum Lock.","needs-review"
"quantumroot.popup.available","{count} available","{count} available","needs-review"
"quantumroot.popup.availableApprovalKeys","Available approval keys","Available approval keys","needs-review"
"quantumroot.popup.bchRecoveryDescription","BCH recovery sends back to the matching standard wallet address for this vault index when available.","BCH recovery sends back to the matching standard wallet address for this vault index when available.","needs-review"
"quantumroot.popup.bchRecoveryDisabled","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","BCH recovery is temporarily disabled until the on-chain receive-script validation issue is resolved.","needs-review"
"quantumroot.popup.block.approvalPending","Send one approval key to Quantum Lock.","Send one approval key to Quantum Lock.","needs-review"
"quantumroot.popup.block.inactiveNetwork","Quantumroot spending is disabled on this network.","Quantumroot spending is disabled on this network.","needs-review"
"quantumroot.popup.block.noDestination","Choose a destination address before spending.","Choose a destination address before spending.","needs-review"
"quantumroot.popup.block.noFamily","Create or receive a plain NFT first. It becomes your approval key.","Create or receive a plain NFT first. It becomes your approval key.","needs-review"
"quantumroot.popup.block.pickFamily","Choose one plain NFT to use as the approval key.","Choose one plain NFT to use as the approval key.","needs-review"
"quantumroot.popup.block.receivePending","Send the matching receive coin to the normal lane.","Send the matching receive coin to the normal lane.","needs-review"
"quantumroot.popup.block.staleInventory","Your selected approval key is not visible right now. Refresh the vault or choose another key.","Your selected approval key is not visible right now. Refresh the vault or choose another key.","needs-review"
"quantumroot.popup.broadcastWarning","This will broadcast after confirmation.","This will broadcast after confirmation.","needs-review"
"quantumroot.popup.category","Category:","Category:","needs-review"
"quantumroot.popup.chooseApprovalKey","Choose approval key","Choose approval key","needs-review"
"quantumroot.popup.chooseApprovalKeyDescription","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","Quantumroot uses one plain NFT as the approval key. Advanced token tools live in CashTokens.","needs-review"
"quantumroot.popup.chooseOneApproval","Choose one approval key to continue.","Choose one approval key to continue.","needs-review"
"quantumroot.popup.commitment","Commitment:","Commitment:","needs-review"
"quantumroot.popup.completeSteps","Complete the approval key and matching receive coin steps before spending.","Complete the approval key and matching receive coin steps before spending.","needs-review"
"quantumroot.popup.confirmed","Confirmed","Confirmed","needs-review"
"quantumroot.popup.copyDestination","Copy destination","Copy destination","needs-review"
"quantumroot.popup.copyOrScanFund","Copy or scan to fund this vault.","Copy or scan to fund this vault.","needs-review"
"quantumroot.popup.copyQuantumLock","Copy Quantum Lock","Copy Quantum Lock","needs-review"
"quantumroot.popup.copyReceiveAddress","Copy receive address","Copy receive address","needs-review"
"quantumroot.popup.copyRecoveryAddress","Copy recovery address","Copy recovery address","needs-review"
"quantumroot.popup.createOrReceive","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","Create or receive a plain NFT first, then it will appear here as an approval key you can choose.","needs-review"
"quantumroot.popup.destination","Destination","Destination","needs-review"
"quantumroot.popup.destinationAddress","Destination address","Destination address","needs-review"
"quantumroot.popup.done","Done","Done","needs-review"
"quantumroot.popup.empty","empty","empty","needs-review"
"quantumroot.popup.found","{count} found","{count} found","needs-review"
"quantumroot.popup.fundMatchingReceive","Fund matching receive coin","Fund matching receive coin","needs-review"
"quantumroot.popup.fundMatchingReceiveDescription","Open the send screen prefilled to the vault receive address with the same approval key.","Open the send screen prefilled to the vault receive address with the same approval key.","needs-review"
"quantumroot.popup.helpShortcuts","Help and shortcuts","Help and shortcuts","needs-review"
"quantumroot.popup.inQuantumLock","{count} in Quantum Lock","{count} in Quantum Lock","needs-review"
"quantumroot.popup.inWallet","{count} in wallet","{count} in wallet","needs-review"
"quantumroot.popup.locked","{count} locked","{count} locked","needs-review"
"quantumroot.popup.mainnetDisabled","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","Mainnet Quantumroot uses the same UI as Chipnet, but the spend, recovery, and token-configuration actions remain disabled until activation on {date}.","needs-review"
"quantumroot.popup.mintingNft","Minting NFT","Minting NFT","needs-review"
"quantumroot.popup.missing","Missing","Missing","needs-review"
"quantumroot.popup.mutableNft","Mutable NFT","Mutable NFT","needs-review"
"quantumroot.popup.needed","Needed","Needed","needs-review"
"quantumroot.popup.neededLater","Needed later","Needed later","needs-review"
"quantumroot.popup.nextStep","Next step","Next step","needs-review"
"quantumroot.popup.noApprovalKey","No approval key","No approval key","needs-review"
"quantumroot.popup.noDestination","No destination set","No destination set","needs-review"
"quantumroot.popup.noReadyCoin","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","No ready coin is available yet. After the approval key and the matching receive coin are present, spendable coins appear here.","needs-review"
"quantumroot.popup.normalLane","Normal vault lane","Normal vault lane","needs-review"
"quantumroot.popup.normalLaneDescription","Your BCH and matching receive coin go here.","Your BCH and matching receive coin go here.","needs-review"
"quantumroot.popup.normalLanePending","Add the matching receive coin after the approval key is in Quantum Lock.","Add the matching receive coin after the approval key is in Quantum Lock.","needs-review"
"quantumroot.popup.normalLaneReady","Your normal lane is ready.","Your normal lane is ready.","needs-review"
"quantumroot.popup.noStandardAddress","No standard wallet address available","No standard wallet address available","needs-review"
"quantumroot.popup.openCashTokens","Open CashTokens","Open CashTokens","needs-review"
"quantumroot.popup.openReceiveScreen","Open receive screen","Open receive screen","needs-review"
"quantumroot.popup.otherNft","Other NFT","Other NFT","needs-review"
"quantumroot.popup.otherNftDescription","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","It sits in Quantum Lock, but it is not the selected approval key. No direct withdrawal path exists yet.","needs-review"
"quantumroot.popup.otherNftInQuantumLock","Other NFT in Quantum Lock","Other NFT in Quantum Lock","needs-review"
"quantumroot.popup.otherNfts","{count} other NFT(s)","{count} other NFT(s)","needs-review"
"quantumroot.popup.outpoint","Outpoint","Outpoint","stable-term"
"quantumroot.popup.pending","Pending","Pending","needs-review"
"quantumroot.popup.pendingCoin","Pending coin","Pending coin","needs-review"
"quantumroot.popup.pickApprovalKey","Pick one approval key.","Pick one approval key.","needs-review"
"quantumroot.popup.plainBchCoins","{count} plain BCH coin(s)","{count} plain BCH coin(s)","needs-review"
"quantumroot.popup.plainBchDescription","Use this for plain BCH coins. Protected coins stay in the lanes above.","Use this for plain BCH coins. Protected coins stay in the lanes above.","needs-review"
"quantumroot.popup.previewOnly","Preview only on mainnet until activation.","Preview only on mainnet until activation.","needs-review"
"quantumroot.popup.protectedReceiveCount","Coins already handled by Protected spend: {count}","Coins already handled by Protected spend: {count}","needs-review"
"quantumroot.popup.protectedSpend","Protected spend","Protected spend","needs-review"
"quantumroot.popup.protectedSpendDescription","When the approval key and matching receive coin are present, spending opens here.","When the approval key and matching receive coin are present, spending opens here.","needs-review"
"quantumroot.popup.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"quantumroot.popup.quantumLockBch","Quantum Lock BCH","Quantum Lock BCH","needs-review"
"quantumroot.popup.quantumLockRecovery","Quantum Lock recovery","Quantum Lock recovery","needs-review"
"quantumroot.popup.quantumLockRecoveryCount","Quantum Lock recovery coins: {count}","Quantum Lock recovery coins: {count}","needs-review"
"quantumroot.popup.quantumrootOpens","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","Quantumroot opens once the approval key sits in Quantum Lock and the matching receive coin sits in the normal lane.","needs-review"
"quantumroot.popup.ready","Ready","Ready","needs-review"
"quantumroot.popup.readyCoin","Ready coin","Ready coin","needs-review"
"quantumroot.popup.readyCoinAvailable","Ready coin available.","Ready coin available.","needs-review"
"quantumroot.popup.readyCoins","{count} ready coin(s)","{count} ready coin(s)","needs-review"
"quantumroot.popup.receiveAddress","Receive address","Receive address","needs-review"
"quantumroot.popup.receiveBch","Receive BCH","Receive BCH","needs-review"
"quantumroot.popup.recover","Recover","Recover","needs-review"
"quantumroot.popup.recoverableBchCoins","Recoverable BCH coins","Recoverable BCH coins","needs-review"
"quantumroot.popup.recoverableBchCount","Recoverable BCH coins: {count}","Recoverable BCH coins: {count}","needs-review"
"quantumroot.popup.recovering","Recovering…","Recovering…","needs-review"
"quantumroot.popup.recoverRegularBch","Recover regular BCH","Recover regular BCH","needs-review"
"quantumroot.popup.refresh","Refresh","Refresh","needs-review"
"quantumroot.popup.refreshChooseAnother","Refresh the vault or choose another approval key.","Refresh the vault or choose another approval key.","needs-review"
"quantumroot.popup.refreshVault","Refresh vault","Refresh vault","needs-review"
"quantumroot.popup.refreshVaultStatus","Refresh vault status","Refresh vault status","needs-review"
"quantumroot.popup.reviewDestination","Review the destination before broadcasting.","Review the destination before broadcasting.","needs-review"
"quantumroot.popup.reviewSpend","Review spend","Review spend","needs-review"
"quantumroot.popup.reviewSpendSubtitle","Check the destination, approval key, and ready coin before you broadcast.","Check the destination, approval key, and ready coin before you broadcast.","needs-review"
"quantumroot.popup.reviewSpendTitle","Review spend","Review spend","needs-review"
"quantumroot.popup.saveApprovalKey","Save approval key","Save approval key","needs-review"
"quantumroot.popup.saving","Saving…","Saving…","needs-review"
"quantumroot.popup.selectedApprovalKey","Selected approval key","Selected approval key","needs-review"
"quantumroot.popup.selectedAsApproval","Selected as approval key","Selected as approval key","needs-review"
"quantumroot.popup.sendApprovalHere","Send the approval key here.","Send the approval key here.","needs-review"
"quantumroot.popup.sendApprovalKey","Send approval key","Send approval key","needs-review"
"quantumroot.popup.sendApprovalKeyDescription","Open the send screen prefilled to Quantum Lock with the selected approval key.","Open the send screen prefilled to Quantum Lock with the selected approval key.","needs-review"
"quantumroot.popup.sendApprovalKeyToLock","Send the approval key to Quantum Lock.","Send the approval key to Quantum Lock.","needs-review"
"quantumroot.popup.sendSelectedApprovalKey","Send the selected approval key to Quantum Lock.","Send the selected approval key to Quantum Lock.","needs-review"
"quantumroot.popup.spend","Spend","Spend","needs-review"
"quantumroot.popup.spendDestination","Spend destination","Spend destination","needs-review"
"quantumroot.popup.spending","Spending…","Spending…","needs-review"
"quantumroot.popup.sweepBch","Sweep BCH coins ({count})","Sweep BCH coins ({count})","needs-review"
"quantumroot.popup.sweeping","Sweeping…","Sweeping…","needs-review"
"quantumroot.popup.tapToOpen","Tap to open","Tap to open","needs-review"
"quantumroot.popup.unsupportedQuantumLock","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","Coins in Quantum Lock that belong to Protected spend are handled above; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.unsupportedReceive","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","Coins with an approval key stay in Protected spend; this recovery list only includes plain BCH coins.","needs-review"
"quantumroot.popup.useRecoveryAddress","Use wallet recovery address","Use wallet recovery address","needs-review"
"quantumroot.popup.vaultSetup","Vault setup","Vault setup","needs-review"
"quantumroot.popup.vaultSetupDescription","Copy addresses and choose the approval key.","Copy addresses and choose the approval key.","needs-review"
"quantumroot.popup.waiting","Waiting","Waiting","needs-review"
"quantumroot.popup.walletRecoveryAddress","Wallet recovery address","Wallet recovery address","needs-review"
"quantumroot.readyToRecover","{count} ready to recover","{count} suna shirye don dawo da su","translated"
"quantumroot.refreshing","Refreshing balances and UTXO status. Vaults remain available while sync completes.","Ana sabunta ma’auni da yanayin UTXO. Vaults za su kasance a amfani yayin da daidaitawa ke ƙarewa.","translated"
"quantumroot.subtitle","Two spending lanes in one vault","Hanyoyin kashe kuɗi biyu a vault guda","translated"
"quantumroot.syncingVaults","Syncing Vaults…","Ana daidaita vaults…","translated"
"quantumroot.syncVaults","Sync Vaults","Daidaita vaults","translated"
"quantumroot.toast.approvalKeyMissing","This approval key is no longer visible. Refresh the vault or choose another key.","This approval key is no longer visible. Refresh the vault or choose another key.","needs-review"
"quantumroot.toast.authorizedBroadcast","Quantumroot authorized spend broadcast: {txid}","Quantumroot authorized spend broadcast: {txid}","needs-review"
"quantumroot.toast.authorizedFailed","Quantumroot authorized spend failed: {message}","Quantumroot authorized spend failed: {message}","needs-review"
"quantumroot.toast.broadcastAuthorizedFailed","Failed to broadcast Quantumroot authorized spend.","Failed to broadcast Quantumroot authorized spend.","needs-review"
"quantumroot.toast.broadcastLockRecoveryFailed","Failed to broadcast Quantum Lock recovery.","Failed to broadcast Quantum Lock recovery.","needs-review"
"quantumroot.toast.broadcastSpendFailed","Failed to broadcast Quantumroot spend.","Failed to broadcast Quantumroot spend.","needs-review"
"quantumroot.toast.broadcastSweepFailed","Failed to broadcast Quantumroot sweep.","Failed to broadcast Quantumroot sweep.","needs-review"
"quantumroot.toast.configureFailed","Failed to configure vault: {message}","Failed to configure vault: {message}","needs-review"
"quantumroot.toast.destinationRequired","Destination address is required.","Destination address is required.","needs-review"
"quantumroot.toast.ineligibleReceiveUtxo","That receive UTXO is not eligible for authorized spend.","That receive UTXO is not eligible for authorized spend.","needs-review"
"quantumroot.toast.invalidTokenCategory","Token category must be 64 hexadecimal characters.","Token category must be 64 hexadecimal characters.","needs-review"
"quantumroot.toast.lockRecoveryBroadcast","Quantum Lock recovery broadcast: {txid}","Quantum Lock recovery broadcast: {txid}","needs-review"
"quantumroot.toast.lockRecoveryFailed","Quantum Lock recovery failed: {message}","Quantum Lock recovery failed: {message}","needs-review"
"quantumroot.toast.noBchUtxos","No BCH-only receive UTXOs available to sweep.","No BCH-only receive UTXOs available to sweep.","needs-review"
"quantumroot.toast.noControlToken","No matching Quantum Lock control token is available yet.","No matching Quantum Lock control token is available yet.","needs-review"
"quantumroot.toast.previewActive","Quantumroot mainnet preview is active until activation.","Quantumroot mainnet preview is active until activation.","needs-review"
"quantumroot.toast.reconfigured","Quantumroot vault reconfigured.","Quantumroot vault reconfigured.","needs-review"
"quantumroot.toast.spendBroadcast","Quantumroot spend broadcast: {txid}","Quantumroot spend broadcast: {txid}","needs-review"
"quantumroot.toast.spendFailed","Quantumroot spend failed: {message}","Quantumroot spend failed: {message}","needs-review"
"quantumroot.toast.sweepBroadcast","Quantumroot sweep broadcast: {txid}","Quantumroot sweep broadcast: {txid}","needs-review"
"quantumroot.toast.sweepFailed","Quantumroot sweep failed: {message}","Quantumroot sweep failed: {message}","needs-review"
"quantumroot.toast.unavailable","Quantumroot vault unavailable.","Quantumroot vault unavailable.","needs-review"
"quantumroot.trackedBalance","Tracked Balance","Ma’aunin da ake sa ido","translated"
"quantumroot.vaultNumber","Vault #{id}","Vault #{id}","needs-review"
"quantumroot.vaults","Vaults","Vaults","needs-review"
"quantumroot.workspaceRefreshFailed","Workspace Refresh Failed","An kasa sabunta wurin aiki","translated"
"receive.addressesNotReady","Receive addresses not ready","Adireshin karɓa bai shirya ba","translated"
"receive.amountBch","Amount (BCH)","Adadi (BCH)","translated"
"receive.back","Back","Koma","translated"
"receive.bip21Active","Request details are active and the QR is now encoding the BIP21 URI.","Bayanan buƙata suna aiki kuma QR yanzu yana ɗauke da URI na BIP21.","translated"
"receive.bip21Description","Encode amount, label, and message into the QR payload.","Sanya adadi, lakabi da saƙo cikin payload na QR.","translated"
"receive.bip21Help","When enabled, the QR and copied payload use a BIP21-style `bitcoincash:` URI so compatible wallets can autofill request details.","Idan an kunna, QR da payload da aka kwafa suna amfani da URI irin na BIP21 `bitcoincash:` domin wallets masu jituwa su cika bayanan buƙata kai tsaye.","translated"
"receive.bip21Title","BIP21 payment request","Buƙatar biyan BIP21","translated"
"receive.cashToken","CashToken","CashToken","stable-term"
"receive.change","Change","Canji","translated"
"receive.changeAddressCount","{count} change addresses","Adireshin canji {count}","translated"
"receive.clear","Clear","Share","translated"
"receive.close","Close","Rufe","translated"
"receive.copied","Copied to clipboard!","An kwafa zuwa allo!","translated"
"receive.copyBip21","Copy BIP21 URI","Kwafi URI na BIP21","translated"
"receive.copyFailed","Failed to copy.","Kwafi ya gaza.","translated"
"receive.copyQrPayload","Copy receive QR payload","Kwafi payload na QR na karɓa","translated"
"receive.dismiss","Dismiss","Rufe","translated"
"receive.dismissUnlockAlert","Dismiss unlock alert","Rufe sanarwar buɗewa","translated"
"receive.label","Label","Lakabi","translated"
"receive.main","Main","Farko","translated"
"receive.mainAddressCount","{count} main addresses","Adireshin farko {count}","translated"
"receive.message","Message","Saƙo","stable-term"
"receive.noAddressesLoaded","This wallet does not have receive addresses loaded yet.","Wannan wallet ɗin bai ɗora adireshin karɓa ba tukuna.","translated"
"receive.noBranchAddresses","No addresses found in this branch yet.","Ba a sami adireshi a wannan reshe ba tukuna.","translated"
"receive.noVaultFunds","No Quantumroot vault funds detected yet.","Ba a gano kuɗin vault na Quantumroot ba tukuna.","translated"
"receive.openQrPreview","Open larger QR code preview","Buɗe babban samfotin QR","translated"
"receive.optional","Optional","Na zaɓi","translated"
"receive.optionalExample","Optional, e.g. 0.0105","Na zaɓi, misali 0.0105","translated"
"receive.prepareAddresses","Prepare receive addresses","Shirya adireshin karɓa","translated"
"receive.prepareAddressesDescription","Prepare addresses to show your receive QR and address list.","Shirya adireshi don nuna QR na karɓa da jerin adireshi.","translated"
"receive.privKeyReady","Private key view unlocked","An buɗe kallon maɓallin sirri","translated"
"receive.privKeyUnlock","Private key unlock in {count} taps","Buɗe maɓallin sirri bayan taɓawa {count}","translated"
"receive.pubKeyTapProgress","PubKey pressed {count}/{total} times","An danna PubKey sau {count}/{total}","translated"
"receive.qrCopyDescription","Tap the QR to copy the current payload. Close to return.","Danna QR don kwafe payload na yanzu. Rufe don komawa.","translated"
"receive.quantumLock","Quantum Lock","Quantum Lock","stable-term"
"receive.quantumLockAddress","Quantum Lock Address","Adireshin Quantum Lock","translated"
"receive.quantumrootStatus","Quantumroot Status","Matsayin Quantumroot","translated"
"receive.readOnlyStatus","This view is read-only. It shows vault status and key receive data, but no spending or recovery actions.","Wannan kallo na karatu ne kawai. Yana nuna matsayin vault da bayanan karɓa, amma ba shi da aikin kashe kuɗi ko dawo da wallet.","translated"
"receive.receiveAddress","Receive Address","Adireshin karɓa","translated"
"receive.receiveBalance","Receive Balance","Ragowar karɓa","translated"
"receive.receiveQr","Receive QR","QR na karɓa","translated"
"receive.regular","Regular","Na yau da kullum","translated"
"receive.seeAllAddresses","See all addresses","Duba duk adireshi","translated"
"receive.switch","Switch","Sauya","translated"
"receive.switchAddress","Switch address","Sauya adireshi","translated"
"receive.syncing","Syncing…","Ana daidaitawa…","translated"
"receive.tapPubKey","Tap PubKey to reveal the private key view.","Danna PubKey don nuna kallon maɓallin sirri.","translated"
"receive.title","Receive","Karɓa","translated"
"receive.toggleAddressType","Toggle receive address type","Sauya nau’in adireshin karɓa","translated"
"receive.unavailable","Unavailable","Ba ya samuwa","translated"
"reconfiguration.changingPath","Changing derivation path","Ana canja hanyar derivation","translated"
"reconfiguration.clearing","Clearing old wallet data","Ana share tsoffin bayanan wallet","translated"
"reconfiguration.clearingDetail","Removing the previous address, history, and UTXO records.","Ana cire tsoffin adireshi, tarihi da bayanan UTXO.","translated"
"reconfiguration.deriving","Generating wallet addresses","Ana ƙirƙirar adireshin wallet","translated"
"reconfiguration.derivingDetail","Creating the receive and change addresses for this wallet path.","Ana ƙirƙirar adireshin karɓa da canji don wannan hanyar wallet.","translated"
"reconfiguration.dismiss","Dismiss","Rufe","translated"
"reconfiguration.failed","Wallet update failed","Sabunta wallet ya gaza","translated"
"reconfiguration.failedDetail","The wallet could not be reconfigured.","An kasa sake tsara wallet.","translated"
"reconfiguration.keepOpen","Please keep OPTN Wallet open. Navigation is temporarily disabled while wallet data is rebuilt.","Ka bar OPTN Wallet a buɗe. An kashe zirga-zirga na ɗan lokaci yayin sake gina bayanan wallet.","translated"
"reconfiguration.movingTo","Moving to {network}","Ana matsawa zuwa {network}","translated"
"reconfiguration.preparing","Preparing wallet","Ana shirya wallet","translated"
"reconfiguration.preparingDetail","Stopping background sync and reconnecting to the selected network.","Ana dakatar da daidaitawar baya kuma ana sake haɗawa da hanyar sadarwar da aka zaɓa.","translated"
"reconfiguration.progress","Wallet update progress","Ci gaban sabunta wallet","translated"
"reconfiguration.reloading","Reloading wallet","Ana sake loda wallet","translated"
"reconfiguration.stepOf","Step {current} of {total}","Mataki {current} cikin {total}","translated"
"reconfiguration.switchingNetwork","Switching network","Ana sauya hanyar sadarwa","translated"
"reconfiguration.syncing","Synchronizing wallet","Ana daidaita wallet","translated"
"reconfiguration.syncingDetail","Fetching balances, UTXOs, and transaction history. This can take 15–20 seconds.","Ana samo ragowar kuɗi, UTXO da tarihin ciniki. Wannan na iya ɗaukar sakan 15–20.","translated"
"reconfiguration.updating","Updating wallet","Ana sabunta wallet","translated"
"reconfiguration.working","Working…","Ana aiki…","translated"
"recovery.hide","Hide Backup Phrase","Ɓoye jumlar ajiya","translated"
"recovery.reveal","Reveal Backup Phrase","Nuna jumlar ajiya","translated"
"recovery.warning","Warning","Gargaɗi","translated"
"recovery.warningDescription","Displaying your mnemonic backup phrase can compromise your funds. Ensure you keep it secure.","Nuna jumlar mnemonic na iya jefa kuɗinka cikin haɗari. Ajiye ta lafiya.","translated"
"rpa.confirmedPayment","confirmed stealth payment","biyan kuɗi na ɓoye da aka tabbatar","translated"
"rpa.confirmedPayments","{count} confirmed stealth payment(s) found","An sami biyan kuɗi na ɓoye da aka tabbatar {count}","translated"
"rpa.copyFailed","Copy failed.","Kwafi ya gaza.","translated"
"rpa.copySuccess","Paycode copied!","An kwafi Paycode!","translated"
"rpa.derivationFailed","Paycode derivation failed. Unlock your wallet and try again.","Samo Paycode ya gaza. Buɗe wallet ka sake gwadawa.","translated"
"rpa.derivationPaths","Derivation paths","Hanyoyin samo","translated"
"rpa.deriving","Deriving paycode…","Ana samo Paycode…","translated"
